cx; mx; best; avg; time
0.6; 0.25; 8; 10.405; 216.084s
0.6; 0.25; 8; 9.63; 162.29s
0.7; 0.05; 9; 10.32; 193.387s
0.7; 0.05; 8; 9.705; 160.643s
0.7; 0.05; 9; 10.205; 165.031s
0.7; 0.05; 8; 9.515; 133.565s
0.7; 0.05; 9; 10.24; 153.8s
0.7; 0.1; 8; 9.5; 130.964s
0.7; 0.1; 8; 9.36; 144.462s
0.7; 0.1; 8; 9.955; 162.738s
0.7; 0.1; 8; 9.22; 157.931s
0.7; 0.1; 8; 9.35; 140.941s
0.7; 0.15; 8; 9.96; 179.883s
0.7; 0.15; 8; 9.875; 158.302s
0.7; 0.15; 7; 9.255; 116.486s
0.7; 0.15; 8; 9.555; 135.048s
0.7; 0.15; 8; 10.665; 176.035s
0.7; 0.2; 8; 9.875; 143.521s
0.7; 0.2; 8; 10.215; 179.193s
0.7; 0.2; 8; 10.25; 166.321s
0.7; 0.2; 7; 9.615; 128.529s
0.7; 0.2; 8; 9.615; 150.057s
0.7; 0.25; 8; 10.06; 174.515s
0.7; 0.25; 8; 10.26; 167.355s
0.7; 0.25; 8; 10; 157.757s
0.7; 0.25; 8; 9.255; 129.466s
0.7; 0.25; 8; 9.75; 137.019s
0.8; 0.05; 8; 9.83; 160.118s
0.8; 0.05; 8; 9.675; 117.508s
0.8; 0.05; 9; 9.3; 109.076s
0.8; 0.05; 9; 11.1; 145.314s
0.8; 0.05; 8; 9.265; 132.609s
0.8; 0.1; 9; 9.61; 96.7345s
0.8; 0.1; 8; 10.235; 127.135s
0.8; 0.1; 8; 10.305; 156.543s
0.8; 0.1; 8; 8.96; 101.497s
0.8; 0.1; 8; 9.155; 124.391s
0.8; 0.15; 8; 9.33; 144.467s
0.8; 0.15; 8; 10.26; 138.736s
0.8; 0.15; 8; 10.235; 136.547s
0.8; 0.15; 8; 9.08; 102.288s
0.8; 0.15; 8; 9.36; 112.159s
0.8; 0.2; 8; 10.165; 128.457s
0.8; 0.2; 8; 9.37; 139.151s
0.8; 0.2; 8; 9.94; 119.213s
0.8; 0.2; 8; 9.16; 102.827s
0.8; 0.2; 9; 9.75; 101.88s
0.8; 0.25; 8; 10.18; 142.761s
0.8; 0.25; 8; 9.015; 105.8s
0.8; 0.25; 7; 9.475; 6.78818s
0.8; 0.25; 8; 10.075; 115.839s
0.8; 0.25; 8; 10.045; 139.071s
0.9; 0.05; 8; 8.52; 104.281s
0.9; 0.05; 8; 10.01; 116.248s
0.9; 0.05; 9; 9.95; 97.8513s
0.9; 0.05; 8; 9.325; 108.089s
0.9; 0.05; 8; 9.32; 130.011s
0.9; 0.1; 9; 9.935; 85.8156s
0.9; 0.1; 8; 9.905; 115.633s
0.9; 0.1; 9; 9.43; 81.2403s
0.9; 0.1; 7; 9.655; 16.9666s
0.9; 0.1; 9; 9.585; 96.4756s
0.9; 0.15; 8; 10.315; 112.017s
0.9; 0.15; 8; 9.66; 97.5744s
0.9; 0.15; 8; 8.11; 86.1085s
0.9; 0.15; 8; 9.135; 89.9588s
0.9; 0.15; 8; 8.985; 87.8114s
0.9; 0.2; 8; 9.77; 138.464s
0.9; 0.2; 8; 9.835; 108.797s
0.9; 0.2; 9; 10.07; 90.0464s
0.9; 0.2; 8; 9.24; 114.487s
0.9; 0.2; 8; 9.945; 119.548s
0.9; 0.25; 8; 10.2; 125.46s
0.9; 0.25; 8; 9.32; 107.548s
0.9; 0.25; 8; 9.42; 101.04s
0.9; 0.25; 8; 10.2; 131.344s
0.9; 0.25; 8; 9.78; 107.063s
