cx; mx; best; avg; time
0.5; 0.05; 8; 9.95; 334.854s
0.5; 0.05; 9; 10.5; 237.235s
0.5; 0.05; 8; 9.855; 288.591s
0.5; 0.05; 8; 9.83; 250.388s
0.5; 0.05; 8; 9.99; 296.242s
0.5; 0.1; 8; 9.71; 257.498s
0.5; 0.1; 8; 9.845; 278.565s
0.5; 0.1; 8; 9.92; 317.94s
0.5; 0.1; 8; 10.07; 345.997s
0.5; 0.1; 8; 10.295; 308.023s
0.5; 0.15; 8; 9.995; 287.382s
0.5; 0.15; 8; 9.895; 221.401s
0.5; 0.15; 8; 10.085; 276.323s
0.5; 0.15; 9; 10.385; 244.861s
0.5; 0.15; 8; 10.01; 278.971s
0.5; 0.2; 8; 9.71; 277.068s
0.5; 0.2; 8; 10.48; 264.819s
0.5; 0.2; 8; 10.16; 273.857s
0.5; 0.2; 8; 9.945; 318.859s
0.5; 0.2; 8; 9.85; 244.807s
0.5; 0.25; 8; 10.04; 269.567s
0.5; 0.25; 8; 10.11; 250.327s
0.5; 0.25; 8; 10.455; 282.584s
0.5; 0.25; 8; 10.235; 296.069s
0.5; 0.25; 8; 9.965; 308.257s
0.6; 0.05; 9; 9.775; 162.004s
0.6; 0.05; 8; 10.33; 255.003s
0.6; 0.05; 8; 9.305; 235.355s
0.6; 0.05; 8; 9.355; 237.943s
0.6; 0.05; 8; 10.06; 235.7s
0.6; 0.1; 8; 9.845; 213.56s
0.6; 0.1; 8; 9.545; 202.572s
0.6; 0.1; 8; 9.605; 179.354s
0.6; 0.1; 8; 10.085; 222.887s
0.6; 0.1; 8; 10.42; 182.805s
0.6; 0.15; 9; 10.175; 162.132s
0.6; 0.15; 8; 9.995; 251.951s
0.6; 0.15; 8; 9.965; 196.641s
0.6; 0.15; 8; 9.645; 201.227s
0.6; 0.15; 8; 10.06; 259.333s
0.6; 0.2; 8; 9.77; 191.115s
0.6; 0.2; 8; 9.875; 222.273s
0.6; 0.2; 8; 9.91; 207.36s
0.6; 0.2; 8; 9.665; 254.408s
0.6; 0.2; 8; 10.58; 212.14s
0.6; 0.25; 8; 10.365; 197.525s
0.6; 0.25; 8; 9.685; 194.702s
0.6; 0.25; 8; 10.26; 186.542s
0.6; 0.25; 8; 9.31; 154.362s
0.6; 0.25; 8; 10.11; 187.017s
0.7; 0.05; 8; 9.855; 173.275s
0.7; 0.05; 8; 10.4; 217.559s
0.7; 0.05; 8; 9.865; 168.991s
0.7; 0.05; 9; 9.8; 120.968s
0.7; 0.05; 8; 9.695; 172.116s
0.7; 0.1; 8; 9.88; 140.994s
0.7; 0.1; 8; 10.065; 151.396s
0.7; 0.1; 8; 9.27; 122.533s
0.7; 0.1; 8; 9.735; 167.662s
0.7; 0.1; 8; 9.265; 166.92s
0.7; 0.15; 8; 10.055; 158.239s
0.7; 0.15; 8; 9.93; 167.989s
0.7; 0.15; 8; 9.635; 149.081s
0.7; 0.15; 8; 9.78; 116.882s
0.7; 0.15; 8; 10.605; 225.161s
0.7; 0.2; 8; 9.35; 136.484s
0.7; 0.2; 8; 10.125; 142.96s
0.7; 0.2; 8; 10.085; 166.518s
0.7; 0.2; 8; 10.21; 174.021s
0.7; 0.2; 8; 10.05; 176.789s
0.7; 0.25; 8; 10.07; 191.038s
0.7; 0.25; 8; 11.065; 195.662s
0.7; 0.25; 8; 10.265; 167.421s
0.7; 0.25; 8; 10.665; 203.256s
0.7; 0.25; 8; 9.715; 124.815s
0.8; 0.05; 8; 10.12; 138.867s
0.8; 0.05; 8; 9.95; 140.241s
0.8; 0.05; 8; 9.15; 128.876s
0.8; 0.05; 8; 9.36; 124.972s
0.8; 0.05; 8; 10.04; 163.777s
0.8; 0.1; 8; 9.2; 113.41s
0.8; 0.1; 8; 10.015; 136.984s
0.8; 0.1; 8; 10.22; 126.649s
0.8; 0.1; 8; 9.255; 125.704s
0.8; 0.1; 8; 9.795; 149.95s
0.8; 0.15; 8; 10.115; 147.411s
0.8; 0.15; 8; 9.45; 107.393s
0.8; 0.15; 8; 9.915; 115.822s
0.8; 0.15; 9; 10.015; 116.142s
0.8; 0.15; 8; 9.755; 127.837s
0.8; 0.2; 8; 10.115; 125.428s
0.8; 0.2; 8; 10.02; 117.318s
0.8; 0.2; 8; 8.93; 116.549s
0.8; 0.2; 8; 10.155; 112.105s
0.8; 0.2; 8; 9.68; 111.713s
0.8; 0.25; 8; 9.485; 127.01s
0.8; 0.25; 8; 9.675; 132.883s
0.8; 0.25; 8; 9.48; 110.869s
0.8; 0.25; 8; 9.385; 119.824s
0.8; 0.25; 8; 10.51; 135.125s
0.9; 0.05; 8; 9.805; 103.034s
0.9; 0.05; 8; 10.065; 108.64s
0.9; 0.05; 8; 9.775; 113.34s
0.9; 0.05; 9; 9.6; 80.6718s
0.9; 0.05; 8; 9.02; 102.24s
0.9; 0.1; 8; 9.48; 99.6705s
0.9; 0.1; 8; 9.45; 109.696s
0.9; 0.1; 8; 9.99; 111.441s
0.9; 0.1; 8; 10.18; 135.676s
0.9; 0.1; 8; 10.165; 136.341s
0.9; 0.15; 7; 8.535; 11.2077s
0.9; 0.15; 8; 9.63; 111.563s
0.9; 0.15; 8; 9.915; 115.895s
0.9; 0.15; 8; 9.87; 111.975s
0.9; 0.15; 8; 9.89; 82.3929s
0.9; 0.2; 8; 10.105; 127.147s
0.9; 0.2; 8; 9.775; 100.605s
0.9; 0.2; 8; 9.615; 113.536s
0.9; 0.2; 7; 9.62; 7.67587s
0.9; 0.2; 8; 9.975; 114.437s
0.9; 0.25; 8; 9.755; 95.6949s
0.9; 0.25; 8; 9.55; 94.4689s
0.9; 0.25; 8; 9.645; 122.272s
0.9; 0.25; 8; 9.83; 102.543s
0.9; 0.25; 8; 9.685; 86.5883s
cx; mx; best; avg; time
0.5; 0.05; 8; 10.39; 470.388s
0.5; 0.05; 9; 10.425; 229.243s
0.5; 0.05; 8; 9.855; 324.475s
0.5; 0.05; 8; 10.02; 305.866s
0.5; 0.05; 8; 10.12; 353.393s
0.5; 0.1; 8; 9.615; 236.897s
0.5; 0.1; 8; 10.425; 427.498s
0.5; 0.1; 8; 10.22; 311.174s
0.5; 0.1; 8; 9.875; 285.384s
0.5; 0.1; 8; 9.715; 224.186s
0.5; 0.15; 8; 10.005; 277.418s
0.5; 0.15; 8; 9.615; 287.901s
0.5; 0.15; 8; 9.675; 280.421s
0.5; 0.15; 8; 10.245; 260.552s
0.5; 0.15; 8; 9.895; 280.496s
0.5; 0.2; 8; 10.335; 334.967s
0.5; 0.2; 8; 9.745; 267.384s
0.5; 0.2; 9; 10.215; 211.645s
0.5; 0.2; 8; 9.96; 224.237s
0.5; 0.2; 8; 10.45; 279.229s
0.5; 0.25; 8; 9.61; 218.718s
0.5; 0.25; 8; 10.17; 310.564s
0.5; 0.25; 8; 9.435; 223.592s
0.5; 0.25; 8; 10.535; 374.092s
0.5; 0.25; 8; 10.155; 273.206s
0.6; 0.05; 8; 9.7; 202.036s
0.6; 0.05; 8; 9.47; 221.791s
0.6; 0.05; 8; 9.74; 245.126s
0.6; 0.05; 8; 9.24; 208.069s
0.6; 0.05; 8; 9.875; 210.345s
0.6; 0.1; 8; 9.895; 213.453s
0.6; 0.1; 8; 10.02; 187.858s
0.6; 0.1; 8; 9.595; 208.734s
0.6; 0.1; 9; 10.63; 181.874s
0.6; 0.1; 8; 9.9; 207.293s
0.6; 0.15; 8; 9.475; 197.527s
0.6; 0.15; 8; 9.885; 238.714s
0.6; 0.15; 8; 9.53; 185.926s
0.6; 0.15; 8; 10.09; 214.442s
0.6; 0.15; 8; 9.655; 204.977s
0.6; 0.2; 8; 10.34; 233.011s
0.6; 0.2; 8; 9.675; 177.61s
0.6; 0.2; 8; 9.855; 193.085s
0.6; 0.2; 8; 10.58; 248.997s
0.6; 0.2; 8; 10.225; 244.146s
0.6; 0.25; 8; 9.405; 146.029s
0.6; 0.25; 8; 9.655; 179.826s
0.6; 0.25; 7; 9.695; 32.0484s
