cx; mx; best; avg; time
0.5; 0.05; 10; 12.56; 306.447s
0.5; 0.1; 10; 12.615; 306.6s
0.5; 0.15; 10; 12.2; 251.012s
0.5; 0.2; 9; 11.09; 275.657s
0.5; 0.25; 9; 10.825; 251.625s
0.6; 0.05; 11; 12.41; 197.175s
0.6; 0.1; 9; 11.265; 206.501s
0.6; 0.15; 10; 10.51; 199.103s
0.6; 0.2; 9; 10.82; 193.675s
0.6; 0.25; 10; 11.155; 170.302s
0.7; 0.05; 9; 10.745; 187.836s
0.7; 0.1; 9; 9.76; 199.013s
0.7; 0.15; 9; 10.925; 189.055s
0.7; 0.2; 10; 11.615; 171.329s
0.7; 0.25; 9; 11.425; 154.948s
0.8; 0.05; 9; 11.115; 172.304s
0.8; 0.1; 10; 10.725; 139.142s
0.8; 0.15; 9; 10.915; 162.02s
0.8; 0.2; 9; 10.995; 168.39s
0.8; 0.25; 10; 10.31; 115.865s
0.9; 0.05; 9; 10.885; 145.506s
0.9; 0.1; 9; 10.52; 124.634s
0.9; 0.15; 9; 10.715; 127.672s
0.9; 0.2; 9; 10.31; 113.132s
0.9; 0.25; 9; 9.34; 108.368s
cx; mx; best; avg; time
0.5; 0.05; 9; 10.61; 271.108s
0.5; 0.05; 10; 11.55; 259.539s
0.5; 0.05; 9; 10.885; 315.977s
0.5; 0.1; 10; 12.115; 256.464s
0.5; 0.1; 10; 10.78; 243.894s
0.5; 0.1; 9; 12.74; 342.511s
0.5; 0.15; 9; 10.535; 229.414s
0.5; 0.15; 9; 11.765; 316.132s
0.5; 0.15; 10; 11.57; 269.339s
0.5; 0.2; 9; 11.375; 289.847s
0.5; 0.2; 10; 10.82; 204.262s
0.5; 0.2; 10; 11.54; 263.128s
0.5; 0.25; 9; 11.85; 279.139s
0.5; 0.25; 8; 10.965; 279.946s
0.5; 0.25; 9; 10.935; 209.507s
0.6; 0.05; 9; 11.375; 248.76s
0.6; 0.05; 10; 10.85; 207.228s
0.6; 0.05; 10; 11.46; 184.032s
0.6; 0.1; 10; 11.785; 183.701s
0.6; 0.1; 10; 11.165; 171.805s
0.6; 0.1; 9; 10.795; 214.567s
0.6; 0.15; 10; 11.28; 199.872s
0.6; 0.15; 10; 12.055; 202.692s
0.6; 0.15; 10; 11.18; 199.763s
0.6; 0.2; 9; 11.465; 213.344s
0.6; 0.2; 10; 11.165; 204.856s
0.6; 0.2; 9; 10.74; 179.121s
0.6; 0.25; 10; 10.455; 171.779s
0.6; 0.25; 10; 10.595; 182.984s
0.6; 0.25; 9; 10.66; 193.064s
0.7; 0.05; 10; 11.215; 154.972s
0.7; 0.05; 10; 10.75; 163.716s
0.7; 0.05; 9; 11.06; 151.363s
0.7; 0.1; 10; 11.21; 180.758s
0.7; 0.1; 9; 11.43; 203.138s
0.7; 0.1; 10; 11.9; 172.87s
0.7; 0.15; 10; 10.335; 134.865s
0.7; 0.15; 9; 10.585; 160.981s
0.7; 0.15; 9; 11.15; 176.681s
0.7; 0.2; 9; 10.645; 162.444s
0.7; 0.2; 10; 11.71; 169.052s
0.7; 0.2; 9; 10.985; 167.125s
0.7; 0.25; 9; 10.955; 168.299s
0.7; 0.25; 9; 10.015; 165.436s
0.7; 0.25; 9; 11.2; 200.436s
0.8; 0.05; 9; 12.23; 158.432s
0.8; 0.05; 10; 10.925; 146.65s
0.8; 0.05; 9; 10.47; 145.041s
0.8; 0.1; 9; 10.16; 137.235s
0.8; 0.1; 10; 10.105; 121.734s
0.8; 0.1; 9; 10.54; 154.848s
0.8; 0.15; 9; 12.225; 168.532s
0.8; 0.15; 10; 10.78; 126.57s
