cx; mx; best; avg; time
0.5; 0.15; 8; 10.26; 192.151s
0.5; 0.15; 8; 10.565; 208.063s
0.5; 0.15; 8; 10.15; 235.733s
0.5; 0.15; 8; 10.125; 151.346s
0.5; 0.2; 8; 9.48; 156.498s
0.5; 0.2; 8; 9.785; 149.051s
0.5; 0.2; 8; 9.545; 141.517s
0.5; 0.2; 9; 10.45; 154.056s
0.5; 0.2; 8; 10.625; 250.464s
0.5; 0.25; 8; 10.48; 192.158s
0.5; 0.25; 8; 9.82; 152.562s
0.5; 0.25; 8; 9.82; 159.179s
0.5; 0.25; 8; 9.845; 166.771s
0.5; 0.25; 8; 10.055; 168.701s
0.6; 0.05; 8; 9.71; 148.491s
0.6; 0.05; 8; 8.645; 144.113s
0.6; 0.05; 8; 10.065; 132.627s
0.6; 0.05; 8; 9.38; 130.685s
0.6; 0.05; 8; 10.465; 189.489s
0.6; 0.1; 8; 10.055; 167.74s
0.6; 0.1; 8; 9.605; 137.337s
0.6; 0.1; 8; 9.445; 139.83s
0.6; 0.1; 8; 9.975; 157.275s
0.6; 0.1; 8; 9.975; 154.074s
0.6; 0.15; 8; 10; 137.647s
0.6; 0.15; 8; 9.53; 131.566s
0.6; 0.15; 8; 9.35; 140.443s
0.6; 0.15; 8; 10.14; 150.741s
0.6; 0.15; 8; 9.235; 120.567s
0.6; 0.2; 8; 10.125; 140.587s
0.6; 0.2; 8; 9.485; 112.664s
0.6; 0.2; 8; 9.62; 112.886s
0.6; 0.2; 8; 9.75; 133.44s
0.6; 0.2; 8; 9.335; 114.146s
0.6; 0.25; 8; 10.165; 155.361s
0.6; 0.25; 8; 9.89; 121.875s
0.6; 0.25; 8; 9.21; 131.417s
0.6; 0.25; 8; 10.095; 150.684s
0.6; 0.25; 8; 9.205; 109.833s
0.7; 0.05; 8; 9.71; 125.664s
0.7; 0.05; 8; 10.01; 131.792s
0.7; 0.05; 8; 10.545; 137.778s
0.7; 0.05; 8; 10.265; 138.772s
0.7; 0.05; 8; 9.515; 107.212s
0.7; 0.1; 8; 10.505; 127.88s
0.7; 0.1; 8; 10.26; 142.131s
0.7; 0.1; 8; 9.44; 114.742s
0.7; 0.1; 8; 10.13; 129.92s
0.7; 0.1; 8; 9.645; 118.351s
0.7; 0.15; 8; 10.105; 119.493s
0.7; 0.15; 8; 9.245; 100.877s
0.7; 0.15; 8; 9.895; 115.415s
0.7; 0.15; 8; 8.835; 107.679s
0.7; 0.15; 8; 9.365; 107.847s
0.7; 0.2; 8; 10.815; 121.495s
0.7; 0.2; 7; 8.74; 18.9159s
0.7; 0.2; 8; 9.55; 98.7366s
0.7; 0.2; 8; 10.56; 101.179s
0.7; 0.2; 8; 9.455; 107.837s
0.7; 0.25; 8; 9.865; 117.48s
0.7; 0.25; 8; 9.915; 87.684s
0.7; 0.25; 8; 9.455; 98.1975s
0.7; 0.25; 7; 10.245; 80.4521s
0.7; 0.25; 8; 9.895; 99.4485s
0.8; 0.05; 8; 9.23; 99.3556s
0.8; 0.05; 8; 10.1; 101.046s
0.8; 0.05; 8; 9.175; 97.2093s
0.8; 0.05; 8; 9.07; 84.6348s
0.8; 0.05; 8; 9.62; 98.5848s
0.8; 0.1; 8; 10.32; 95.1567s
0.8; 0.1; 8; 10.37; 99.0218s
0.8; 0.1; 8; 9.7; 93.261s
0.8; 0.1; 8; 10.25; 106.434s
0.8; 0.1; 8; 9.7; 85.9984s
0.8; 0.15; 8; 9.955; 91.5472s
0.8; 0.15; 8; 10.01; 99.5306s
0.8; 0.15; 8; 9.97; 96.6147s
0.8; 0.15; 8; 9.59; 100.57s
0.8; 0.15; 8; 9.41; 84.6095s
0.8; 0.2; 8; 9.755; 85.5105s
0.8; 0.2; 8; 9.52; 104.957s
0.8; 0.2; 8; 9.255; 85.9636s
0.8; 0.2; 8; 9.315; 84.6793s
0.8; 0.2; 8; 9.765; 84.0694s
0.8; 0.25; 7; 9.1; 42.8495s
0.8; 0.25; 8; 9.525; 89.7716s
0.8; 0.25; 8; 10.14; 85.5638s
0.8; 0.25; 8; 8.97; 79.1007s
0.8; 0.25; 8; 10.225; 91.01s
0.9; 0.05; 8; 9.53; 75.5888s
0.9; 0.05; 8; 9.84; 86.4028s
0.9; 0.05; 8; 10.185; 88.9415s
0.9; 0.05; 9; 10.115; 72.062s
0.9; 0.05; 8; 9.265; 82.9481s
0.9; 0.1; 8; 8.835; 75.75s
0.9; 0.1; 8; 8.83; 73.8101s
0.9; 0.1; 8; 9.725; 73.381s
0.9; 0.1; 8; 10.745; 92.9198s
0.9; 0.1; 8; 8.54; 72.7834s
0.9; 0.15; 8; 9.93; 77.834s
0.9; 0.15; 8; 9.32; 82.6137s
0.9; 0.15; 8; 9.27; 76.9638s
0.9; 0.15; 8; 9.31; 75.807s
0.9; 0.15; 8; 9.46; 83.087s
0.9; 0.2; 8; 9.875; 70.9281s
0.9; 0.2; 8; 9.265; 75.6959s
0.9; 0.2; 8; 9.405; 78.1984s
0.9; 0.2; 8; 8.755; 76.1684s
0.9; 0.2; 8; 9.52; 77.6866s
0.9; 0.25; 8; 10.065; 78.0294s
0.9; 0.25; 8; 8.77; 67.7206s
0.9; 0.25; 8; 10.015; 81.7765s
0.9; 0.25; 8; 9.395; 76.8072s
0.9; 0.25; 8; 9.605; 78.1289s
