cx; mx; best; avg; time
0.5; 0.05; 12; 17.55; 943.349s
0.5; 0.1; 13; 17.54; 690.755s
0.5; 0.15; 11; 16.76; 587.97s
0.5; 0.2; 11; 16.11; 662.39s
0.5; 0.25; 12; 16.87; 526.14s
0.6; 0.05; 11; 17.14; 642.799s
0.6; 0.1; 12; 16.72; 554.097s
0.6; 0.15; 12; 16.84; 560.284s
0.6; 0.2; 11; 16.61; 514.397s
0.6; 0.25; 13; 17.41; 435.09s
0.7; 0.05; 12; 17.19; 399.052s
0.7; 0.1; 12; 17.2; 440.072s
0.7; 0.15; 11; 17.26; 446.552s
0.7; 0.2; 10; 16.46; 340.724s
0.7; 0.25; 11; 16.33; 361.649s
0.8; 0.05; 12; 17.97; 361.791s
0.8; 0.1; 12; 16.66; 314.88s
0.8; 0.15; 12; 16.49; 286.27s
0.8; 0.2; 11; 16.79; 301.998s
0.8; 0.25; 11; 16.57; 249.644s
0.9; 0.05; 12; 16.72; 273.631s
0.9; 0.1; 12; 16.54; 297.672s
0.9; 0.15; 12; 17.28; 252.56s
0.9; 0.2; 11; 15.99; 225.081s
0.9; 0.25; 11; 16.09; 268.29s
cx; mx; best; avg; time
0.5; 0.05; 11; 13; 495.691s
0.5; 0.05; 12; 14.41; 534.788s
0.5; 0.1; 11; 11.885; 440.2s
0.5; 0.1; 12; 13.83; 480.51s
0.5; 0.15; 11; 13.285; 425.872s
0.5; 0.15; 12; 13.58; 441.71s
0.5; 0.2; 12; 12.525; 340.452s
0.5; 0.2; 11; 12.085; 430.547s
0.5; 0.25; 11; 13.55; 459.74s
0.5; 0.25; 11; 13.665; 450.487s
0.6; 0.05; 12; 12.405; 315.509s
0.6; 0.05; 12; 12.2; 312.947s
0.6; 0.1; 12; 12.29; 318.237s
0.6; 0.1; 11; 12.67; 382.65s
0.6; 0.15; 12; 12.205; 336.255s
0.6; 0.15; 11; 12.17; 377.82s
0.6; 0.2; 10; 10.67; 277.342s
0.6; 0.2; 10; 12.315; 341.526s
0.6; 0.25; 11; 11.425; 336.351s
0.6; 0.25; 11; 13.105; 334.598s
0.7; 0.05; 12; 12.085; 259.914s
0.7; 0.05; 11; 12.1; 283.777s
0.7; 0.1; 12; 12.49; 257.913s
0.7; 0.1; 11; 11.1; 234.907s
0.7; 0.15; 11; 12.075; 278.583s
0.7; 0.15; 11; 11.76; 268.428s
0.7; 0.2; 11; 11.71; 269.142s
0.7; 0.2; 11; 12.22; 239.592s
0.7; 0.25; 12; 12.275; 228.559s
0.7; 0.25; 11; 11.84; 233.927s
0.8; 0.05; 12; 12.86; 226.66s
0.8; 0.05; 11; 11.43; 241.023s
0.8; 0.1; 11; 12.875; 244.818s
0.8; 0.1; 12; 12.18; 222.993s
0.8; 0.15; 11; 12.12; 231.119s
0.8; 0.15; 11; 12.97; 277.266s
0.8; 0.2; 12; 12.395; 198.224s
0.8; 0.2; 10; 12.825; 243.189s
0.8; 0.25; 11; 13.185; 233.037s
0.8; 0.25; 10; 10.425; 235.125s
0.9; 0.05; 12; 12.045; 190.715s
0.9; 0.05; 11; 11.06; 180.604s
0.9; 0.1; 11; 11.415; 187.295s
0.9; 0.1; 10; 12.24; 176.054s
0.9; 0.15; 11; 11.335; 178.702s
0.9; 0.15; 11; 12.56; 202.379s
0.9; 0.2; 12; 12.2; 177.658s
0.9; 0.2; 11; 11.8; 180.586s
0.9; 0.25; 11; 11.195; 172.355s
0.9; 0.25; 11; 11.26; 181.465s
cx; mx; best; avg; time
0.5; 0.05; 13; 15.15; 496.235s
0.5; 0.05; 12; 12.385; 463.883s
0.5; 0.05; 13; 13.27; 363.881s
0.5; 0.05; 12; 13.775; 485.1s
0.5; 0.05; 12; 13.775; 469.974s
0.5; 0.1; 12; 13.705; 414.515s
0.5; 0.1; 10; 13.56; 547.194s
0.5; 0.1; 12; 13.385; 440.692s
0.5; 0.1; 11; 13.665; 452.658s
0.5; 0.1; 11; 14.135; 481.929s
0.5; 0.15; 11; 14.265; 465.675s
0.5; 0.15; 11; 12.105; 412.204s
0.5; 0.15; 13; 14.265; 368.327s
0.5; 0.15; 13; 14.835; 416.551s
0.5; 0.15; 12; 13.76; 388.804s
0.5; 0.2; 11; 11.49; 399.66s
0.5; 0.2; 11; 12.06; 387.25s
0.5; 0.2; 11; 12.04; 378.839s
0.5; 0.2; 11; 12.805; 385.559s
0.5; 0.2; 11; 13.345; 457.374s
0.5; 0.25; 11; 13.455; 461.478s
0.5; 0.25; 11; 12.22; 360.343s
0.5; 0.25; 10; 12.885; 404.276s
0.5; 0.25; 12; 13.615; 339.354s
0.5; 0.25; 10; 13.11; 456.075s
0.6; 0.05; 11; 11.805; 319.107s
0.6; 0.05; 13; 14.455; 376.947s
0.6; 0.05; 11; 12.725; 377.933s
0.6; 0.05; 12; 12.27; 349.535s
0.6; 0.05; 12; 12.52; 329.864s
0.6; 0.1; 11; 11.265; 299.693s
0.6; 0.1; 11; 12.46; 391.982s
0.6; 0.1; 11; 13.145; 379.137s
