cx; mx; best; avg; time
0.5; 0.05; 11; 12.455; 244.178s
0.5; 0.05; 11; 13.41; 333.231s
0.5; 0.1; 11; 12.04; 288.091s
0.5; 0.1; 11; 13.095; 258.056s
0.5; 0.15; 11; 12.1; 274.901s
0.5; 0.15; 11; 12.82; 267.38s
0.5; 0.2; 10; 11.725; 243.842s
0.5; 0.2; 10; 12.735; 277.087s
0.5; 0.25; 11; 11.84; 222.583s
0.5; 0.25; 11; 12.155; 166.291s
0.6; 0.05; 11; 11.92; 213.29s
0.6; 0.05; 11; 11.3; 197.091s
0.6; 0.1; 11; 12.625; 210.182s
0.6; 0.1; 12; 12.645; 204.496s
0.6; 0.15; 11; 11.53; 190.906s
0.6; 0.15; 10; 12.685; 201.945s
0.6; 0.2; 11; 11.32; 203.264s
0.6; 0.2; 11; 12.125; 208.534s
0.6; 0.25; 11; 11.345; 165.204s
0.6; 0.25; 11; 12.45; 194.804s
0.7; 0.05; 10; 12.14; 217.839s
0.7; 0.05; 11; 11.39; 179.461s
0.7; 0.1; 11; 12.67; 175.822s
0.7; 0.1; 11; 11.62; 159.063s
0.7; 0.15; 11; 11.16; 135.802s
0.7; 0.15; 11; 11.2; 142.478s
0.7; 0.2; 10; 11.57; 178.855s
0.7; 0.2; 10; 11.78; 162.089s
0.7; 0.25; 14; 15.65; 121.398s
0.7; 0.25; 10; 12.58; 139.772s
0.8; 0.05; 11; 11.23; 146.568s
0.8; 0.05; 14; 14.38; 111.089s
0.8; 0.1; 11; 12.285; 146.416s
0.8; 0.1; 11; 11.21; 131.295s
0.8; 0.15; 11; 11.1; 122.958s
0.8; 0.15; 11; 11.34; 115.198s
0.8; 0.2; 10; 11.34; 136.479s
0.8; 0.2; 10; 11.025; 141.163s
0.8; 0.25; 14; 15.055; 112.935s
0.8; 0.25; 13; 14.38; 112.166s
0.9; 0.05; 13; 14.275; 102.699s
0.9; 0.05; 10; 10.59; 143.116s
0.9; 0.1; 10; 11.105; 111.631s
0.9; 0.1; 10; 11.04; 121.85s
0.9; 0.15; 10; 12.515; 137.659s
0.9; 0.15; 10; 11.325; 122.153s
0.9; 0.2; 13; 13.41; 107.121s
0.9; 0.2; 13; 14.47; 104.204s
0.9; 0.25; 13; 14.345; 103.811s
0.9; 0.25; 15; 15.875; 103.504s
cx; mx; best; avg; time
