cx; mx; best; avg; time
0.5; 0.05; 10; 12.61; 454.964s
0.5; 0.1; 11; 12.245; 308.735s
0.5; 0.15; 10; 11.63; 274.354s
0.5; 0.2; 9; 11.68; 340.497s
0.5; 0.25; 9; 12.52; 313.305s
0.6; 0.05; 10; 11.655; 287.86s
0.6; 0.1; 10; 11.21; 264.012s
0.6; 0.15; 9; 10.905; 266.082s
0.6; 0.2; 9; 10.825; 251.508s
0.6; 0.25; 9; 10.24; 224.087s
0.7; 0.05; 11; 11.51; 181.103s
0.7; 0.1; 9; 11.585; 222.944s
0.7; 0.15; 10; 10.63; 180.854s
0.7; 0.2; 9; 11.135; 210.955s
0.7; 0.25; 9; 11.32; 184.503s
0.8; 0.05; 10; 11.29; 168.697s
0.8; 0.1; 10; 10.66; 145.873s
0.8; 0.15; 9; 11.115; 172.496s
0.8; 0.2; 9; 11.915; 190.963s
0.8; 0.25; 10; 11.355; 140.08s
0.9; 0.05; 10; 10.065; 118.24s
0.9; 0.1; 10; 10.15; 123.842s
0.9; 0.15; 9; 10.52; 130.863s
0.9; 0.2; 9; 10.645; 133.593s
0.9; 0.25; 9; 9.73; 117.662s
cx; mx; best; avg; time
0.5; 0.05; 11; 12.4; 260.061s
0.5; 0.05; 10; 11.32; 355.162s
0.5; 0.05; 10; 11.7; 295.895s
0.5; 0.1; 10; 10.97; 309.754s
0.5; 0.1; 9; 10.965; 312.612s
0.5; 0.1; 9; 12.095; 486.969s
0.5; 0.15; 10; 11.485; 284.608s
0.5; 0.15; 9; 10.72; 316.98s
0.5; 0.15; 10; 12.205; 334.928s
0.5; 0.2; 10; 11.53; 270.932s
0.5; 0.2; 9; 11.67; 387.337s
0.5; 0.2; 9; 11.74; 284.89s
0.5; 0.25; 9; 11.37; 294.661s
0.5; 0.25; 9; 12.245; 365.046s
0.5; 0.25; 9; 11.935; 289.665s
0.6; 0.05; 10; 12.48; 263.977s
0.6; 0.05; 10; 10.93; 266.884s
0.6; 0.05; 10; 11.915; 278.115s
0.6; 0.1; 11; 11.99; 220.555s
0.6; 0.1; 10; 11.385; 216.813s
0.6; 0.1; 10; 11.01; 237.601s
0.6; 0.15; 10; 11.72; 237.483s
0.6; 0.15; 10; 11.615; 216.564s
0.6; 0.15; 8; 11.67; 312.116s
0.6; 0.2; 10; 11.045; 218.32s
0.6; 0.2; 9; 11.555; 246.09s
0.6; 0.2; 8; 12.195; 592.382s
0.6; 0.25; 9; 10.525; 228.028s
0.6; 0.25; 9; 11.725; 296.504s
0.6; 0.25; 9; 10.275; 226.082s
0.7; 0.05; 11; 11.64; 193.869s
0.7; 0.05; 9; 11.01; 292.79s
0.7; 0.05; 10; 11.88; 200.068s
0.7; 0.1; 10; 11.885; 204.504s
0.7; 0.1; 11; 11.695; 173.711s
0.7; 0.1; 9; 10.83; 226.695s
0.7; 0.15; 10; 10.765; 183.462s
0.7; 0.15; 9; 10.2; 183.184s
0.7; 0.15; 10; 10.27; 147.398s
0.7; 0.2; 10; 10.395; 160.135s
0.7; 0.2; 9; 11.735; 210.083s
0.7; 0.2; 9; 11.3; 170.414s
0.7; 0.25; 9; 10.365; 183.757s
0.7; 0.25; 9; 11.065; 203.152s
0.7; 0.25; 9; 11.54; 194.699s
0.8; 0.05; 10; 10.84; 175.865s
0.8; 0.05; 10; 11.44; 206.087s
0.8; 0.05; 10; 10.355; 156.756s
0.8; 0.1; 9; 10.935; 177.853s
0.8; 0.1; 10; 10.51; 167.439s
0.8; 0.1; 10; 10.85; 170.828s
0.8; 0.15; 9; 11.31; 172.318s
0.8; 0.15; 10; 11.05; 153.4s
0.8; 0.15; 9; 10.87; 159.117s
0.8; 0.2; 9; 10.965; 147.581s
0.8; 0.2; 9; 11.33; 166.702s
0.8; 0.2; 9; 10.9; 175.391s
0.8; 0.25; 9; 10.4; 145.884s
0.8; 0.25; 9; 10.285; 161.283s
0.8; 0.25; 9; 9.925; 144.321s
0.9; 0.05; 10; 10.255; 151.168s
0.9; 0.05; 9; 11.47; 182.783s
0.9; 0.05; 9; 10.08; 146.771s
0.9; 0.1; 9; 9.72; 133.643s
0.9; 0.1; 9; 10; 123.394s
0.9; 0.1; 9; 11.065; 186.886s
0.9; 0.15; 9; 10.94; 141.053s
0.9; 0.15; 9; 11.93; 152.306s
0.9; 0.15; 10; 10.445; 133.464s
0.9; 0.2; 9; 10.63; 131.056s
0.9; 0.2; 9; 11.215; 158.396s
0.9; 0.2; 9; 9.25; 128.191s
0.9; 0.25; 9; 10; 154.474s
0.9; 0.25; 9; 12.205; 139.917s
0.9; 0.25; 9; 10.82; 155.446s
cx; mx; best; avg; time
0.5; 0.05; 10; 11.925; 318.564s
0.5; 0.05; 10; 12.255; 377.711s
0.5; 0.05; 11; 12.545; 335.196s
0.5; 0.05; 10; 11.595; 364.702s
0.5; 0.05; 9; 11.585; 541.469s
0.5; 0.05; 11; 12.54; 330.998s
0.5; 0.1; 10; 10.71; 268.593s
0.5; 0.1; 10; 11.405; 341.493s
0.5; 0.1; 10; 11.925; 362.692s
0.5; 0.1; 9; 10.845; 311.59s
0.5; 0.1; 10; 11.765; 311.374s
0.5; 0.1; 10; 11.87; 318.405s
0.5; 0.15; 10; 11.65; 302.81s
0.5; 0.15; 10; 11.4; 278.557s
0.5; 0.15; 9; 11.46; 324.428s
0.5; 0.15; 10; 12.335; 351.998s
0.5; 0.15; 10; 12.12; 348.543s
0.5; 0.15; 10; 11.645; 261.006s
0.5; 0.2; 10; 12.16; 305.48s
0.5; 0.2; 9; 12.11; 425.545s
0.5; 0.2; 9; 11.53; 370.887s
0.5; 0.2; 9; 10.335; 285.543s
0.5; 0.2; 9; 12.245; 516.655s
0.5; 0.2; 9; 11.62; 272.799s
0.5; 0.25; 10; 12.085; 263.764s
0.5; 0.25; 9; 11.39; 327.885s
0.5; 0.25; 9; 12.395; 336.518s
0.5; 0.25; 10; 10.985; 251.043s
0.5; 0.25; 9; 11.91; 401.696s
0.5; 0.25; 9; 12.35; 338.514s
0.6; 0.05; 10; 11.105; 315.625s
0.6; 0.05; 11; 12.24; 262.936s
0.6; 0.05; 10; 11.67; 230.07s
0.6; 0.05; 10; 12.03; 232.639s
0.6; 0.05; 10; 11.68; 263.36s
0.6; 0.05; 10; 11.545; 247.011s
0.6; 0.1; 9; 10.995; 279.701s
0.6; 0.1; 10; 10.945; 256.926s
0.6; 0.1; 10; 11.74; 262.102s
0.6; 0.1; 9; 11.125; 245.067s
0.6; 0.1; 11; 11.705; 208.068s
0.6; 0.1; 10; 10.985; 242.469s
0.6; 0.15; 10; 10.815; 201.708s
0.6; 0.15; 9; 11.26; 305.721s
0.6; 0.15; 9; 11.66; 349.836s
0.6; 0.15; 10; 11.245; 222.593s
0.6; 0.15; 10; 11.535; 230.194s
0.6; 0.15; 9; 11.905; 256.445s
0.6; 0.2; 10; 11.09; 204.479s
0.6; 0.2; 9; 11.71; 247.432s
0.6; 0.2; 9; 11.555; 228.264s
0.6; 0.2; 10; 11.71; 262.528s
0.6; 0.2; 9; 12.785; 306.857s
0.6; 0.2; 10; 11.045; 262.622s
0.6; 0.25; 9; 11.915; 255.759s
0.6; 0.25; 10; 11.56; 220.007s
0.6; 0.25; 10; 11.315; 213.45s
0.6; 0.25; 10; 12.23; 230.339s
0.6; 0.25; 9; 11.365; 233.022s
0.6; 0.25; 9; 11.81; 307.356s
0.7; 0.05; 9; 11.29; 244.559s
0.7; 0.05; 10; 11.705; 236.288s
0.7; 0.05; 10; 10.85; 193.261s
0.7; 0.05; 10; 11.425; 223.45s
0.7; 0.05; 10; 10.96; 182.578s
0.7; 0.05; 11; 12.325; 190.441s
0.7; 0.1; 9; 11.555; 211.735s
0.7; 0.1; 10; 10.85; 185.383s
0.7; 0.1; 10; 10.645; 180.334s
0.7; 0.1; 10; 10.695; 174.694s
0.7; 0.1; 9; 11.62; 243.241s
0.7; 0.1; 10; 11.535; 203.586s
0.7; 0.15; 10; 11.535; 171.781s
