cx; mx; best; avg; time
0.5; 0.05; 9; 10.57; 216.022s
0.5; 0.05; 9; 10.07; 181.841s
0.5; 0.05; 9; 10.57; 246.771s
0.5; 0.05; 8; 9.875; 250.468s
0.5; 0.05; 8; 10.305; 269.646s
0.5; 0.1; 9; 10.255; 205.577s
0.5; 0.1; 8; 9.45; 190.921s
0.5; 0.1; 8; 10.28; 361.256s
0.5; 0.1; 8; 9.655; 219.231s
0.5; 0.1; 8; 9.47; 236.468s
0.5; 0.15; 9; 10.405; 175.383s
0.5; 0.15; 8; 10.265; 269.157s
0.5; 0.15; 8; 9.755; 231.046s
0.5; 0.15; 8; 9.715; 205.163s
0.5; 0.15; 8; 9.755; 176.068s
0.5; 0.2; 8; 9.73; 180.406s
0.5; 0.2; 8; 9.46; 181.624s
0.5; 0.2; 8; 10.4; 250.026s
0.5; 0.2; 8; 10.77; 321.815s
0.5; 0.2; 8; 10.44; 345.708s
0.5; 0.25; 8; 9.775; 178.709s
0.5; 0.25; 8; 9.395; 172.464s
0.5; 0.25; 8; 9.765; 209.431s
0.5; 0.25; 8; 10.13; 202.394s
0.5; 0.25; 8; 9.41; 185.984s
0.6; 0.05; 8; 9.88; 196.444s
0.6; 0.05; 8; 9.855; 229.03s
0.6; 0.05; 8; 9.855; 189.925s
0.6; 0.05; 8; 9.965; 243.832s
0.6; 0.05; 8; 9.475; 166.663s
0.6; 0.1; 8; 9.765; 174.082s
0.6; 0.1; 8; 10.005; 197.916s
0.6; 0.1; 8; 9.885; 259.893s
0.6; 0.1; 8; 9.89; 190.593s
0.6; 0.1; 8; 9.81; 191.052s
0.6; 0.15; 8; 9.88; 202.503s
0.6; 0.15; 7; 9.32; 71.7544s
0.6; 0.15; 8; 9.69; 187.139s
0.6; 0.15; 8; 9.14; 148.188s
0.6; 0.15; 8; 9.52; 161.994s
0.6; 0.2; 8; 10.155; 202.603s
0.6; 0.2; 8; 9.52; 183.253s
0.6; 0.2; 8; 9.78; 191.826s
0.6; 0.2; 8; 10; 179.46s
0.6; 0.2; 8; 10.255; 163.78s
0.6; 0.25; 8; 9.425; 133.845s
0.6; 0.25; 8; 10.475; 198.69s
0.6; 0.25; 8; 9.64; 156.498s
0.6; 0.25; 8; 10.13; 193.508s
0.6; 0.25; 8; 9.485; 135.549s
0.7; 0.05; 8; 9.75; 156.362s
0.7; 0.05; 8; 9.81; 175.898s
0.7; 0.05; 8; 10.05; 129.251s
0.7; 0.05; 8; 10.615; 129.391s
0.7; 0.05; 8; 9.955; 140.492s
0.7; 0.1; 8; 9.625; 146.145s
0.7; 0.1; 7; 9.035; 58.1991s
0.7; 0.1; 8; 9.445; 123.594s
0.7; 0.1; 8; 10.205; 175.458s
0.7; 0.1; 8; 9.19; 126.78s
0.7; 0.15; 8; 10.11; 143.061s
0.7; 0.15; 7; 8.99; 38.2018s
0.7; 0.15; 8; 10.24; 150.294s
0.7; 0.15; 8; 10.25; 138.252s
0.7; 0.15; 8; 9.895; 129.336s
0.7; 0.2; 8; 9.005; 121.445s
0.7; 0.2; 8; 9.55; 132.667s
0.7; 0.2; 8; 10.88; 144.406s
0.7; 0.2; 8; 10.16; 135.091s
0.7; 0.2; 8; 9.88; 122.024s
0.7; 0.25; 8; 10.145; 153.907s
0.7; 0.25; 8; 10.17; 127.189s
0.7; 0.25; 8; 10.005; 117.302s
0.7; 0.25; 8; 9.525; 116.507s
0.7; 0.25; 8; 9.72; 126.815s
0.8; 0.05; 8; 9.68; 105.678s
0.8; 0.05; 8; 9.88; 117.273s
0.8; 0.05; 9; 10.24; 96.6908s
0.8; 0.05; 8; 9.625; 126.013s
0.8; 0.05; 8; 9.86; 135.202s
