temp; rate; best
1e+06; 0.9999; 17
1e+06; 0.9999; 18
1e+06; 0.9999; 17
1e+06; 0.9999; 16
1e+06; 0.9999; 17
1e+06; 0.9999; 17
1e+06; 0.9999; 16
1e+06; 0.9999; 19
1e+06; 0.9999; 16
1e+06; 0.9999; 16
1e+06; 0.9995; 8
1e+06; 0.9995; 8
1e+06; 0.9995; 8
1e+06; 0.9995; 8
1e+06; 0.9995; 8
1e+06; 0.9995; 8
1e+06; 0.9995; 8
1e+06; 0.9995; 8
1e+06; 0.9995; 8
1e+06; 0.9995; 8
1e+06; 0.999; 8
1e+06; 0.999; 8
1e+06; 0.999; 8
1e+06; 0.999; 8
1e+06; 0.999; 9
1e+06; 0.999; 8
1e+06; 0.999; 8
1e+06; 0.999; 8
1e+06; 0.999; 8
1e+06; 0.999; 8
1e+06; 0.995; 8
1e+06; 0.995; 8
1e+06; 0.995; 8
1e+06; 0.995; 8
1e+06; 0.995; 8
1e+06; 0.995; 8
1e+06; 0.995; 8
1e+06; 0.995; 8
1e+06; 0.995; 8
1e+06; 0.995; 8
1e+06; 0.99; 8
1e+06; 0.99; 8
1e+06; 0.99; 8
1e+06; 0.99; 8
1e+06; 0.99; 8
1e+06; 0.99; 8
1e+06; 0.99; 8
1e+06; 0.99; 7
1e+06; 0.99; 8
1e+06; 0.99; 8
500000; 0.9999; 15
500000; 0.9999; 15
500000; 0.9999; 19
500000; 0.9999; 18
500000; 0.9999; 19
500000; 0.9999; 16
500000; 0.9999; 16
500000; 0.9999; 13
500000; 0.9999; 17
500000; 0.9999; 17
500000; 0.9995; 8
500000; 0.9995; 8
500000; 0.9995; 8
500000; 0.9995; 8
500000; 0.9995; 8
500000; 0.9995; 8
500000; 0.9995; 8
500000; 0.9995; 8
500000; 0.9995; 7
500000; 0.9995; 8
500000; 0.999; 8
500000; 0.999; 8
500000; 0.999; 8
500000; 0.999; 8
500000; 0.999; 8
500000; 0.999; 8
500000; 0.999; 8
500000; 0.999; 8
500000; 0.999; 8
500000; 0.999; 8
500000; 0.995; 8
500000; 0.995; 8
500000; 0.995; 8
500000; 0.995; 8
500000; 0.995; 8
500000; 0.995; 8
500000; 0.995; 8
500000; 0.995; 8
500000; 0.995; 8
500000; 0.995; 8
500000; 0.99; 8
500000; 0.99; 8
500000; 0.99; 8
500000; 0.99; 8
500000; 0.99; 8
500000; 0.99; 8
500000; 0.99; 8
500000; 0.99; 8
500000; 0.99; 8
