cp; mp; best; avg; time
0.5; 0.05; 11; 12.935; 500.607s
0.5; 0.05; 11; 13.485; 581.96s
0.5; 0.05; 11; 16.55; 2239.07s
0.5; 0.05; 12; 12.73; 460.226s
0.5; 0.05; 12; 13.06; 488.004s
0.5; 0.05; 12; 13.6; 503.162s
0.5; 0.05; 12; 14.085; 574.581s
0.5; 0.05; 13; 14.47; 538.857s
0.5; 0.05; 14; 14.565; 434.099s
0.5; 0.05; 14; 15.5; 476.22s
0.5; 0.1; 11; 12.855; 524.837s
0.5; 0.1; 11; 13.33; 576.77s
0.5; 0.1; 12; 13.225; 418.013s
0.5; 0.1; 12; 13.65; 606.899s
0.5; 0.1; 12; 13.745; 512.933s
0.5; 0.1; 12; 13.765; 517.402s
0.5; 0.1; 12; 13.81; 512.654s
0.5; 0.1; 12; 13.85; 513.548s
0.5; 0.1; 13; 14.85; 516.868s
0.5; 0.1; 13; 17.95; 869.416s
0.5; 0.15; 10; 12.54; 534.051s
0.5; 0.15; 11; 11.76; 448.585s
0.5; 0.15; 11; 12.53; 518.577s
0.5; 0.15; 11; 12.79; 504.748s
0.5; 0.15; 11; 12.93; 583.776s
0.5; 0.15; 11; 13.18; 563.837s
0.5; 0.15; 12; 13.36; 481.577s
0.5; 0.15; 12; 13.53; 434.047s
0.5; 0.15; 12; 13.53; 465.382s
0.5; 0.15; 12; 17; 810.354s
0.5; 0.2; 11; 11.695; 397.22s
0.5; 0.2; 11; 12.6; 539.962s
0.5; 0.2; 11; 12.73; 480.053s
0.5; 0.2; 11; 12.895; 529.473s
0.5; 0.2; 11; 13.315; 468.641s
0.5; 0.2; 11; 13.91; 507.945s
0.5; 0.2; 12; 12.36; 384.031s
0.5; 0.2; 12; 13.15; 422.299s
0.5; 0.2; 12; 13.49; 438.89s
0.5; 0.2; 13; 17.85; 696.73s
0.5; 0.25; 10; 11.32; 441.064s
0.5; 0.25; 10; 13.335; 631.86s
0.5; 0.25; 10; 13.375; 519.274s
0.5; 0.25; 11; 12.4; 410.459s
0.5; 0.25; 11; 12.765; 480.63s
0.5; 0.25; 11; 12.91; 480.691s
0.5; 0.25; 12; 13.005; 427.385s
0.5; 0.25; 12; 13.235; 456.108s
0.5; 0.25; 12; 13.315; 468.43s
0.5; 0.25; 12; 16.74; 704.127s
0.6; 0.05; 11; 12.98; 459.423s
0.6; 0.05; 11; 13.025; 372.361s
0.6; 0.05; 12; 12.65; 393.951s
0.6; 0.05; 12; 12.72; 376.483s
0.6; 0.05; 12; 12.99; 414.647s
0.6; 0.05; 12; 13.585; 370.819s
0.6; 0.05; 13; 13.075; 371.359s
0.6; 0.05; 13; 14.34; 407.336s
0.6; 0.05; 13; 14.505; 418.056s
0.6; 0.05; 13; 17.23; 755.974s
0.6; 0.1; 10; 10.92; 482.739s
0.6; 0.1; 11; 11.65; 373.06s
0.6; 0.1; 11; 11.985; 391.761s
0.6; 0.1; 12; 12.42; 343.409s
0.6; 0.1; 12; 12.95; 359.236s
0.6; 0.1; 12; 12.99; 418.217s
0.6; 0.1; 12; 13.17; 429.86s
0.6; 0.1; 12; 13.95; 373.083s
0.6; 0.1; 12; 13.98; 365.665s
0.6; 0.1; 13; 17.44; 588.238s
0.6; 0.15; 11; 11.31; 419.814s
0.6; 0.15; 11; 12.285; 368.991s
0.6; 0.15; 11; 12.305; 356.234s
0.6; 0.15; 11; 12.3; 376.988s
0.6; 0.15; 11; 12.76; 468.965s
0.6; 0.15; 11; 16.87; 734.934s
0.6; 0.15; 12; 13.745; 361.046s
0.6; 0.15; 13; 13.39; 358.684s
0.6; 0.15; 13; 13.475; 334.732s
0.6; 0.15; 13; 14.055; 369.126s
0.6; 0.2; 11; 11.47; 364.672s
0.6; 0.2; 11; 15.81; 554.897s
0.6; 0.2; 12; 12.735; 357.854s
0.6; 0.2; 12; 12.795; 361.903s
0.6; 0.2; 12; 12.89; 353.742s
0.6; 0.2; 12; 13.18; 363.258s
0.6; 0.2; 12; 13.29; 372.252s
0.6; 0.2; 12; 13.345; 347.18s
0.6; 0.2; 12; 13.385; 363.3s
0.6; 0.2; 12; 13.505; 381.399s
0.6; 0.25; 10; 11.52; 370.037s
0.6; 0.25; 10; 12.07; 332.129s
0.6; 0.25; 11; 12.16; 325.978s
0.6; 0.25; 11; 12.25; 407.996s
0.6; 0.25; 11; 12.295; 342.796s
0.6; 0.25; 11; 12.53; 341.617s
0.6; 0.25; 11; 12.645; 330.789s
0.6; 0.25; 11; 13.255; 361.225s
0.6; 0.25; 11; 13.56; 433.085s
0.6; 0.25; 11; 16.8; 483.287s
0.7; 0.05; 11; 11.78; 279.945s
0.7; 0.05; 11; 11.87; 310.61s
0.7; 0.05; 11; 12.355; 304.943s
0.7; 0.05; 11; 12.985; 388.871s
0.7; 0.05; 12; 12.075; 286.124s
0.7; 0.05; 12; 12.075; 295.565s
0.7; 0.05; 12; 13.62; 335.8s
0.7; 0.05; 13; 13.04; 280.73s
0.7; 0.05; 13; 13.075; 249.173s
0.7; 0.05; 13; 17.25; 557.743s
0.7; 0.1; 11; 11.06; 261.46s
0.7; 0.1; 11; 11.09; 281.541s
0.7; 0.1; 11; 12.52; 306.12s
0.7; 0.1; 11; 12.675; 338.461s
0.7; 0.1; 11; 12.845; 317.081s
0.7; 0.1; 11; 15.83; 620.73s
0.7; 0.1; 12; 13.465; 305.835s
0.7; 0.1; 13; 13.26; 293.668s
0.7; 0.1; 14; 14.595; 288.876s
0.7; 0.1; 14; 14.91; 302.428s
0.7; 0.15; 11; 11.26; 305.734s
0.7; 0.15; 11; 11.405; 293.538s
0.7; 0.15; 11; 12.235; 296.872s
0.7; 0.15; 11; 12.3; 300.342s
0.7; 0.15; 11; 12.87; 335.339s
0.7; 0.15; 11; 13.47; 311.698s
0.7; 0.15; 12; 12.495; 276.93s
0.7; 0.15; 12; 12.56; 283.264s
0.7; 0.15; 12; 12.72; 280.495s
0.7; 0.15; 12; 16.71; 405.441s
0.7; 0.2; 10; 11.845; 312.887s
0.7; 0.2; 11; 11.175; 232.492s
0.7; 0.2; 11; 11.5; 288.693s
0.7; 0.2; 11; 11.55; 274.144s
0.7; 0.2; 11; 11.58; 296.565s
0.7; 0.2; 11; 12.545; 306.831s
