cx; mx; best; avg; time
0.5; 0.05; 12; 17.06; 385.231s
0.5; 0.1; 12; 16.97; 362.636s
0.5; 0.15; 11; 18.17; 327.059s
0.5; 0.2; 11; 17.53; 321.922s
0.5; 0.25; 12; 19.19; 337.177s
0.6; 0.05; 12; 18.34; 299.535s
0.6; 0.1; 12; 17.39; 278.05s
0.6; 0.15; 12; 18.9; 277.651s
0.6; 0.2; 12; 16.96; 267.155s
0.6; 0.25; 12; 17.94; 230.449s
0.7; 0.05; 12; 18.02; 241.949s
0.7; 0.1; 12; 16.71; 212.693s
0.7; 0.15; 12; 17.09; 208.978s
0.7; 0.2; 13; 18.22; 216.554s
0.7; 0.25; 13; 19.3; 186.663s
0.8; 0.05; 12; 18.55; 189.238s
0.8; 0.1; 12; 19.19; 196.905s
0.8; 0.15; 11; 17.16; 187.918s
0.8; 0.2; 11; 17.24; 176.999s
0.8; 0.25; 11; 16.96; 168.437s
0.9; 0.05; 12; 17.47; 162.997s
0.9; 0.1; 12; 18.68; 168.209s
0.9; 0.15; 11; 17.32; 161.059s
0.9; 0.2; 12; 18.18; 157.791s
0.9; 0.25; 11; 16.99; 150.154s
cx; mx; best; avg; time
0.5; 0.05; 12; 13.745; 388.824s
0.5; 0.05; 11; 13.535; 426.905s
0.5; 0.1; 11; 12.235; 456.084s
0.5; 0.1; 12; 13.31; 372.079s
0.5; 0.15; 12; 13.215; 335.132s
0.5; 0.15; 11; 12.485; 322.236s
0.5; 0.2; 10; 13.48; 395.161s
0.5; 0.2; 12; 13.325; 330.657s
0.5; 0.25; 10; 13.315; 361.988s
0.5; 0.25; 11; 11.51; 279.578s
0.6; 0.05; 11; 12.16; 316.121s
0.6; 0.05; 12; 12.43; 245.584s
0.6; 0.1; 12; 13.525; 306.407s
0.6; 0.1; 12; 12.355; 267.624s
0.6; 0.15; 11; 12.24; 271.836s
0.6; 0.15; 12; 13.76; 279.372s
0.6; 0.2; 11; 12.64; 248.136s
0.6; 0.2; 11; 12.93; 293.34s
