cp; mp; best; avg; time
0.5; 0.05; 8; 10.105; 122.174s
0.5; 0.05; 8; 9.39; 115.721s
0.5; 0.05; 8; 9.705; 118.177s
0.5; 0.05; 8; 9.71; 140.526s
0.5; 0.05; 8; 9.745; 116.326s
0.5; 0.05; 8; 9.81; 136.83s
0.5; 0.05; 8; 9.87; 117.78s
0.5; 0.05; 8; 9.875; 131.98s
0.5; 0.05; 8; 9.915; 128.946s
0.5; 0.05; 8; 9.955; 116.669s
0.5; 0.15; 7; 9.12; 97.6642s
0.5; 0.15; 8; 10.28; 125.95s
0.5; 0.15; 8; 10.285; 119.609s
0.5; 0.15; 8; 10.35; 130.41s
0.5; 0.15; 8; 9.145; 106.926s
0.5; 0.15; 8; 9.415; 120.098s
0.5; 0.15; 8; 9.565; 115.811s
0.5; 0.15; 8; 9.63; 123.833s
0.5; 0.15; 8; 9.635; 109.913s
0.5; 0.15; 8; 9.885; 118.925s
0.5; 0.1; 8; 10.13; 133.905s
0.5; 0.1; 8; 10.17; 123.626s
0.5; 0.1; 8; 10.19; 135.416s
0.5; 0.1; 8; 10.25; 134.016s
0.5; 0.1; 8; 10.4; 120.964s
0.5; 0.1; 8; 11.115; 125.949s
0.5; 0.1; 8; 9.75; 134.183s
0.5; 0.1; 8; 9.84; 128.566s
0.5; 0.1; 8; 9.85; 131.734s
0.5; 0.1; 8; 9.915; 130.84s
0.5; 0.25; 7; 9.645; 24.4031s
0.5; 0.25; 8; 10.21; 111.104s
0.5; 0.25; 8; 10.275; 110.729s
0.5; 0.25; 8; 10.415; 112.388s
0.5; 0.25; 8; 10.745; 112.057s
0.5; 0.25; 8; 10.775; 110.583s
0.5; 0.25; 8; 9.425; 99.6209s
0.5; 0.25; 8; 9.485; 107.202s
0.5; 0.25; 8; 9.545; 103.999s
0.5; 0.25; 8; 9.82; 103.92s
0.5; 0.2; 7; 9.605; 15.4498s
0.5; 0.2; 8; 10.215; 111.594s
0.5; 0.2; 8; 10.415; 112.514s
0.5; 0.2; 8; 10.445; 116.6s
0.5; 0.2; 8; 10.685; 121.857s
0.5; 0.2; 8; 10.775; 119.663s
0.5; 0.2; 8; 9.6; 107.671s
0.5; 0.2; 8; 9.805; 107.509s
0.5; 0.2; 8; 9.885; 106.767s
0.5; 0.2; 8; 9.955; 109.078s
0.6; 0.05; 8; 10.28; 104.832s
