cp; mp; best; avg; time
0.6; 0.05; 8; 10.285; 104.791s
0.6; 0.05; 8; 9.165; 96.9594s
0.6; 0.05; 8; 9.225; 101.356s
0.6; 0.05; 8; 9.345; 103.545s
0.6; 0.05; 8; 9.445; 94.8237s
0.6; 0.05; 8; 9.755; 95.9478s
0.6; 0.05; 8; 9.905; 101.049s
0.6; 0.05; 8; 9.9; 108.179s
0.6; 0.05; 8; 9.94; 105.188s
0.6; 0.15; 7; 8.83; 7.27761s
0.6; 0.15; 8; 10.125; 97.3961s
0.6; 0.15; 8; 10.175; 102.871s
0.6; 0.15; 8; 10.235; 99.9252s
0.6; 0.15; 8; 10.325; 103.806s
0.6; 0.15; 8; 9.36; 96.8301s
0.6; 0.15; 8; 9.475; 92.3781s
0.6; 0.15; 8; 9.48; 90.3968s
0.6; 0.15; 8; 9.79; 97.6152s
0.6; 0.15; 8; 9.905; 97.5642s
0.6; 0.1; 8; 10.125; 100.953s
0.6; 0.1; 8; 10.535; 96.8851s
0.6; 0.1; 8; 9.46; 101.098s
0.6; 0.1; 8; 9.585; 98.5363s
0.6; 0.1; 8; 9.68; 102.865s
0.6; 0.1; 8; 9.89; 98.1458s
0.6; 0.1; 8; 9.965; 106.731s
0.6; 0.1; 8; 9.97; 99.062s
0.6; 0.1; 8; 9.99; 103.178s
0.6; 0.1; 8; 9.995; 109.931s
0.6; 0.25; 7; 8.96; 12.2763s
0.6; 0.25; 7; 9.14; 10.9559s
0.6; 0.25; 7; 9.82; 49.1374s
0.6; 0.25; 8; 10.305; 93.2971s
0.6; 0.25; 8; 10.65; 93.7304s
0.6; 0.25; 8; 9.18; 81.8259s
0.6; 0.25; 8; 9.56; 90.9013s
0.6; 0.25; 8; 9.81; 92.627s
0.6; 0.25; 8; 9.89; 89.9928s
0.6; 0.25; 8; 9.93; 82.2946s
0.6; 0.2; 8; 10.175; 96.1269s
0.6; 0.2; 8; 10.315; 95.1153s
0.6; 0.2; 8; 10.575; 96.5155s
0.6; 0.2; 8; 10.59; 96.3327s
0.6; 0.2; 8; 9.38; 87.1898s
0.6; 0.2; 8; 9.56; 90.4316s
0.6; 0.2; 8; 9.615; 92.3639s
0.6; 0.2; 8; 9.715; 94.7688s
0.6; 0.2; 8; 9.73; 93.5428s
0.6; 0.2; 8; 9.86; 92.2183s
0.7; 0.05; 8; 10.805; 89.1705s
0.7; 0.05; 8; 9.08; 78.0543s
0.7; 0.05; 8; 9.095; 91.0195s
0.7; 0.05; 8; 9.09; 80.9197s
0.7; 0.05; 8; 9.31; 86.3375s
0.7; 0.05; 8; 9.41; 85.7598s
0.7; 0.05; 8; 9.505; 77.2683s
0.7; 0.05; 8; 9.535; 88.9782s
0.7; 0.05; 8; 9.75; 101.335s
0.7; 0.05; 8; 9.825; 97.4973s
0.7; 0.15; 8; 10.065; 81.558s
0.7; 0.15; 8; 10.37; 83.9821s
0.7; 0.15; 8; 10.5; 91.184s
0.7; 0.15; 8; 9.305; 76.7986s
0.7; 0.15; 8; 9.36; 75.4313s
0.7; 0.15; 8; 9.455; 83.1635s
0.7; 0.15; 8; 9.46; 78.5243s
0.7; 0.15; 8; 9.475; 86.4672s
0.7; 0.15; 8; 9.655; 88.0937s
0.7; 0.15; 8; 9.865; 82.2794s
0.7; 0.1; 7; 8.75; 9.16028s
0.7; 0.1; 8; 10.13; 95.5365s
0.7; 0.1; 8; 10.21; 87.8164s
0.7; 0.1; 8; 10.29; 84.6853s
0.7; 0.1; 8; 9.08; 81.9783s
0.7; 0.1; 8; 9.435; 90.9023s
0.7; 0.1; 8; 9.69; 89.3539s
0.7; 0.1; 8; 9.75; 88.1784s
0.7; 0.1; 8; 9.765; 90.8594s
0.7; 0.1; 8; 9.87; 86.7406s
0.7; 0.25; 8; 10.14; 79.8853s
0.7; 0.25; 8; 10.1; 76.0675s
0.7; 0.25; 8; 9.405; 73.3767s
0.7; 0.25; 8; 9.455; 78.5119s
0.7; 0.25; 8; 9.475; 83.2101s
0.7; 0.25; 8; 9.505; 79.2912s
0.7; 0.25; 8; 9.67; 75.2412s
0.7; 0.25; 8; 9.855; 83.6321s
0.7; 0.25; 8; 9.865; 75.5075s
0.7; 0.25; 8; 9.94; 83.9547s
0.7; 0.2; 7; 9.205; 22.2748s
0.7; 0.2; 7; 9.325; 27.1859s
0.7; 0.2; 7; 9.43; 40.2895s
0.7; 0.2; 8; 10.05; 77.258s
0.7; 0.2; 8; 10.105; 79.7458s
0.7; 0.2; 8; 10.435; 76.2444s
0.7; 0.2; 8; 9.055; 79.1351s
0.7; 0.2; 8; 9.42; 78.5435s
0.7; 0.2; 8; 9.55; 77.1832s
0.7; 0.2; 8; 9.805; 81.071s
0.8; 0.05; 8; 10.105; 77.5179s
0.8; 0.05; 8; 10.125; 79.8486s
0.8; 0.05; 8; 10.425; 79.9806s
0.8; 0.05; 8; 9.065; 72.4945s
0.8; 0.05; 8; 9.135; 73.1919s
0.8; 0.05; 8; 9.24; 73.2788s
0.8; 0.05; 8; 9.34; 75.1413s
0.8; 0.05; 8; 9.485; 78.0284s
0.8; 0.05; 8; 9.65; 80.5559s
0.8; 0.05; 8; 9.875; 74.2762s
0.8; 0.15; 8; 8.675; 66.208s
0.8; 0.15; 8; 9.04; 69.5014s
0.8; 0.15; 8; 9.255; 71.3556s
0.8; 0.15; 8; 9.32; 65.7971s
0.8; 0.15; 8; 9.33; 67.1512s
0.8; 0.15; 8; 9.62; 76.3272s
0.8; 0.15; 8; 9.685; 70.1269s
0.8; 0.15; 8; 9.685; 70.6504s
0.8; 0.15; 8; 9.845; 72.297s
0.8; 0.15; 8; 9.895; 74.9556s
0.8; 0.1; 8; 10.14; 76.2972s
0.8; 0.1; 8; 10; 72.2456s
0.8; 0.1; 8; 8.56; 74.8377s
0.8; 0.1; 8; 8.875; 73.0864s
0.8; 0.1; 8; 9.22; 71.0137s
0.8; 0.1; 8; 9.45; 73.2936s
0.8; 0.1; 8; 9.555; 79.0882s
0.8; 0.1; 8; 9.725; 77.3245s
0.8; 0.1; 8; 9.765; 76.7079s
0.8; 0.1; 8; 9.925; 72.4956s
0.8; 0.25; 8; 10.105; 66.2829s
0.8; 0.25; 8; 10.17; 67.629s
0.8; 0.25; 8; 10.2; 66.8934s
0.8; 0.25; 8; 8.785; 69.0902s
0.8; 0.25; 8; 9.025; 64.8614s
0.8; 0.25; 8; 9.265; 67.877s
0.8; 0.25; 8; 9.53; 66.1536s
0.8; 0.25; 8; 9.56; 68.9819s
0.8; 0.25; 8; 9.665; 68.4063s
0.8; 0.25; 8; 9.765; 70.3322s
0.8; 0.2; 7; 9.09; 67.6035s
0.8; 0.2; 8; 8.66; 67.9028s
0.8; 0.2; 8; 9.105; 67.2424s
0.8; 0.2; 8; 9.235; 65.6448s
0.8; 0.2; 8; 9.315; 67.94s
0.8; 0.2; 8; 9.335; 67.9583s
0.8; 0.2; 8; 9.355; 68.897s
0.8; 0.2; 8; 9.635; 73.7005s
0.8; 0.2; 8; 9.645; 75.0824s
0.8; 0.2; 8; 9.835; 69.2974s
0.9; 0.05; 8; 8.615; 60.5688s
0.9; 0.05; 8; 8.91; 62.7316s
0.9; 0.05; 8; 9.095; 63.6094s
0.9; 0.05; 8; 9.09; 65.8822s
0.9; 0.05; 8; 9.1; 61.6802s
0.9; 0.05; 8; 9.225; 65.325s
0.9; 0.05; 8; 9.36; 65.8574s
0.9; 0.05; 8; 9.715; 65.195s
0.9; 0.05; 8; 9.765; 63.3506s
0.9; 0.05; 8; 9.985; 71.3049s
0.9; 0.15; 8; 8.765; 60.8894s
0.9; 0.15; 8; 8.775; 61.0704s
0.9; 0.15; 8; 9.085; 61.2084s
0.9; 0.15; 8; 9.2; 59.2869s
0.9; 0.15; 8; 9.385; 64.0981s
0.9; 0.15; 8; 9.38; 62.8128s
0.9; 0.15; 8; 9.45; 61.8496s
0.9; 0.15; 8; 9.505; 63.7463s
0.9; 0.15; 8; 9.745; 63.6133s
0.9; 0.15; 8; 9.815; 63.9909s
0.9; 0.1; 8; 10.43; 65.1185s
0.9; 0.1; 8; 10.465; 66.8743s
0.9; 0.1; 8; 8.84; 61.2518s
0.9; 0.1; 8; 8.885; 61.5091s
0.9; 0.1; 8; 9.16; 63.1569s
0.9; 0.1; 8; 9.235; 63.6734s
0.9; 0.1; 8; 9; 60.4248s
0.9; 0.1; 8; 9.69; 64.2196s
0.9; 0.1; 8; 9.77; 68.7097s
0.9; 0.1; 8; 9.855; 64.2298s
0.9; 0.25; 7; 8.63; 27.7576s
0.9; 0.25; 8; 8.89; 59.5142s
0.9; 0.25; 8; 8.905; 60.926s
0.9; 0.25; 8; 9.05; 59.7987s
0.9; 0.25; 8; 9.09; 59.0576s
0.9; 0.25; 8; 9.185; 60.3682s
0.9; 0.25; 8; 9.475; 57.3463s
0.9; 0.25; 8; 9.535; 61.3451s
0.9; 0.25; 8; 9.55; 59.9104s
0.9; 0.25; 8; 9.94; 61.1339s
0.9; 0.2; 8; 9.105; 57.7494s
0.9; 0.2; 8; 9.17; 60.4183s
0.9; 0.2; 8; 9.225; 61.2894s
0.9; 0.2; 8; 9.27; 60.8973s
0.9; 0.2; 8; 9.445; 60.216s
0.9; 0.2; 8; 9.49; 60.0927s
0.9; 0.2; 8; 9.525; 61.1834s
0.9; 0.2; 8; 9.65; 58.4368s
0.9; 0.2; 8; 9.745; 65.452s
0.9; 0.2; 8; 9.98; 64.277s
