cp; mp; best; avg; time
0.5; 0.05; 10; 10.685; 166.673s
0.5; 0.05; 10; 11.465; 187.102s
0.5; 0.05; 10; 11.465; 213.574s
0.5; 0.05; 10; 11.485; 196.107s
0.5; 0.05; 10; 11.585; 193.382s
0.5; 0.05; 10; 12.51; 214.399s
0.5; 0.05; 9; 10.705; 219.485s
0.5; 0.05; 9; 10.805; 179.019s
0.5; 0.05; 9; 11.44; 218.089s
0.5; 0.05; 9; 11.48; 223.973s
0.5; 0.1; 10; 11.25; 181.582s
0.5; 0.1; 10; 11.78; 173.867s
0.5; 0.15; 10; 11.37; 195.049s
0.5; 0.15; 9; 10.355; 174.026s
0.5; 0.15; 9; 10.475; 170.139s
0.5; 0.15; 9; 10.505; 161.179s
0.5; 0.15; 9; 10.945; 215.086s
0.5; 0.15; 9; 11.17; 190.928s
0.5; 0.15; 9; 11.31; 184.198s
0.5; 0.15; 9; 11.455; 176.748s
0.5; 0.15; 9; 11.86; 214.954s
0.5; 0.15; 9; 12.185; 183.644s
0.5; 0.1; 9; 10.435; 189.665s
0.5; 0.1; 9; 10.985; 210.709s
0.5; 0.1; 9; 11.085; 207.449s
0.5; 0.1; 9; 11.635; 197.061s
0.5; 0.1; 9; 11.64; 194.11s
0.5; 0.1; 9; 11.705; 201.717s
0.5; 0.1; 9; 12.42; 197.599s
0.5; 0.1; 9; 12.635; 209.242s
0.5; 0.2; 10; 11.35; 164.776s
0.5; 0.25; 8; 10.34; 167.39s
0.5; 0.25; 8; 10.545; 171.471s
0.5; 0.25; 9; 10.06; 159.542s
0.5; 0.25; 9; 10.6; 173.819s
0.5; 0.25; 9; 11.055; 175.133s
0.5; 0.25; 9; 11.35; 178.791s
0.5; 0.25; 9; 11.39; 181.552s
0.5; 0.25; 9; 11.55; 173.935s
0.5; 0.25; 9; 11.865; 182.795s
0.5; 0.25; 9; 12.125; 182.105s
0.5; 0.2; 7; 8.865; 19.4511s
0.5; 0.2; 9; 10.83; 171.575s
0.5; 0.2; 9; 11.355; 200.747s
0.5; 0.2; 9; 11.395; 199.697s
0.5; 0.2; 9; 11.455; 188.485s
0.5; 0.2; 9; 11.505; 170.026s
0.5; 0.2; 9; 11.535; 178.661s
0.5; 0.2; 9; 11.69; 195.427s
