levels; best; avg; dev; iterations; ffe; time
97; 12; 14.1902; 0.399673; 505; 1001157; 345.478s
100; 11; 13.4397; 0.42676; 544; 1001801; 295.661s
92; 11; 12.2987; 0.265149; 526; 1001390; 311.015s
109; 10; 12.7113; 0.577849; 459; 1000911; 322.166s
124; 11; 12.7791; 0.440862; 453; 1000399; 346.658s
91; 12; 14.0545; 0.553946; 487; 1000752; 391.083s
117; 11; 12.9245; 0.65034; 490; 1002348; 202.362s
132; 11; 13.7254; 0.602294; 431; 1000286; 415.827s
104; 11; 13.3705; 0.670991; 426; 1000755; 300.425s
98; 10; 12.7534; 0.598913; 458; 1002115; 376.746s
