iteration; levels; best; avg; dev
0; 1; 7; 0; 0
1; 1; 7; 7; 0
2; 2; 7; 7.5; 0.5
3; 2; 7; 7.25; 0.5
4; 3; 7; 7.25; 0.5
5; 4; 7; 7.16667; 0.333333
6; 5; 7; 7.125; 0.208333
7; 6; 7; 7.1; 0.141667
8; 7; 6; 7.08333; 0.106944
9; 7; 6; 6.92857; 0.0867063
10; 8; 6; 7; 0.155244
11; 9; 6; 6.85417; 0.140831
12; 9; 6; 6.72222; 0.167428
13; 9; 6; 6.78333; 0.222271
14; 10; 6; 6.72377; 0.304787
15; 10; 6; 6.62964; 0.276339
16; 11; 6; 6.67964; 0.323494
17; 11; 6; 6.61868; 0.297234
18; 12; 6; 6.61937; 0.293838
19; 12; 6; 6.56413; 0.265492
20; 12; 6; 6.56181; 0.260108
21; 12; 6; 6.54633; 0.254706
22; 13; 6; 6.53646; 0.250191
23; 13; 6; 6.48189; 0.223871
24; 14; 6; 6.46902; 0.224792
25; 14; 6; 6.41562; 0.229875
26; 14; 6; 6.41192; 0.225907
27; 15; 6; 6.40461; 0.223517
28; 16; 6; 6.37624; 0.206248
29; 16; 6; 6.33796; 0.209704
30; 16; 6; 6.33221; 0.207396
31; 16; 6; 6.33206; 0.206634
32; 16; 6; 6.32958; 0.203998
33; 17; 5; 6.32799; 0.202368
34; 17; 5; 6.21211; 0.272943
iteration; levels; best; avg; dev
0; 1; 7; 0; 0
1; 1; 7; 7; 0
2; 2; 7; 7.5; 0.5
3; 3; 7; 7.25; 0.5
4; 3; 6; 7.16667; 0.333333
5; 3; 6; 7.05556; 0.434913
6; 4; 6; 6.83333; 0.644971
7; 4; 6; 6.65; 0.533717
8; 4; 6; 6.625; 0.508429
9; 4; 6; 6.64286; 0.500825
10; 4; 6; 6.65625; 0.496237
11; 4; 6; 6.66667; 0.49191
12; 4; 6; 6.65; 0.495452
13; 4; 6; 6.65909; 0.494124
14; 4; 6; 6.66667; 0.491382
15; 5; 6; 6.65385; 0.494472
16; 5; 6; 6.48095; 0.39215
17; 5; 6; 6.48667; 0.37069
18; 5; 6; 6.49167; 0.365244
19; 5; 6; 6.49608; 0.362907
20; 6; 6; 6.5; 0.361143
21; 6; 6; 6.4057; 0.293164
22; 7; 6; 6.4; 0.275237
23; 8; 6; 6.3449; 0.232427
24; 8; 6; 6.29773; 0.199775
25; 8; 6; 6.29529; 0.191573
26; 8; 6; 6.28869; 0.189113
27; 9; 6; 6.28812; 0.185789
28; 9; 6; 6.25748; 0.164227
29; 9; 6; 6.25874; 0.161285
30; 10; 6; 6.25992; 0.160418
31; 10; 5; 6.23352; 0.142163
32; 10; 5; 6.11433; 0.33507
iteration; levels; best; avg; dev
0; 1; 8; 0; 0
1; 1; 8; 8; 0
2; 2; 8; 8; 0
3; 3; 7; 8; 0
4; 4; 6; 7.5; 0.166667
5; 5; 6; 7.16667; 0.159518
6; 5; 6; 7.05; 0.218506
7; 6; 6; 7.09333; 0.217982
8; 6; 6; 6.90278; 0.187067
9; 7; 6; 6.89524; 0.180323
10; 8; 6; 6.77976; 0.148161
11; 9; 6; 6.67262; 0.133915
12; 10; 6; 6.60556; 0.113909
13; 10; 6; 6.55051; 0.0975011
14; 10; 6; 6.555; 0.0930514
15; 11; 6; 6.55105; 0.0940284
16; 11; 5; 6.50433; 0.0834964
17; 11; 5; 6.41427; 0.257924
iteration; levels; best; avg; dev
0; 1; 8; 0; 0
1; 1; 7; 8; 0
2; 2; 7; 7.5; 0.5
3; 3; 7; 7.25; 0.5
4; 3; 7; 7.16667; 0.333333
5; 4; 7; 7.33333; 0.444444
6; 5; 7; 7.20833; 0.353962
7; 6; 7; 7.15; 0.257395
8; 7; 7; 7.125; 0.198401
9; 7; 6; 7.1; 0.156914
10; 7; 6; 6.9881; 0.280372
11; 7; 6; 7.01565; 0.285958
12; 7; 6; 7.02976; 0.274624
13; 7; 6; 6.98356; 0.334748
14; 7; 6; 6.98452; 0.338555
15; 7; 6; 6.98521; 0.33496
16; 7; 6; 6.88543; 0.462122
17; 8; 6; 6.88701; 0.47825
18; 9; 6; 6.72523; 0.457021
19; 10; 6; 6.62729; 0.400744
20; 11; 6; 6.53475; 0.362488
21; 11; 6; 6.46417; 0.328676
22; 12; 5; 6.45476; 0.322555
23; 12; 5; 6.3218; 0.294624
iteration; levels; best; avg; dev
0; 1; 8; 0; 0
1; 1; 8; 8; 0
2; 2; 7; 8.5; 0.5
3; 3; 7; 7.75; 0.5
4; 3; 7; 7.5; 0.333333
5; 4; 7; 7.61111; 0.434913
6; 4; 7; 7.5; 0.358728
7; 5; 7; 7.525; 0.337157
8; 6; 7; 7.4; 0.267431
9; 6; 7; 7.32143; 0.210384
10; 6; 7; 7.3125; 0.199084
11; 7; 7; 7.30556; 0.195081
12; 8; 7; 7.27143; 0.169283
13; 9; 6; 7.23295; 0.143791
14; 9; 6; 7; 0.231844
15; 9; 6; 7.06481; 0.292918
16; 10; 6; 7.049; 0.291762
17; 10; 6; 6.95238; 0.2615
18; 10; 6; 6.90198; 0.290335
19; 10; 6; 6.8999; 0.292429
20; 11; 6; 6.89172; 0.285508
21; 11; 6; 6.79855; 0.257655
22; 12; 6; 6.79548; 0.251448
23; 13; 6; 6.70398; 0.27578
24; 13; 6; 6.6491; 0.255315
25; 13; 6; 6.63829; 0.255676
26; 13; 5; 6.61555; 0.287502
27; 13; 5; 6.54712; 0.41196
iteration; levels; best; avg; dev
0; 1; 8; 0; 0
1; 1; 8; 8; 0
2; 2; 8; 8; 0
3; 3; 8; 8; 0
4; 4; 8; 8; 0
5; 4; 8; 8; 0
6; 4; 8; 8; 0
7; 5; 7; 8; 0
8; 6; 7; 7.66; 0.248817
9; 6; 7; 7.48016; 0.278662
10; 6; 7; 7.56944; 0.363847
11; 7; 7; 7.51376; 0.372627
12; 7; 7; 7.39762; 0.319329
13; 8; 7; 7.38678; 0.306623
14; 9; 7; 7.325; 0.257818
15; 9; 6; 7.28732; 0.219415
16; 9; 6; 7.08895; 0.477967
17; 9; 6; 7.09159; 0.505139
18; 9; 6; 7.09391; 0.506678
19; 9; 6; 7.09595; 0.505444
20; 9; 6; 7.09776; 0.503974
21; 9; 6; 7.09939; 0.502549
22; 9; 6; 7.10085; 0.501193
23; 9; 6; 7.10217; 0.499907
24; 9; 6; 7.09832; 0.501081
25; 9; 6; 7.09481; 0.502177
26; 9; 6; 7.09622; 0.501403
27; 9; 6; 7.09307; 0.502103
28; 10; 6; 7.09017; 0.502754
29; 11; 6; 6.89843; 0.496894
30; 12; 5; 6.80292; 0.44799
31; 12; 5; 6.55659; 0.506631
iteration; levels; best; avg; dev
0; 1; 7; 0; 0
1; 1; 7; 7; 0
2; 2; 7; 7; 0
3; 2; 7; 7; 0
4; 2; 7; 7; 0
5; 3; 7; 7; 0
6; 3; 6; 7; 0
7; 4; 6; 6.93333; 0.133333
8; 4; 6; 6.54167; 0.276184
9; 5; 6; 6.67857; 0.431985
10; 6; 6; 6.55; 0.372999
11; 7; 6; 6.41667; 0.302635
12; 7; 6; 6.3381; 0.243386
13; 7; 6; 6.34199; 0.23308
14; 8; 6; 6.32143; 0.218874
15; 8; 6; 6.2774; 0.184151
16; 9; 6; 6.27946; 0.178436
17; 10; 6; 6.23333; 0.154815
18; 11; 6; 6.20929; 0.133775
19; 11; 5; 6.18463; 0.120013
20; 11; 5; 6.05285; 0.332821
iteration; levels; best; avg; dev
0; 1; 7; 0; 0
1; 1; 7; 7; 0
2; 2; 7; 7.5; 0.5
3; 3; 7; 7.25; 0.5
4; 4; 7; 7.16667; 0.333333
5; 5; 7; 7.125; 0.208333
6; 6; 6; 7.1; 0.141667
7; 6; 6; 6.83333; 0.190278
8; 7; 6; 6.86111; 0.193614
9; 7; 6; 6.75; 0.160947
10; 7; 6; 6.75714; 0.151564
11; 7; 6; 6.83333; 0.217749
12; 8; 6; 6.79252; 0.234415
13; 9; 6; 6.6875; 0.200055
14; 9; 6; 6.60864; 0.168422
15; 9; 6; 6.60741; 0.160122
16; 10; 6; 6.60943; 0.157611
17; 10; 6; 6.54762; 0.138022
18; 11; 6; 6.53228; 0.16476
19; 11; 6; 6.47327; 0.16247
20; 12; 6; 6.4697; 0.16321
21; 12; 6; 6.43001; 0.14759
22; 13; 6; 6.42245; 0.151555
23; 13; 6; 6.38695; 0.139104
24; 13; 6; 6.38686; 0.136601
25; 14; 6; 6.37364; 0.170727
26; 15; 6; 6.34662; 0.159969
27; 16; 6; 6.32131; 0.147894
28; 16; 6; 6.30103; 0.137162
29; 16; 6; 6.29691; 0.137507
30; 16; 5; 6.29676; 0.1369
31; 16; 5; 6.27013; 0.198288
iteration; levels; best; avg; dev
0; 1; 6; 0; 0
1; 1; 6; 6; 0
2; 2; 6; 6.5; 0.5
3; 3; 6; 6.25; 0.5
4; 4; 6; 6.16667; 0.333333
5; 5; 6; 6.125; 0.208333
6; 5; 6; 6.1; 0.141667
7; 5; 6; 6.1; 0.128333
8; 6; 6; 6.1; 0.125667
9; 7; 5; 6.08333; 0.104278
10; 7; 5; 5.82143; 0.219613
iteration; levels; best; avg; dev
0; 1; 7; 0; 0
1; 1; 7; 7; 0
2; 2; 7; 7; 0
3; 3; 6; 7; 0
4; 4; 6; 6.5; 0.166667
5; 5; 6; 6.41667; 0.159518
6; 5; 6; 6.35; 0.118506
7; 6; 6; 6.36; 0.103701
8; 6; 5; 6.27778; 0.095851
9; 6; 5; 6.17857; 0.181787
iteration; levels; best; avg; dev
0; 1; 7; 0; 0
1; 1; 7; 7; 0
2; 2; 7; 7.5; 0.5
3; 3; 6; 7.25; 0.5
4; 3; 6; 6.66667; 0.5
5; 4; 6; 6.88889; 0.657135
6; 4; 6; 6.6875; 0.522537
7; 4; 6; 6.825; 0.605634
8; 5; 6; 6.79167; 0.612429
9; 5; 6; 6.55952; 0.49372
10; 5; 6; 6.56667; 0.46623
11; 5; 6; 6.56222; 0.450675
12; 6; 6; 6.56; 0.438951
13; 7; 6; 6.45184; 0.351264
14; 8; 6; 6.3869; 0.283953
15; 8; 6; 6.33841; 0.236505
16; 8; 6; 6.33353; 0.225088
17; 8; 6; 6.33333; 0.220628
18; 9; 5; 6.33324; 0.217353
19; 9; 5; 6.12952; 0.246214
iteration; levels; best; avg; dev
0; 1; 8; 0; 0
1; 1; 8; 8; 0
2; 2; 7; 8; 0
3; 2; 7; 7.5; 0
4; 3; 7; 7.5; 0
5; 4; 6; 7.33333; 0
6; 4; 6; 6.875; 0.125
7; 5; 5; 6.91667; 0.149101
8; 5; 5; 6.58333; 0.190958
iteration; levels; best; avg; dev
0; 1; 7; 0; 0
1; 1; 7; 7; 0
2; 2; 7; 7; 0
3; 2; 6; 7; 0
4; 3; 6; 6.75; 0.25
5; 4; 6; 6.55556; 0.240468
6; 5; 6; 6.4375; 0.16837
7; 5; 5; 6.32; 0.131654
8; 5; 5; 6.11667; 0.401495
iteration; levels; best; avg; dev
0; 1; 8; 0; 0
1; 1; 8; 8; 0
2; 2; 8; 8; 0
3; 3; 8; 8; 0
4; 4; 8; 8; 0
5; 5; 8; 8; 0
6; 6; 7; 8; 0
7; 6; 7; 7.69444; 0.161901
8; 6; 7; 7.68056; 0.17772
9; 6; 7; 7.68889; 0.174854
10; 7; 7; 7.69444; 0.169823
11; 8; 7; 7.5326; 0.242797
12; 8; 7; 7.46116; 0.215659
13; 9; 6; 7.43482; 0.22196
14; 9; 6; 7.13951; 0.357895
15; 9; 6; 7.14291; 0.369545
16; 10; 6; 7.19925; 0.421225
17; 10; 6; 7.02475; 0.392788
18; 11; 6; 7.06019; 0.443114
19; 12; 6; 6.92748; 0.395568
20; 12; 6; 6.83445; 0.351001
21; 12; 6; 6.82306; 0.339781
22; 13; 6; 6.8085; 0.335088
23; 13; 6; 6.74369; 0.303431
24; 13; 6; 6.7372; 0.295522
25; 14; 6; 6.73064; 0.294937
26; 14; 6; 6.67831; 0.27115
27; 14; 6; 6.67403; 0.26512
28; 14; 6; 6.67165; 0.260609
29; 15; 6; 6.67049; 0.257591
30; 15; 6; 6.62301; 0.240435
