iteration; levels; best; avg; dev
64; 36; 58; 63.5238; 0.963394
65; 36; 58; 63.4895; 0.986947
66; 36; 58; 63.4813; 0.98348
67; 37; 58; 63.4716; 0.988839
68; 38; 58; 63.2659; 1.00081
69; 39; 58; 63.1191; 0.972078
70; 39; 58; 62.9871; 0.945581
71; 40; 58; 62.9582; 0.959144
72; 40; 58; 62.8281; 0.934276
73; 41; 58; 62.8162; 0.936243
74; 41; 58; 62.6794; 0.927712
75; 42; 57; 62.63; 0.96693
76; 42; 57; 62.477; 0.979776
77; 42; 57; 62.4814; 0.994304
78; 42; 57; 62.4717; 1.00099
79; 42; 57; 62.4713; 0.998153
80; 43; 57; 62.4662; 0.998314
81; 44; 57; 62.3358; 0.973954
82; 44; 57; 62.1934; 0.968614
83; 44; 57; 62.2048; 0.979485
84; 45; 57; 62.2; 0.979796
85; 46; 57; 62.0764; 0.958765
86; 46; 57; 61.9455; 0.948014
87; 46; 57; 61.9176; 0.95147
88; 47; 57; 61.9049; 0.952972
89; 47; 57; 61.7895; 0.931668
90; 47; 57; 61.781; 0.93455
91; 47; 57; 61.7814; 0.944673
92; 48; 57; 61.762; 0.944738
93; 49; 57; 61.6422; 0.928018
94; 50; 57; 61.5299; 0.913285
95; 50; 57; 61.4365; 0.893293
96; 51; 57; 61.4303; 0.891558
97; 51; 57; 61.3408; 0.873037
iteration; levels; best; avg; dev
0; 1; 77; 0; 0
1; 1; 77; 77; 0
2; 2; 68; 83.5; 6.5
3; 3; 67; 75.75; 6.5
4; 3; 67; 74; 5.5
5; 3; 67; 75; 5.68634
6; 4; 67; 75.25; 5.67704
7; 5; 66; 73.25; 4.17755
8; 5; 66; 71.7667; 2.99428
9; 6; 66; 71.8; 2.72258
10; 6; 66; 70.8681; 2.24025
11; 7; 66; 70.8889; 2.14075
12; 8; 65; 70.1333; 1.799
13; 8; 65; 69.4403; 1.64702
14; 9; 65; 69.4562; 1.61386
15; 10; 65; 68.9772; 1.41692
16; 11; 65; 68.5845; 1.24563
17; 12; 64; 68.2672; 1.1072
18; 13; 64; 67.9126; 0.995643
19; 14; 64; 67.5294; 1.04008
20; 15; 63; 67.2819; 0.963207
21; 16; 62; 66.9033; 0.966039
22; 17; 62; 66.5891; 0.895345
23; 18; 62; 66.3176; 0.888779
24; 19; 62; 66.0611; 0.832345
25; 19; 62; 65.8225; 0.821543
26; 20; 61; 65.783; 0.827201
27; 20; 61; 65.4804; 0.887085
28; 21; 60; 65.4734; 0.924584
29; 22; 60; 65.1669; 0.911122
30; 22; 60; 64.9237; 0.906713
31; 22; 60; 64.9009; 0.909211
32; 23; 60; 64.9147; 0.93063
33; 24; 60; 64.6907; 0.883942
34; 24; 60; 64.4933; 0.838904
35; 25; 60; 64.4804; 0.829071
36; 26; 60; 64.2917; 0.790655
37; 27; 60; 64.1215; 0.754174
38; 28; 59; 63.9654; 0.723706
39; 28; 59; 63.739; 0.744524
40; 29; 59; 63.748; 0.759954
41; 30; 58; 63.5519; 0.744069
42; 31; 58; 63.3403; 0.722355
43; 31; 58; 63.1026; 0.743208
44; 32; 58; 63.0685; 0.763946
45; 32; 58; 62.8759; 0.756501
46; 33; 58; 62.8655; 0.757724
47; 34; 58; 62.7126; 0.737813
48; 35; 58; 62.5581; 0.721019
49; 36; 58; 62.4024; 0.709295
50; 37; 58; 62.2709; 0.688274
51; 38; 58; 62.152; 0.668352
52; 38; 58; 62.0379; 0.647987
53; 39; 58; 62.0313; 0.645281
54; 39; 58; 61.9275; 0.627998
55; 40; 58; 61.9087; 0.635986
56; 40; 57; 61.8016; 0.620696
57; 40; 57; 61.7727; 0.686489
58; 41; 57; 61.7649; 0.688466
59; 41; 57; 61.663; 0.675536
60; 42; 57; 61.6241; 0.710884
61; 43; 57; 61.482; 0.706
62; 44; 57; 61.3664; 0.687185
63; 45; 57; 61.2554; 0.672216
