levels; best; avg; dev; iterations; ffe; time
39; 6; 8.68883; 0.461618; 132; 57775; 6.54057s
58; 6; 8.17925; 0.445115; 250; 125908; 20.1918s
57; 6; 7.72428; 0.275053; 257; 120127; 23.592s
144; 7; 7.28128; 0.121326; 1340; 1000683; 582.512s
61; 6; 7.7242; 0.349621; 487; 246449; 39.6025s
96; 6; 7.60418; 0.303854; 530; 340005; 84.5635s
98; 6; 7.46435; 0.361539; 551; 323586; 78.1326s
43; 6; 7.79224; 0.237434; 308; 137672; 14.8067s
99; 6; 7.64378; 0.316485; 680; 353653; 86.6978s
113; 6; 7.59688; 0.343883; 1093; 827209; 282.665s
54; 6; 8.93103; 0.517338; 136; 61677; 6.01692s
149; 6; 7.30321; 0.182074; 938; 696318; 325.478s
82; 6; 7.38169; 0.187938; 422; 218053; 30.1164s
138; 7; 7.42104; 0.201878; 1233; 1000471; 403.866s
43; 6; 7.8237; 0.278548; 186; 76897; 8.75913s
90; 6; 7.60158; 0.255999; 613; 297751; 61.4768s
91; 6; 7.51719; 0.179199; 421; 227343; 40.391s
117; 6; 7.36771; 0.134012; 650; 399995; 105.95s
112; 6; 7.3809; 0.167598; 746; 511143; 163.448s
74; 6; 7.49032; 0.107321; 363; 185278; 30.6601s
