levels; best; avg; dev; iterations; ffe; time
89; 12; 12.7523; 0.256784; 990; 1000254; 389.263s
111; 12; 12.9787; 0.246099; 955; 1000355; 589.68s
91; 12; 13.3518; 0.288377; 902; 1001272; 680.407s
114; 12; 12.7311; 0.138659; 929; 1001467; 570.286s
153; 12; 12.6521; 0.225844; 886; 1000883; 461.568s
90; 12; 13.2031; 0.310428; 943; 1001184; 341.893s
154; 12; 13.2681; 0.266905; 822; 1000737; 647.638s
88; 12; 13.3293; 0.237838; 961; 1000779; 383.119s
178; 12; 13.2187; 0.495656; 747; 1000676; 813.335s
75; 11; 12.7529; 0.357867; 1013; 1000608; 311.675s
83; 12; 13.3697; 0.181861; 969; 1000853; 302.542s
114; 11; 11.8626; 0.276992; 936; 1001872; 341.324s
157; 12; 12.3637; 0.0670618; 916; 1000703; 518.305s
106; 13; 13.4043; 0.0831828; 941; 1002144; 628.688s
97; 12; 12.4971; 0.101315; 986; 1000814; 420.633s
97; 12; 13.2848; 0.249834; 926; 1001776; 701.896s
86; 11; 12.656; 0.388088; 935; 1000601; 426.648s
232; 12; 12.4071; 0.194166; 742; 1000281; 791.6s
146; 12; 12.7335; 0.200571; 876; 1000381; 517.346s
141; 12; 13.4211; 0.201993; 883; 1000216; 741.46s
