levels; best; avg; dev; iterations; ffe; time
17; 5; 6.21211; 0.272943; 34; 3226; 0.0843261s
10; 5; 6.11433; 0.33507; 32; 2394; 0.0422842s
11; 5; 6.41427; 0.257924; 17; 1375; 0.0278303s
12; 5; 6.3218; 0.294624; 23; 1972; 0.0345275s
13; 5; 6.54712; 0.41196; 27; 2095; 0.0452637s
12; 5; 6.55659; 0.506631; 31; 2747; 0.0461842s
11; 5; 6.05285; 0.332821; 20; 1406; 0.0231256s
16; 5; 6.27013; 0.198288; 31; 2530; 0.0753864s
7; 5; 5.82143; 0.219613; 10; 1192; 0.0105814s
6; 5; 6.17857; 0.181787; 9; 670; 0.00473961s
9; 5; 6.12952; 0.246214; 19; 1531; 0.0244758s
5; 5; 6.58333; 0.190958; 8; 672; 0.00478534s
5; 5; 6.11667; 0.401495; 8; 524; 0.0040888s
20; 5; 6.34631; 0.20582; 40; 3955; 0.137461s
17; 5; 6.2228; 0.207774; 46; 4485; 0.157742s
6; 5; 6.26389; 0.294679; 10; 705; 0.0066997s
8; 5; 6.15952; 0.282915; 18; 1529; 0.0145945s
11; 5; 6.14055; 0.234848; 27; 2203; 0.0281351s
7; 5; 6.24376; 0.286592; 16; 1368; 0.0139034s
13; 5; 5.91923; 0.254274; 25; 2127; 0.0214126s
