levels; best; avg; dev; iterations; ffe; time
34; 5; 7.22938; 0.339014; 580; 133436; 7.32485s
51; 5; 7.37233; 0.356891; 477; 137104; 15.4739s
47; 5; 7.28518; 0.425335; 208; 56332; 3.83802s
55; 5; 6.78063; 0.42574; 305; 77242; 3.72838s
43; 5; 7.18852; 0.352299; 353; 84425; 4.97257s
21; 5; 7.65121; 0.613875; 85; 18899; 0.693801s
25; 5; 7.54244; 0.344996; 68; 12846; 0.506171s
28; 5; 7.05769; 0.357565; 343; 80895; 4.36632s
54; 5; 7.07595; 0.289986; 1218; 316010; 21.8146s
30; 5; 7.54083; 0.43579; 142; 29312; 1.42576s
51; 5; 7.44826; 0.323906; 195; 48214; 3.38889s
39; 5; 7.41633; 0.338982; 536; 138513; 11.9349s
26; 5; 7.35082; 0.319592; 92; 20954; 0.868403s
45; 5; 7.43285; 0.491846; 201; 51091; 4.00656s
79; 5; 6.94188; 0.302921; 499; 137488; 11.3034s
47; 5; 7.20515; 0.286161; 243; 57318; 3.49045s
27; 5; 7.63438; 0.411446; 240; 53806; 3.47651s
28; 5; 7.65503; 0.45465; 116; 26630; 1.45454s
46; 5; 7.33231; 0.279851; 222; 54892; 3.20618s
32; 5; 7.42174; 0.460543; 190; 43636; 2.94468s
