subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
12; 4096; 39; 58.8829; 2.35418; 272; 1006845; 429.582s
11; 2048; 31; 57.5896; 0.897039; 213; 1001999; 448.955s
12; 4096; 38; 61.2689; 1.21093; 190; 1003778; 427.328s
12; 4096; 35; 56.7964; 0.985259; 264; 1000641; 453.61s
11; 2048; 29; 55.3525; 0.721898; 297; 1003437; 449.37s
12; 4096; 35; 60.2454; 2.02987; 168; 1071644; 465.059s
11; 2048; 27; 57.9435; 2.46211; 189; 1004979; 460.986s
11; 2048; 31; 55.4159; 1.44074; 215; 1007617; 437.398s
12; 4096; 37; 58.851; 2.73824; 223; 1020883; 436.015s
12; 4096; 30; 56.5526; 2.02685; 257; 1085972; 472.899s
11; 2048; 30; 58.8813; 2.39321; 220; 1002593; 439.758s
12; 4096; 31; 56.0175; 1.07142; 250; 1003808; 467.366s
11; 2048; 34; 55.2554; 1.68468; 261; 1010733; 460.657s
11; 2048; 26; 54.8337; 1.96858; 258; 1014496; 455.464s
12; 4096; 31; 60.1229; 1.68788; 186; 1028537; 464.807s
12; 4096; 35; 59.0795; 1.8004; 142; 1006144; 436.987s
11; 2048; 28; 54.303; 1.20256; 303; 1001811; 474.093s
11; 2048; 27; 58.6507; 2.62719; 181; 1043915; 472.879s
11; 2048; 30; 57.6927; 1.89491; 209; 1000569; 462.736s
11; 2048; 29; 54.7483; 0.865664; 293; 1001480; 456.493s
