subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
11; 2048; 6; 11.5994; 0.44581; 221; 341128; 12.6549s
10; 1024; 6; 12.0999; 0.318442; 165; 132003; 4.89771s
10; 1024; 6; 12.3066; 0.445853; 141; 134728; 5.17291s
12; 4096; 6; 11.7561; 0.396998; 242; 687032; 24.1955s
12; 4096; 6; 10.7861; 0.255649; 363; 862866; 31.2111s
9; 512; 6; 12.1806; 0.321501; 136; 60366; 2.52692s
11; 2048; 6; 11.6023; 0.613074; 228; 333770; 12.3324s
10; 1024; 6; 11.9724; 0.26278; 226; 146721; 5.7023s
12; 4096; 6; 11.8533; 0.519556; 209; 543581; 18.0212s
12; 4096; 6; 11.2632; 0.563479; 1101; 680607; 23.4051s
10; 1024; 6; 11.7304; 0.391764; 179; 141101; 5.47839s
10; 1024; 6; 11.8802; 0.364982; 313; 139187; 5.25237s
10; 1024; 6; 12.6733; 0.398094; 129; 125198; 4.73918s
11; 2048; 6; 11.6583; 0.48964; 270; 410165; 15.4659s
12; 4096; 6; 11.5299; 0.210885; 268; 812305; 29.3773s
10; 1024; 6; 11.669; 0.260814; 168; 138619; 5.28373s
10; 1024; 6; 11.6995; 0.166678; 162; 126317; 4.71086s
13; 8192; 6; 11.8578; 0.732005; 236; 1023196; 33.9102s
10; 1024; 6; 11.2896; 0.26199; 212; 151753; 5.89722s
11; 2048; 6; 12.095; 0.426356; 6626; 249525; 8.44442s
