subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
14; 16384; 7; 13.9264; 1.50596; 434; 1026765; 57.5797s
14; 16384; 7; 13.5739; 1.54619; 500; 1000704; 53.6308s
14; 16384; 7; 13.5914; 1.48556; 438; 1000655; 54.917s
15; 32768; 7; 13.6992; 1.28655; 398; 1012540; 55.2373s
15; 32768; 6; 13.066; 1.4816; 560; 1009162; 54.7535s
8; 256; 5; 12.2617; 2.17025; 346; 13226; 0.90645s
14; 16384; 6; 13.9649; 1.46983; 408; 1013051; 54.4851s
13; 8192; 6; 13.3857; 1.69702; 898; 1002760; 54.4396s
15; 32768; 7; 13.559; 1.23983; 1089; 1003673; 54.3616s
14; 16384; 7; 13.5546; 1.27705; 493; 1003930; 53.8615s
12; 4096; 5; 13.4953; 1.71945; 459; 399167; 22.9106s
14; 16384; 6; 13.5914; 1.55406; 495; 1006617; 56.1026s
15; 32768; 7; 13.2054; 1.49058; 411; 1010531; 55.6689s
15; 32768; 6; 13.6697; 1.55722; 374; 1013362; 55.2872s
13; 8192; 6; 13.3503; 1.241; 1063; 1001668; 57.5488s
12; 4096; 5; 12.9451; 1.40664; 301; 240229; 13.6885s
14; 16384; 6; 13.4982; 1.54912; 689; 1001741; 54.782s
11; 2048; 5; 13.1773; 1.5568; 354; 185960; 11.1339s
14; 16384; 7; 13.3952; 1.49012; 442; 1003677; 54.1765s
14; 16384; 7; 13.879; 1.5796; 436; 1004636; 53.79s
