subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
7; 128; 5; 6.49554; 0.294905; 399; 4392; 0.104172s
7; 128; 5; 7.20982; 0.386608; 60; 3240; 0.0503482s
7; 128; 5; 7.15625; 0.409151; 251; 4326; 0.0670297s
7; 128; 5; 6.96763; 0.471505; 48; 3167; 0.0452739s
6; 64; 5; 7.04167; 0.471607; 2165; 3424; 0.0498803s
6; 64; 5; 6.91667; 0.260803; 50; 2348; 0.0354059s
7; 128; 5; 7.20982; 0.341939; 56; 5311; 0.084751s
5; 32; 5; 7.125; 0.569385; 26; 676; 0.0106796s
6; 64; 5; 6.69271; 0.26483; 153; 1949; 0.0292623s
7; 128; 5; 6.88058; 0.171488; 40; 3455; 0.0518286s
5; 32; 5; 6.94375; 0.238687; 63; 809; 0.011755s
6; 64; 5; 7.1224; 0.425611; 26; 1428; 0.0200927s
7; 128; 5; 6.82589; 0.300112; 52; 4098; 0.0700001s
8; 256; 5; 6.69434; 0.309204; 110; 9259; 0.142832s
7; 128; 5; 6.84821; 0.221166; 576; 4673; 0.0724774s
7; 128; 5; 7.0067; 0.525262; 70; 3673; 0.0555469s
7; 128; 5; 6.98103; 0.471693; 47; 3377; 0.0479227s
6; 64; 5; 7.07031; 0.375466; 64; 1807; 0.0263793s
6; 64; 5; 6.76562; 0.341231; 500; 1950; 0.0338617s
6; 64; 5; 7.39844; 0.32509; 510; 2358; 0.0388915s
