subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
13; 8192; 11; 20.9255; 1.37847; 656; 1001826; 269.733s
13; 8192; 11; 20.3038; 0.925106; 564; 1015038; 276.54s
12; 4096; 11; 19.7977; 1.11417; 764; 1000814; 276.16s
13; 8192; 11; 19.9812; 0.852876; 644; 1003792; 273.192s
13; 8192; 12; 21.03; 1.26775; 762; 1007191; 266.922s
13; 8192; 11; 20.404; 1.54161; 633; 1002672; 269.824s
13; 8192; 10; 19.6302; 0.734532; 691; 1002000; 275.081s
13; 8192; 11; 19.8283; 0.923178; 745; 1000745; 274.071s
13; 8192; 12; 21.0617; 1.68341; 580; 1005883; 268.577s
13; 8192; 12; 20.9599; 1.37731; 504; 1004273; 268.683s
13; 8192; 11; 19.6592; 0.901855; 864; 1000798; 279.516s
13; 8192; 12; 20.7408; 1.74487; 458; 1001600; 267.636s
13; 8192; 11; 20.4434; 0.960852; 661; 1011914; 276.171s
13; 8192; 11; 20.3621; 1.22593; 611; 1000644; 276.105s
13; 8192; 10; 20.8058; 1.53241; 631; 1000929; 270.233s
13; 8192; 11; 20.7111; 1.40445; 820; 1001033; 271.926s
13; 8192; 10; 18.817; 0.803285; 678; 1002224; 277.148s
13; 8192; 11; 20.5873; 1.2967; 635; 1003126; 270.819s
13; 8192; 11; 20.8087; 1.41319; 569; 1000729; 271.756s
13; 8192; 13; 21.4858; 0.940333; 519; 1002775; 267.858s
