subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
13; 8192; 10; 18.4541; 1.37843; 510; 1002148; 164.495s
13; 8192; 10; 18.6836; 1.3329; 684; 1001140; 165.875s
13; 8192; 9; 18.1227; 1.26912; 587; 1004093; 167.877s
13; 8192; 10; 19.2238; 1.31569; 597; 1011214; 164.934s
13; 8192; 10; 19.3744; 2.11568; 663; 1000812; 164.8s
13; 8192; 10; 18.6407; 1.25288; 645; 1001657; 161.231s
13; 8192; 10; 19.0614; 1.18187; 722; 1001136; 165.616s
13; 8192; 9; 18.0291; 1.11936; 751; 1000790; 163.113s
13; 8192; 10; 18.5687; 1.54187; 471; 1004173; 164.648s
13; 8192; 10; 19.2491; 1.40177; 680; 1004466; 164.176s
13; 8192; 11; 19.405; 1.65326; 741; 1002596; 164.945s
14; 16384; 10; 19.0846; 1.27182; 468; 1014302; 165.072s
13; 8192; 11; 19.7632; 1.78583; 679; 1000774; 163.252s
13; 8192; 10; 18.5316; 1.32241; 1050; 1001010; 161.142s
13; 8192; 10; 18.136; 1.27388; 752; 1001402; 163.618s
14; 16384; 11; 20.1306; 1.60165; 469; 1018382; 166.39s
13; 8192; 9; 17.9612; 1.27928; 640; 1002563; 166.019s
13; 8192; 10; 18.8363; 1.57527; 568; 1002813; 163.685s
13; 8192; 10; 18.6818; 1.39095; 599; 1001416; 163.821s
13; 8192; 11; 18.4905; 1.3062; 590; 1002465; 162.544s
