temp; best; diff
33.6124; 3546.02; -3108.61
31.973; 3497.48; 0
30.4136; 3477.66; -1663.66
28.9303; 3473.79; -3163.41
27.5192; 3246.49; -545.733
26.177; 3318.98; -1257.46
24.9003; 3325.31; -2229.46
23.6859; 3345.4; -608.621
22.5306; 3254.42; -998.456
21.4317; 3401.08; -675.545
20.3865; 3465.16; -459.01
19.3921; 3363.74; -229.573
18.4463; 3320.23; -758.275
17.5466; 3292.76; -3078.01
16.6908; 3487.89; -1166.89
15.8768; 3599.08; -766.278
15.1024; 3599.08; -785.657
14.3658; 3639.95; -1350.36
13.6652; 3594.74; -1802.85
12.9987; 3602.56; -2032.03
12.3647; 3642.94; -1686.25
11.7616; 3620.9; -1307.77
11.188; 3620.9; -9433.52
10.6423; 3620.9; -2995.89
10.1233; 3633.02; -1178.85
9.62952; 3639.95; -1977.66
9.15986; 3639.95; -111.023
8.7131; 3635.11; -2149.5
8.28814; 3635.11; -855.791
7.8839; 3642.94; -7742.5
7.49938; 3642.94; -1045.49
7.13361; 3642.94; -3006.91
6.78569; 3635.11; -1262.13
6.45473; 3635.11; -1118.94
6.13991; 3642.94; -2262.02
5.84045; 3642.94; -4349.64
5.55559; 3633.02; -1063.93
5.28463; 3639.95; -469.995
5.02689; 3639.95; -1038.59
4.78171; 3639.95; 0
4.54849; 3639.95; -770.052
4.32665; 3639.95; -2152.13
4.11562; 3644.29; 0
3.91489; 3644.29; -2095.16
3.72395; 3644.29; -7148.6
3.54232; 3644.29; -2102.13
3.36955; 3644.29; -1350.8
3.20521; 3639.95; -1265.69
3.04888; 3639.95; -1450.89
2.90018; 3639.95; -1903.62
2.75873; 3639.95; -5727.88
2.62418; 3639.95; -378.716
2.49619; 3639.95; -899.282
2.37444; 3644.29; -1627.5
2.25863; 3644.29; -1945.53
2.14847; 3644.29; -1051.42
2.04369; 3632.17; -2730.18
1.94401; 3632.17; -620.556
1.8492; 3632.17; -2648.75
1.759; 3630.82; -870.23
1.67321; 3630.82; 0
1.59161; 3642.94; -2442.37
1.51398; 3644.29; -1602.94
1.44014; 3644.29; -2385.62
1.3699; 3642.94; -7899.49
1.30308; 3644.29; -4305.41
1.23953; 3644.29; -2125.09
1.17907; 3644.29; -1961.6
1.12157; 3644.29; -1339.9
1.06686; 3644.29; -3010.93
1.01483; 3644.29; -769.875
0.965333; 3644.29; -517.532
0.918251; 3644.29; -2748.12
0.873465; 3644.29; -1139.05
0.830864; 3644.29; -248.239
0.79034; 3644.29; -1553.77
0.751793; 3644.29; -2531.24
0.715126; 3644.29; -684.347
0.680247; 3644.29; -7673.45
0.647069; 3644.29; -3305.72
0.61551; 3644.29; -1901.53
0.58549; 3644.29; 0
0.556933; 3644.29; -3093.85
0.52977; 3644.29; -1542.42
0.503932; 3644.29; -3318.88
0.479353; 3644.29; -1026.77
0.455974; 3642.94; 0
0.433735; 3642.94; -1374.69
0.41258; 3644.29; -1734.76
0.392458; 3644.29; -999.385
0.373316; 3644.29; -2358.1
0.355108; 3644.29; -1572.15
0.337789; 3644.29; -4781.59
0.321314; 3644.29; -229.573
0.305642; 3644.29; -1130.11
0.290735; 3644.29; -1537.81
0.276555; 3644.29; -3050.56
0.263067; 3644.29; -1247.77
0.250236; 3644.29; -239.122
0.238032; 3644.29; -1661.28
0.226422; 3644.29; -2592.97
0.215379; 3644.29; -266.088
0.204874; 3644.29; -1372.11
0.194882; 3644.29; -20.8844
0.185377; 3644.29; -2197.59
0.176335; 3644.29; -2739.09
0.167735; 3644.29; -706.959
0.159554; 3644.29; -3324.6
0.151772; 3644.29; -9465.91
0.14437; 3644.29; 0
0.137328; 3644.29; -1573.86
0.130631; 3644.29; -5204.93
0.124259; 3644.29; -383.095
0.118199; 3644.29; 0
0.112434; 3644.29; -7875.77
0.10695; 3644.29; 0
0.101734; 3644.29; -2268.14
0.0967721; 3644.29; -2759.36
0.0920522; 3644.29; -667.908
0.0875625; 3644.29; -314.279
0.0832919; 3644.29; -4564.55
0.0792295; 3644.29; -1893.33
0.0753652; 3644.29; -799.545
