gen; best; avg; dev
0; 14; 15.75; 0.497494
0; 14; 15.455; 0.589894
10; 12; 13.195; 0.420684
20; 11; 11.84; 0.586856
30; 10; 10.535; 0.631486
40; 9; 9.625; 0.635905
50; 9; 9.155; 0.375466
60; 9; 9.16; 0.366606
70; 8; 9.015; 0.59563
80; 7; 8.17; 0.491019
90; 7; 8.14; 0.447661
100; 7; 7.92; 0.643117
110; 7; 7.235; 0.458012
120; 7; 7.3; 0.519615
130; 7; 7.19; 0.404846
140; 7; 7.205; 0.415903
150; 7; 7.28; 0.470744
160; 7; 7.205; 0.427756
170; 7; 7.23; 0.443959
180; 7; 7.25; 0.497494
190; 7; 7.33; 0.539537
200; 7; 7.22; 0.426146
208; 6; 7.23; 0.47655
gen; best; avg; dev
0; 15; 15.835; 0.384415
0; 14; 15.49; 0.519519
10; 13; 13.535; 0.527991
20; 11; 12.095; 0.431248
30; 10; 11.1; 0.489898
40; 9; 10.08; 0.391918
50; 9; 9.465; 0.598978
60; 9; 9.185; 0.436778
70; 9; 9.245; 0.44156
80; 8; 8.545; 0.630853
90; 8; 8.255; 0.469015
100; 8; 8.15; 0.384057
110; 8; 8.215; 0.456919
120; 8; 8.195; 0.420684
130; 8; 8.225; 0.417582
140; 8; 8.18; 0.396989
150; 7; 8.155; 0.388555
160; 7; 8.17; 0.401373
170; 7; 8.175; 0.429389
180; 8; 8.135; 0.356055
190; 7; 8.24; 0.449889
200; 7; 7.645; 0.662552
210; 7; 7.175; 0.392906
220; 7; 7.155; 0.375466
230; 7; 7.145; 0.366026
240; 7; 7.235; 0.423999
250; 7; 7.165; 0.384415
260; 7; 7.175; 0.392906
270; 7; 7.23; 0.443959
280; 7; 7.255; 0.479557
290; 7; 7.285; 0.523235
300; 7; 7.145; 0.37944
310; 7; 7.21; 0.46465
320; 7; 7.205; 0.461492
330; 7; 7.17; 0.375633
340; 7; 7.175; 0.392906
350; 7; 7.215; 0.422818
360; 7; 7.22; 0.426146
370; 7; 7.14; 0.3747
380; 7; 7.225; 0.473682
390; 7; 7.18; 0.396989
392; 6; 7.21; 0.431161
gen; best; avg; dev
0; 14; 15.74; 0.482079
0; 14; 15.475; 0.599479
10; 12; 13.075; 0.330719
20; 10; 11.685; 0.596469
30; 9; 9.7; 0.591608
40; 8; 9.185; 0.54843
50; 8; 8.385; 0.571642
60; 8; 8.33; 0.501099
70; 8; 8.23; 0.443959
80; 7; 8.01; 0.640234
90; 7; 7.415; 0.576867
98; 6; 7.44; 0.637495
gen; best; avg; dev
0; 14; 15.715; 0.532705
