gen; best; worst; avg; dev; tour; cp; mp; ffe; time
10100; 8; 18; 9.47; 2.73297; 2; 0.7; 0.2; 1000073; 435.875s
9408; 8; 18; 9.255; 2.14242; 2; 0.7; 0.2; 1000077; 402.544s
7687; 7; 19; 9.65; 2.68654; 2; 0.7; 0.2; 783511; 334.447s
9731; 8; 19; 9.5; 2.78568; 2; 0.7; 0.2; 1000004; 415.659s
9978; 8; 19; 9.99; 2.91203; 2; 0.7; 0.2; 1000006; 428.468s
9934; 8; 18; 10.075; 2.92564; 2; 0.7; 0.2; 1000044; 427.686s
9678; 8; 19; 10.05; 2.87359; 2; 0.7; 0.2; 1000074; 418.877s
9672; 8; 19; 9.425; 2.65224; 2; 0.7; 0.2; 1000090; 418.965s
2578; 7; 18; 9.49; 2.63057; 2; 0.7; 0.2; 258462; 112.586s
4881; 7; 18; 9.01; 2.07121; 2; 0.7; 0.2; 511279; 212.555s
9727; 8; 18; 9.775; 2.67664; 2; 0.7; 0.2; 1000094; 420.468s
8375; 7; 18; 9.055; 2.26539; 2; 0.7; 0.2; 874931; 361.971s
9981; 8; 19; 9.995; 2.52487; 2; 0.7; 0.2; 1000037; 430.215s
9599; 8; 19; 9.05; 2.07063; 2; 0.7; 0.2; 1000011; 412.404s
9799; 8; 19; 9.83; 2.96666; 2; 0.7; 0.2; 1000059; 421.52s
9751; 8; 19; 9.625; 2.41958; 2; 0.7; 0.2; 1000010; 416.974s
9505; 8; 18; 9.335; 2.20517; 2; 0.7; 0.2; 1000009; 409.571s
9931; 8; 18; 9.515; 2.46977; 2; 0.7; 0.2; 1000104; 423.475s
9461; 8; 19; 9.155; 2.43125; 2; 0.7; 0.2; 1000072; 403.849s
9845; 8; 19; 9.205; 2.37549; 2; 0.7; 0.2; 1000063; 418.23s
