gen; best; worst; avg; dev
1630; 9; 24; 11.335; 4.00285
1640; 9; 23; 11.085; 3.58298
1650; 9; 23; 10.87; 3.68145
1660; 9; 23; 10.97; 3.54388
1670; 9; 23; 11.005; 3.54894
1680; 9; 23; 11.19; 3.66659
1690; 9; 23; 10.785; 3.39246
1700; 9; 23; 10.975; 3.6571
1710; 9; 24; 10.7; 3.36303
1720; 9; 23; 10.26; 3.06633
1730; 9; 23; 10.255; 3.00666
1740; 9; 23; 10.72; 3.3379
1750; 9; 22; 10.725; 3.31653
1760; 9; 23; 11.09; 3.44121
1770; 9; 23; 10.765; 3.22177
1780; 9; 23; 10.61; 3.02455
1790; 9; 23; 10.355; 2.91015
1800; 9; 23; 11; 3.37639
1810; 9; 23; 10.73; 3.18074
1820; 9; 23; 10.45; 3.06879
1830; 9; 23; 10.46; 3.22621
1840; 9; 23; 10.37; 3.04682
1850; 9; 23; 10.465; 3.10141
1860; 9; 23; 10.59; 3.08089
1870; 9; 23; 10.49; 3.0594
1880; 9; 23; 10.6; 3.11288
1890; 9; 23; 10.61; 3.22768
1900; 9; 23; 10.86; 3.50577
1910; 9; 23; 10.34; 3.21627
1920; 9; 23; 10.365; 3.18304
1930; 9; 23; 10.71; 3.44179
1940; 9; 23; 10.735; 3.53055
1950; 9; 23; 11; 3.46699
1960; 9; 24; 10.71; 3.31902
1970; 9; 24; 10.505; 3.10322
1980; 9; 24; 10.82; 3.21055
1990; 9; 22; 11.01; 3.52277
2000; 9; 22; 10.71; 3.27046
2010; 9; 22; 11.265; 3.56017
2020; 9; 23; 11.31; 3.65293
2030; 9; 24; 11.06; 3.40388
2040; 9; 24; 10.52; 3.38077
2050; 9; 24; 10.74; 3.39888
2060; 9; 24; 10.82; 3.24308
2070; 9; 24; 10.51; 3.16226
2080; 9; 24; 10.765; 3.1448
2090; 9; 24; 10.76; 3.25767
2100; 9; 24; 11.1; 3.68646
2110; 9; 24; 10.91; 3.36332
2120; 9; 24; 11.065; 3.38833
2130; 9; 24; 11.13; 3.49758
2140; 9; 24; 10.87; 3.59348
2150; 9; 23; 10.865; 3.73989
2160; 9; 23; 10.75; 3.38342
2170; 9; 23; 10.39; 2.89446
2180; 9; 23; 10.355; 2.93921
2190; 9; 23; 10.55; 3.06879
2200; 9; 23; 10.48; 3.04132
2210; 9; 23; 10.77; 3.29653
2220; 9; 22; 10.43; 3.12811
2230; 9; 22; 10.525; 3.01652
2240; 9; 22; 10.71; 3.3743
2250; 9; 22; 10.09; 2.4232
2260; 9; 22; 9.995; 2.14359
2270; 9; 22; 9.98; 2.24713
2280; 9; 22; 10.195; 2.3952
2290; 9; 22; 10.315; 2.56433
2300; 9; 24; 10.345; 2.96411
2310; 9; 24; 10.065; 2.72594
2320; 9; 24; 10.2; 2.5923
2330; 9; 23; 10.185; 2.65156
2340; 9; 22; 10.26; 2.70784
2350; 9; 23; 10.355; 2.73477
2360; 9; 22; 10.52; 2.76579
2370; 9; 23; 10.805; 2.97943
2380; 9; 22; 10.785; 3.09496
2390; 9; 22; 11.05; 3.04097
2400; 9; 22; 10.81; 3.15339
2410; 9; 22; 11.06; 3.33113
2420; 9; 23; 11.22; 3.61823
2430; 9; 23; 11.625; 3.68841
2440; 9; 24; 11.08; 3.47759
2450; 9; 24; 11.095; 3.22738
2460; 9; 24; 11.055; 3.56819
2470; 9; 24; 11.21; 3.53637
2480; 9; 24; 11.295; 3.59138
2490; 9; 23; 10.625; 3.23641
2500; 9; 23; 10.56; 3.1363
2510; 9; 23; 11.155; 3.54838
2520; 9; 24; 11.085; 3.60386
2530; 9; 24; 10.51; 3.27718
2540; 9; 24; 10.735; 3.33538
2550; 9; 24; 10.745; 3.40881
2560; 9; 24; 10.69; 3.42256
2570; 9; 24; 11.015; 3.39776
2580; 9; 24; 11.145; 3.46034
2590; 9; 24; 11.52; 3.85741
2600; 9; 24; 11.615; 3.56746
2610; 9; 24; 11.655; 3.73577
2620; 9; 24; 11.145; 3.71268
2630; 9; 24; 11.76; 4.12824
2640; 9; 23; 11.25; 3.75466
2650; 9; 24; 11.24; 3.78978
2660; 9; 24; 11.415; 3.71521
2670; 9; 24; 11.765; 4.25203
2680; 9; 23; 10.69; 3.54032
2690; 9; 23; 10.945; 3.61414
2700; 9; 23; 10.67; 2.83039
2710; 9; 23; 10.915; 3.23539
2720; 9; 23; 10.935; 3.02502
2730; 9; 23; 10.75; 3.05082
2740; 9; 23; 11.01; 3.29695
2750; 9; 23; 10.845; 3.37357
2760; 9; 23; 10.73; 3.13163
2770; 9; 23; 11.12; 3.31596
2780; 9; 23; 10.54; 3.10619
2790; 9; 23; 10.485; 3.19684
2800; 9; 23; 10.44; 3.32662
2810; 9; 23; 10.485; 3.20621
2820; 9; 23; 10.35; 3.18237
2830; 9; 23; 10.575; 3.38591
2840; 9; 23; 10.305; 3.05483
2850; 9; 23; 10.54; 3.15728
2860; 9; 23; 10.91; 3.40762
2870; 9; 23; 10.57; 3.33543
2880; 9; 22; 10.795; 3.24699
2890; 9; 22; 10.81; 3.56986
2900; 9; 23; 10.74; 3.54717
2910; 9; 23; 10.535; 3.45236
2920; 9; 23; 10.64; 3.403
2930; 9; 23; 10.515; 3.11605
2940; 9; 23; 10.435; 3.17896
2950; 9; 23; 10.925; 3.33157
2960; 9; 23; 10.82; 3.35225
2970; 9; 23; 10.98; 3.52273
2980; 9; 23; 10.47; 3.31196
2990; 9; 23; 10.34; 3.10393
3000; 9; 22; 9.875; 2.47778
3010; 9; 22; 10.135; 2.46511
3020; 9; 22; 10.13; 2.53833
3030; 9; 23; 10.39; 2.71991
3040; 9; 23; 10.32; 2.74911
3050; 9; 22; 10.53; 3.11434
3060; 9; 22; 10.455; 2.91341
3070; 9; 22; 10.5; 3.00832
3080; 9; 22; 10.305; 2.96175
3090; 9; 22; 10.455; 2.88582
3100; 9; 22; 10.62; 3.07174
3110; 9; 22; 9.795; 2.56573
3120; 9; 22; 10.265; 2.9385
3130; 9; 22; 10.02; 2.61335
3140; 9; 23; 10.135; 2.94224
3150; 9; 22; 9.975; 2.55429
3160; 9; 22; 10; 2.54558
3170; 9; 22; 9.995; 2.63723
3180; 9; 23; 10.05; 2.66599
3190; 9; 23; 10.28; 2.6873
3200; 9; 23; 10.405; 2.78765
3210; 9; 24; 10.42; 3.02218
3220; 9; 23; 10.25; 2.9099
3230; 9; 23; 10.11; 2.8754
3240; 9; 23; 10.005; 2.71016
3250; 9; 23; 10.705; 2.87019
3260; 9; 23; 10.255; 2.77128
3270; 9; 23; 10.395; 2.83707
3280; 9; 24; 10.265; 2.80264
3290; 9; 24; 10.325; 2.90162
3300; 9; 23; 10.21; 2.69924
3310; 9; 24; 10.3; 2.84956
3320; 9; 23; 10.4; 2.90689
3330; 9; 23; 10.575; 2.98234
3340; 9; 23; 10.52; 2.9291
3350; 9; 23; 10.42; 3.05673
3360; 9; 23; 10.41; 3.08252
3370; 9; 24; 11.055; 3.34843
3380; 9; 24; 10.33; 3.07426
3390; 9; 24; 10.58; 3.12147
3400; 9; 24; 10.55; 3.1253
3410; 9; 24; 10.565; 3.22114
3420; 9; 24; 10.585; 3.24388
3430; 9; 24; 10.54; 3.29824
3440; 9; 24; 10.545; 3.46237
3450; 9; 24; 10.495; 3.36749
3460; 9; 24; 10.825; 3.50205
3470; 9; 24; 10.845; 3.82243
3480; 9; 24; 10.54; 3.48546
3490; 9; 23; 10.39; 3.28297
3500; 9; 23; 10.47; 3.37477
3510; 9; 23; 10.61; 3.38643
3520; 9; 23; 10.5; 3.30757
3530; 9; 23; 10.59; 3.47446
3540; 9; 23; 10.57; 3.25655
3550; 9; 22; 10.67; 3.28041
3560; 9; 22; 10.815; 3.32126
3570; 9; 23; 11.34; 3.6571
3580; 9; 23; 11.13; 3.52748
3590; 9; 23; 10.995; 3.7276
3600; 9; 23; 10.835; 3.43479
3610; 9; 23; 11.185; 3.51437
3620; 9; 23; 10.72; 3.51733
3630; 9; 23; 11.29; 3.62159
3640; 9; 23; 11.295; 3.86755
3650; 9; 23; 11.32; 3.83114
3660; 9; 23; 11.175; 3.70869
3670; 9; 23; 11.055; 3.91177
3680; 9; 24; 11.135; 3.66289
3690; 9; 24; 10.535; 3.26784
3700; 9; 23; 11.045; 3.65691
3710; 9; 23; 10.885; 3.55693
3720; 9; 23; 10.96; 3.70113
3730; 9; 23; 10.99; 3.77358
3740; 9; 24; 10.97; 3.47694
3750; 9; 24; 10.72; 3.7137
3760; 9; 24; 11.295; 3.65075
3770; 9; 24; 10.47; 3.39693
3780; 9; 23; 11.29; 3.76376
3790; 9; 23; 10.475; 3.34804
3800; 9; 24; 10.57; 3.36528
3810; 9; 24; 10.665; 3.44279
3820; 9; 24; 10.745; 3.73764
3830; 9; 24; 10.77; 3.63416
3840; 9; 24; 11.045; 3.89268
3850; 9; 24; 10.55; 3.49964
3860; 9; 24; 10.655; 3.52789
3870; 9; 24; 9.87; 2.4603
3880; 9; 24; 10.265; 2.62769
3890; 9; 24; 10.315; 2.50714
3900; 9; 24; 10.58; 2.99727
3910; 9; 23; 10.415; 2.78797
3920; 9; 23; 10.515; 2.92229
3930; 9; 23; 10.78; 2.95831
3940; 9; 23; 10.855; 3.11191
3950; 9; 23; 10.89; 3.42606
3960; 9; 24; 10.65; 3.15713
3970; 9; 24; 10.875; 3.13996
3980; 9; 24; 11.17; 3.3483
3990; 9; 24; 10.48; 2.90338
4000; 9; 23; 10.775; 2.92991
4010; 9; 23; 10.72; 2.95324
4020; 9; 23; 10.605; 2.95956
4030; 9; 22; 11.15; 3.30114
4040; 9; 22; 11.015; 3.18979
4050; 9; 22; 10.86; 3.36904
4060; 9; 22; 11.14; 3.35714
4070; 9; 22; 11.28; 3.47586
4080; 9; 22; 11.515; 3.86649
4090; 9; 22; 10.895; 3.33676
4100; 9; 22; 10.92; 3.46895
4110; 9; 22; 11.21; 3.58691
4120; 9; 22; 11.11; 3.62738
4130; 9; 23; 10.87; 3.51896
4140; 9; 23; 11.07; 3.86718
4150; 9; 22; 11.275; 4.01863
4160; 9; 22; 10.67; 3.43236
4170; 9; 23; 10.83; 3.61678
4180; 9; 23; 10.3; 3.17017
4190; 9; 23; 10.17; 2.99184
4200; 9; 22; 10.465; 3.10947
4210; 9; 22; 10.505; 2.98496
4220; 9; 22; 10.5; 2.97658
4230; 9; 22; 10.88; 3.19931
4240; 9; 22; 10.905; 3.33406
4250; 9; 22; 10.805; 3.25376
4260; 9; 23; 10.805; 3.27826
4270; 9; 23; 11.05; 3.51959
4280; 9; 23; 10.66; 3.35028
4290; 9; 23; 10.33; 3.26054
4300; 9; 23; 10.53; 3.01481
4310; 9; 23; 10.54; 3.05097
4320; 9; 23; 10.6; 3.17962
4330; 9; 23; 10.52; 3.19212
4340; 9; 23; 10.805; 3.20577
4350; 9; 23; 11.335; 3.82136
4360; 9; 23; 10.49; 3.12248
4370; 9; 23; 10.58; 3.28992
4380; 9; 23; 10.625; 3.27634
4390; 9; 23; 10.54; 3.28152
4400; 9; 24; 10.695; 3.41643
4410; 9; 23; 10.6; 3.34664
4420; 9; 23; 10.805; 3.29803
4430; 9; 23; 10.51; 3.03478
4440; 9; 23; 10.37; 3.00052
4450; 9; 23; 10.72; 3.31536
4460; 9; 23; 10.66; 3.1503
4470; 9; 23; 10.825; 3.21316
4480; 9; 23; 10.655; 3.08804
4490; 9; 23; 10.495; 3.07408
4500; 9; 24; 10.42; 3.147
4510; 9; 23; 10.46; 3.16202
4520; 9; 23; 10.505; 3.28329
4530; 9; 23; 11.24; 3.83307
4540; 9; 23; 11.02; 3.42193
4550; 9; 23; 11.345; 3.68049
4560; 9; 23; 11.19; 3.70323
4570; 9; 24; 11.085; 3.59552
4580; 9; 23; 11.02; 3.72553
4590; 9; 23; 11; 3.83797
4600; 9; 23; 10.61; 3.44788
4610; 9; 23; 11.555; 3.88548
4620; 9; 23; 11.23; 3.63966
4630; 9; 23; 11.03; 3.67955
4640; 9; 23; 11.095; 3.87117
4650; 9; 23; 11.08; 3.78597
4660; 9; 23; 10.725; 3.53545
4670; 9; 23; 11.045; 3.67192
4680; 9; 23; 11.125; 3.74558
4690; 9; 23; 10.93; 3.65993
4700; 9; 23; 10.95; 3.52385
4710; 9; 23; 10.975; 3.69248
4720; 9; 23; 10.85; 3.66163
4730; 9; 23; 10.645; 3.23403
4740; 9; 23; 10.795; 3.16907
4750; 9; 22; 10.725; 3.19365
4760; 9; 22; 10.7; 3.29393
4770; 9; 23; 11.01; 3.37489
4780; 9; 22; 11.115; 3.68127
4790; 9; 23; 10.895; 3.44005
4800; 9; 23; 10.565; 3.47502
4810; 9; 23; 10.94; 3.61613
4820; 9; 23; 10.965; 3.50482
4830; 9; 23; 10.71; 3.47935
4840; 9; 23; 11.695; 3.97643
4850; 9; 23; 11.435; 4.00697
4860; 9; 24; 11; 3.63593
4870; 9; 24; 10.88; 3.59383
4880; 9; 24; 11.11; 3.76004
4890; 9; 24; 11.01; 3.68509
4900; 9; 24; 11.5; 3.88458
4910; 9; 24; 11.11; 3.93038
4920; 9; 24; 11.25; 3.94176
4930; 9; 24; 10.94; 3.52227
4940; 9; 23; 10.425; 2.96047
4950; 9; 24; 10.48; 2.99159
4960; 9; 12; 9.655; 0.745637
4970; 9; 14; 9.82; 1.08056
4980; 9; 15; 9.96; 1.36323
4990; 9; 17; 9.94; 1.6237
5000; 9; 16; 10.095; 1.87509
5010; 9; 18; 10.005; 1.90918
5020; 9; 19; 10.31; 2.13633
5030; 9; 21; 10.33; 2.27181
5040; 9; 21; 10.38; 2.35491
5050; 9; 21; 10.545; 2.45926
5060; 9; 20; 10.59; 2.7059
5070; 9; 20; 10.615; 2.7031
5080; 9; 20; 10.655; 2.89067
5090; 9; 21; 10.77; 2.96093
5100; 9; 22; 10.85; 3.15238
5110; 9; 22; 10.975; 3.33082
5120; 9; 21; 10.87; 3.15485
5130; 9; 22; 10.355; 2.68682
5140; 9; 21; 10.385; 2.97267
5150; 9; 21; 10.34; 2.69896
5160; 9; 21; 11.105; 3.47764
5170; 9; 21; 10.39; 2.7107
5180; 9; 22; 10.355; 2.85814
5190; 9; 22; 10.295; 2.94244
5200; 9; 22; 10.57; 3.43003
5210; 9; 22; 10.305; 3.05483
5220; 9; 22; 10.5; 3.14802
5230; 9; 23; 10.835; 3.29208
5240; 9; 23; 11.11; 3.80235
5250; 9; 23; 10.5; 3.50856
5260; 9; 23; 10.57; 3.22724
5270; 9; 23; 10.495; 3.26955
5280; 9; 23; 10.79; 3.44614
5290; 9; 23; 10.99; 3.29544
5300; 9; 22; 10.88; 3.38018
5310; 9; 24; 10.71; 3.5151
5320; 9; 24; 11.38; 3.73973
5330; 9; 24; 11.02; 3.88325
5340; 9; 23; 10.535; 3.45091
5350; 9; 23; 10.845; 3.75513
5360; 9; 23; 10.485; 3.14003
5370; 9; 24; 10.515; 3.03146
5380; 9; 24; 10.595; 3.56805
5390; 9; 24; 10.63; 3.23776
5400; 9; 23; 10.66; 3.21783
5410; 9; 24; 10.835; 3.28143
5420; 9; 24; 10.6; 3.24191
5430; 9; 24; 10.75; 3.39963
5440; 9; 24; 10.61; 3.33735
5450; 9; 24; 10.64; 3.36458
5460; 9; 23; 10.55; 2.83505
5470; 9; 23; 10.24; 3.01868
5480; 9; 24; 10.375; 3.04046
5490; 9; 24; 10.415; 3.01708
5500; 9; 24; 10.995; 3.50784
5510; 9; 24; 10.515; 3.06264
5520; 9; 23; 10.53; 3.05108
5530; 9; 23; 10.78; 3.2698
5540; 9; 23; 10.705; 3.36422
5550; 9; 23; 10.745; 3.16859
5560; 9; 23; 10.61; 3.19342
5570; 9; 23; 10.46; 3.01304
5580; 9; 22; 10.56; 3.03091
5590; 9; 23; 10.98; 3.35702
5600; 9; 23; 10.395; 3.11111
5610; 9; 23; 10.795; 3.25007
5620; 9; 23; 10.825; 3.21937
5630; 9; 23; 10.635; 3.12758
5640; 9; 23; 10.455; 3.25238
5650; 9; 23; 10.655; 3.23512
5660; 9; 23; 10.635; 3.28204
5670; 9; 23; 10.6; 3.27872
5680; 9; 23; 10.55; 3.43184
5690; 9; 23; 10.51; 3.30906
5700; 9; 23; 10.71; 3.38761
5710; 9; 23; 10.365; 3.34242
5720; 9; 23; 10.76; 3.49319
5730; 9; 24; 10.715; 3.41376
5740; 9; 24; 11.155; 3.62229
