gen; best; worst; avg; dev; tour; cp; mp; ffe; time
3863; 22; 72; 33.79; 17.5327; 2; 0.7; 0.2; 1000084; 1108.27s
3792; 22; 73; 24.76; 10.5429; 2; 0.7; 0.2; 1000255; 1069.98s
3732; 21; 72; 23.435; 10.2404; 2; 0.7; 0.2; 1000017; 1073.7s
3833; 22; 72; 24.29; 9.86792; 2; 0.7; 0.2; 1000203; 1082.24s
3944; 20; 74; 22.545; 10.3821; 2; 0.7; 0.2; 1000007; 1101.18s
3768; 22; 71; 24.3; 9.69381; 2; 0.7; 0.2; 1000154; 1095.24s
3856; 18; 74; 21.02; 10.9279; 2; 0.7; 0.2; 1000060; 1094.59s
3870; 21; 71; 23.275; 9.91107; 2; 0.7; 0.2; 1000046; 1089.77s
3785; 18; 72; 20.505; 10.565; 2; 0.7; 0.2; 1000191; 1089.18s
3762; 20; 72; 22.485; 10.2068; 2; 0.7; 0.2; 1000016; 1079.89s
3906; 23; 72; 25.245; 9.38216; 2; 0.7; 0.2; 1000013; 1088.08s
3771; 20; 73; 22.47; 10.1793; 2; 0.7; 0.2; 1000068; 1069.79s
3803; 22; 73; 24.615; 10.383; 2; 0.7; 0.2; 1000213; 1077.14s
3873; 21; 70; 23.275; 9.72005; 2; 0.7; 0.2; 1000188; 1091.75s
3866; 21; 74; 23.4; 10.1814; 2; 0.7; 0.2; 1000005; 1088.76s
3956; 20; 73; 22.465; 10.2171; 2; 0.7; 0.2; 1000139; 1089.91s
3820; 21; 74; 23.32; 9.94372; 2; 0.7; 0.2; 1000151; 1092.91s
3897; 18; 73; 30.75; 17.3881; 2; 0.7; 0.2; 1000122; 1087.27s
3654; 22; 74; 26.25; 11.6279; 2; 0.7; 0.2; 1000104; 1064.18s
3922; 21; 71; 23.765; 9.91815; 2; 0.7; 0.2; 1000036; 1099.61s
