gen; best; avg; dev
380; 30; 32.265; 1.27074
390; 30; 32.245; 1.25099
400; 29; 32.255; 1.23692
410; 28; 32.05; 1.49248
420; 29; 32.225; 1.28233
430; 29; 32.105; 1.23854
440; 29; 32.06; 1.46164
450; 28; 31.7; 1.6
460; 27; 31.685; 1.86702
470; 27; 31.86; 1.67344
480; 28; 32.085; 1.50923
490; 28; 31.69; 1.79274
500; 29; 32.06; 1.5318
510; 28; 31.855; 1.66852
520; 28; 31.69; 1.74754
530; 27; 31.665; 1.86622
540; 27; 31.585; 1.92426
550; 29; 31.9; 1.57797
560; 28; 31.795; 1.70087
570; 28; 31.715; 1.74177
580; 28; 31.76; 1.65904
590; 27; 31.695; 1.73838
600; 27; 31.815; 1.60959
610; 27; 31.9; 1.63095
620; 26; 31.575; 1.90115
630; 26; 31.35; 2.17428
640; 27; 31.605; 1.93881
650; 26; 32.035; 1.63517
660; 28; 31.68; 1.69929
670; 28; 31.73; 1.82129
680; 27; 31.74; 1.69186
690; 28; 31.58; 1.90095
700; 27; 31.66; 1.81505
710; 28; 31.725; 1.77746
720; 28; 31.42; 1.91405
730; 27; 31.21; 2.21041
740; 28; 31.4; 1.772
750; 28; 31.66; 1.53114
760; 28; 31.425; 1.71883
770; 28; 31.55; 1.73997
780; 27; 31.655; 1.65105
790; 28; 31.835; 1.45869
800; 27; 31.47; 1.86255
810; 26; 31.16; 2.27473
820; 26; 31.8; 1.56205
830; 28; 31.65; 1.55161
840; 28; 31.535; 1.73458
850; 28; 31.52; 1.81373
860; 28; 31.645; 1.56172
870; 28; 31.8; 1.36748
880; 26; 31.41; 1.97025
890; 27; 31.48; 1.87072
900; 27; 31.235; 2.02479
910; 27; 31.47; 1.84637
920; 28; 31.7; 1.5906
930; 28; 31.825; 1.61381
940; 29; 31.92; 1.47431
950; 28; 31.735; 1.53127
960; 29; 31.715; 1.53746
970; 28; 31.555; 1.67838
980; 29; 31.58; 1.61666
990; 28; 31.67; 1.61898
1000; 29; 31.67; 1.67365
1010; 28; 31.535; 1.6819
1020; 27; 31.705; 1.60249
1030; 27; 31.48; 1.80266
1040; 27; 31.3; 1.93132
1050; 28; 31.575; 1.59824
1060; 28; 31.555; 1.59279
1070; 28; 31.57; 1.65985
1080; 27; 31.365; 1.91358
1090; 28; 31.48; 1.72325
1100; 27; 31.44; 1.95356
1110; 27; 31.395; 1.94138
1120; 27; 31.54; 1.79677
1130; 26; 31.015; 2.18284
1140; 26; 31.065; 2.13325
1150; 27; 31.53; 1.57769
1160; 27; 31.045; 2.1984
1170; 25; 30.865; 2.60898
1180; 25; 31.025; 2.36313
1190; 26; 30.87; 2.31368
1200; 28; 31.77; 1.51891
1210; 28; 31.445; 1.84851
1220; 28; 31.675; 1.64905
1230; 28; 31.465; 1.82175
1240; 27; 31.44; 1.88849
1250; 28; 31.75; 1.56764
1260; 27; 31.295; 1.95396
1270; 28; 31.49; 1.79162
1280; 27; 31.3; 2.00499
1290; 28; 31.655; 1.70469
1300; 27; 31.255; 2.0445
1310; 27; 31.345; 1.96112
1320; 27; 31.51; 1.88942
1330; 28; 31.425; 1.82603
1340; 26; 31.065; 2.33897
1350; 27; 31.25; 2.05852
1360; 28; 31.57; 1.67484
1370; 27; 31.5; 1.86279
1380; 27; 31.535; 1.86246
1390; 28; 31.62; 1.59549
1400; 27; 31.495; 1.69115
1410; 28; 31.55; 1.70514
1420; 28; 31.56; 1.60823
1430; 27; 31.16; 2.0011
1440; 27; 31.435; 1.85358
1450; 28; 31.595; 1.47342
1460; 28; 31.34; 1.79287
1470; 28; 31.43; 1.75074
1480; 26; 31.28; 1.9083
1490; 28; 31.465; 1.88382
1500; 28; 31.645; 1.658
1510; 27; 31.66; 1.66565
1520; 26; 31.69; 1.77592
1530; 27; 31.21; 1.98391
1534; 27; 31.245; 1.98115
gen; best; avg; dev
0; 30; 33.875; 0.969214
0; 30; 33.66; 0.929731
10; 30; 33.095; 1.27905
20; 30; 33.055; 1.53687
30; 30; 33.135; 1.17336
40; 28; 32.955; 1.59153
50; 29; 33.11; 1.29534
60; 29; 33.03; 1.3708
70; 29; 32.87; 1.47075
80; 29; 32.84; 1.48809
90; 30; 32.97; 1.43496
100; 30; 32.975; 1.36175
110; 30; 32.89; 1.34458
120; 30; 32.7; 1.46969
130; 29; 32.695; 1.47715
140; 30; 32.76; 1.40086
150; 30; 32.96; 1.39943
160; 29; 32.365; 1.87397
170; 29; 32.48; 1.79711
180; 28; 32.335; 1.93204
190; 29; 32.72; 1.55293
200; 30; 32.67; 1.57515
210; 28; 32.225; 1.97595
220; 29; 32.575; 1.71008
230; 28; 32.58; 1.73597
240; 27; 32.165; 2.07311
250; 29; 32.59; 1.52049
260; 29; 32.38; 1.6296
270; 29; 32.36; 1.5781
280; 28; 32.085; 1.71399
290; 28; 32.14; 1.78056
300; 28; 32.09; 1.75553
310; 28; 32.17; 1.67066
320; 28; 31.95; 2.01432
330; 28; 32.215; 1.59021
340; 28; 32.19; 1.7561
350; 28; 31.945; 1.86868
360; 28; 32.04; 1.71126
370; 28; 32.03; 1.9259
380; 29; 32.4; 1.50333
390; 29; 32.405; 1.43212
400; 29; 32.35; 1.48913
410; 29; 32.205; 1.63186
420; 29; 32.5; 1.45945
430; 29; 32.055; 1.72394
440; 28; 32.06; 1.8211
450; 28; 32.05; 1.84323
460; 28; 32.075; 1.82466
470; 28; 31.755; 2.00374
480; 27; 31.575; 2.18045
490; 29; 32.085; 1.78823
500; 28; 32.08; 1.75886
510; 27; 31.775; 1.86397
520; 27; 32.02; 1.65517
530; 27; 31.65; 2.18346
540; 27; 31.55; 2.28199
550; 27; 31.52; 2.15629
560; 27; 31.9; 1.63401
570; 28; 31.98; 1.64609
580; 27; 31.745; 1.89208
590; 28; 31.74; 1.9602
600; 27; 32.005; 1.88015
610; 28; 32.065; 1.77786
620; 28; 32.04; 1.66385
630; 28; 32.02; 1.62776
640; 28; 31.985; 1.72765
650; 27; 32; 1.61555
660; 27; 31.78; 1.75829
670; 28; 32.025; 1.56983
680; 29; 31.985; 1.49492
690; 29; 31.985; 1.52144
700; 28; 31.84; 1.7362
710; 29; 31.795; 1.71259
720; 28; 31.755; 1.63248
730; 28; 31.825; 1.55704
740; 27; 31.545; 1.8942
750; 29; 31.835; 1.53876
760; 28; 31.615; 1.78515
770; 28; 31.5; 1.82757
780; 29; 31.515; 1.76346
790; 28; 31.295; 2.02928
800; 28; 31.61; 1.63337
810; 29; 31.635; 1.60055
820; 28; 31.51; 1.79997
830; 27; 31.345; 1.94061
840; 25; 31.335; 2.3006
850; 27; 31.695; 1.74985
860; 27; 31.485; 1.79437
870; 27; 31.42; 1.9959
880; 27; 31.14; 2.22495
890; 26; 31.255; 2.25166
900; 28; 31.72; 1.76681
910; 27; 31.715; 1.7099
920; 27; 31.69; 1.7731
930; 28; 31.905; 1.35498
940; 28; 31.71; 1.5511
950; 28; 31.86; 1.45272
960; 28; 31.71; 1.56713
970; 29; 31.745; 1.4866
980; 29; 31.735; 1.38736
990; 28; 31.535; 1.53583
1000; 28; 31.55; 1.54839
1010; 28; 31.525; 1.62153
1020; 28; 31.58; 1.56959
1030; 26; 31.47; 1.71729
1040; 29; 31.645; 1.40676
1050; 27; 31.57; 1.48159
1060; 28; 31.755; 1.32852
1070; 28; 31.355; 1.7085
1080; 28; 31.355; 1.82729
1090; 28; 31.785; 1.59649
1100; 28; 31.16; 1.91948
1110; 28; 31.51; 1.54916
1120; 28; 31.49; 1.59371
1130; 28; 31.505; 1.68522
1140; 26; 31.08; 2.04783
1150; 28; 31.59; 1.58174
1160; 27; 31.365; 1.79771
1170; 24; 30.88; 2.69733
1180; 25; 31.3; 2.0347
1190; 27; 31.36; 1.83314
1200; 29; 31.49; 1.54593
1210; 28; 31.365; 1.64978
1220; 28; 31.53; 1.52941
1230; 28; 31.455; 1.73147
1240; 26; 31.28; 1.76114
1250; 28; 31.385; 1.56741
1260; 27; 31.46; 1.63658
1270; 28; 31.37; 1.57261
1280; 27; 31.405; 1.60965
1290; 27; 31.24; 1.71825
1300; 28; 31.34; 1.62616
1310; 27; 31.265; 1.68071
1320; 28; 31.395; 1.56492
1330; 26; 31.005; 2.13658
1340; 27; 31.355; 1.83548
1350; 28; 31.6; 1.50665
1360; 28; 31.5; 1.64621
1370; 28; 31.41; 1.74697
1380; 27; 31.46; 1.5995
1390; 27; 31.42; 1.73597
1400; 27; 31.525; 1.63382
1410; 28; 31.54; 1.56154
1420; 26; 31.11; 2.00945
1430; 27; 31.44; 1.68713
1440; 28; 31.57; 1.57642
1450; 28; 31.31; 1.70994
1460; 27; 31.395; 1.7085
1470; 28; 31.275; 1.74051
1480; 28; 31.325; 1.83286
1490; 28; 31.405; 1.70029
1500; 28; 31.3; 1.81659
1510; 28; 31.335; 1.74722
1520; 27; 31.01; 2.11658
1529; 28; 31.64; 1.59072
gen; best; avg; dev
0; 31; 34.025; 0.879986
0; 31; 33.615; 0.998386
10; 31; 33.47; 1.10413
20; 29; 33.04; 1.56474
30; 30; 33.175; 1.44374
40; 29; 32.8; 1.84391
50; 30; 33.205; 1.37585
60; 29; 33.025; 1.5081
70; 30; 33.1; 1.24097
80; 30; 33.22; 1.13649
90; 29; 33.035; 1.40847
100; 29; 32.82; 1.42042
110; 30; 33.005; 1.21449
120; 30; 32.88; 1.21062
130; 28; 32.735; 1.35454
140; 29; 32.51; 1.51984
150; 30; 32.635; 1.30452
160; 29; 32.475; 1.39261
170; 28; 32.16; 1.90903
180; 28; 32.49; 1.61552
190; 28; 32.53; 1.42095
200; 28; 32.14; 1.83041
210; 29; 32.515; 1.39634
220; 28; 32.06; 1.92
230; 29; 32.445; 1.49231
240; 29; 32.125; 1.63993
250; 27; 31.865; 2.08009
260; 26; 31.83; 2.30458
270; 26; 32.005; 1.98115
280; 29; 31.985; 1.65975
290; 29; 32.07; 1.64776
300; 27; 31.61; 1.91518
310; 27; 32.045; 1.68017
320; 29; 31.995; 1.47817
330; 28; 31.9; 1.59374
340; 29; 32.02; 1.57785
350; 29; 32.41; 1.32737
360; 28; 32.26; 1.55962
370; 29; 32.09; 1.5106
380; 29; 32.18; 1.49251
390; 28; 31.95; 1.64241
400; 29; 32.04; 1.65481
410; 28; 32.19; 1.45736
420; 28; 31.955; 1.72133
430; 28; 31.7; 2.01494
440; 26; 31.885; 2.01786
450; 28; 32.01; 1.56841
460; 27; 32.135; 1.52538
470; 28; 31.875; 1.97215
480; 28; 31.65; 2.02423
490; 27; 31.225; 2.2615
500; 26; 31.26; 2.62343
510; 25; 30.97; 2.89121
520; 26; 31.665; 2.02059
530; 26; 31.655; 1.86975
540; 26; 31.735; 2.08441
550; 26; 31.525; 2.19758
560; 26; 31.18; 2.39115
570; 26; 31.27; 2.42427
580; 26; 31.34; 2.33547
590; 26; 31.535; 1.99469
600; 26; 31.695; 1.98796
610; 28; 31.53; 1.91288
620; 26; 31.39; 1.9047
630; 27; 31.315; 2.0238
640; 27; 31.59; 1.72392
650; 27; 31.85; 1.43091
660; 27; 31.675; 1.67014
670; 27; 31.48; 1.96967
680; 27; 31.515; 1.87077
690; 26; 31.455; 2.00698
700; 27; 31.4; 2.04206
710; 27; 31.395; 2.05401
720; 27; 31.355; 1.97711
730; 26; 31.37; 2.38602
740; 26; 31.57; 2.32058
750; 26; 31.74; 2.14299
760; 25; 31.49; 2.43308
770; 26; 31.46; 2.19964
780; 27; 31.835; 1.68457
790; 29; 31.99; 1.47983
800; 29; 31.79; 1.51852
810; 28; 31.73; 1.62083
820; 28; 31.975; 1.58252
830; 28; 31.77; 1.7138
840; 28; 31.545; 1.84065
850; 28; 31.79; 1.58616
860; 28; 32.155; 1.42863
870; 28; 31.85; 1.65454
880; 27; 31.93; 1.66886
890; 29; 32.035; 1.68635
900; 27; 31.705; 1.80499
910; 29; 32; 1.60312
920; 29; 31.785; 1.72301
930; 28; 31.4; 2.23383
940; 28; 31.72; 1.80044
950; 27; 31.645; 1.74613
960; 26; 31.18; 2.31681
970; 26; 31.4; 2.05183
980; 28; 31.635; 1.72098
990; 27; 31.375; 1.96071
1000; 28; 31.47; 1.81909
1010; 27; 31.545; 1.67868
1020; 29; 31.485; 1.64614
1030; 29; 31.435; 1.72504
1040; 28; 31.485; 1.77758
1050; 27; 31.325; 2.09747
1060; 27; 31.65; 1.64241
1070; 27; 31.605; 1.78577
1080; 27; 31.15; 2.13717
1090; 27; 31.395; 2.07821
1100; 27; 31.53; 1.95425
1110; 28; 31.575; 1.76476
1120; 27; 31.615; 1.73112
1130; 27; 31.39; 1.86759
1140; 29; 31.785; 1.54233
1150; 29; 31.695; 1.51393
1160; 28; 31.715; 1.61362
1170; 27; 31.84; 1.49144
1180; 29; 31.87; 1.39395
1190; 28; 31.865; 1.40953
1200; 28; 31.58; 1.57594
1210; 27; 31.67; 1.67961
1220; 28; 31.695; 1.7123
1230; 29; 31.675; 1.54252
1240; 28; 31.575; 1.713
1250; 28; 31.725; 1.55222
1260; 27; 31.685; 1.53811
1270; 27; 31.64; 1.61258
1280; 27; 31.655; 1.60498
1290; 28; 31.63; 1.52417
1300; 28; 31.58; 1.5632
1310; 28; 31.31; 1.77028
1320; 29; 31.695; 1.43247
1330; 26; 31.265; 1.89862
1340; 27; 31.35; 1.72844
1350; 27; 31.42; 1.75317
1360; 28; 31.365; 1.74979
1370; 29; 31.675; 1.49311
1380; 28; 31.1; 1.83576
1390; 28; 31.345; 1.728
1400; 27; 31.37; 1.73006
1410; 28; 31.505; 1.56204
1420; 27; 31.23; 1.91758
1430; 28; 31.43; 1.55406
1440; 29; 31.76; 1.28546
1450; 29; 31.55; 1.5025
1460; 28; 31.58; 1.64426
1470; 28; 31.355; 1.86788
1480; 28; 31.405; 1.99774
1490; 29; 31.62; 1.69871
1500; 29; 31.74; 1.6439
1510; 27; 31.605; 1.81355
1520; 27; 31.89; 1.69938
1530; 28; 31.815; 1.78907
1537; 28; 31.945; 1.67092
gen; best; avg; dev
0; 31; 33.98; 1.00975
0; 31; 33.755; 1.00248
10; 30; 33.01; 1.45599
20; 31; 33.1; 1.28841
30; 30; 33.07; 1.3248
40; 28; 33.075; 1.33393
50; 30; 32.94; 1.38434
60; 30; 32.955; 1.29344
70; 30; 32.88; 1.48513
80; 30; 32.92; 1.4084
90; 30; 33.145; 1.35055
100; 29; 32.8; 1.47986
110; 29; 32.865; 1.50558
120; 31; 33.02; 1.20399
130; 30; 32.81; 1.47102
140; 30; 33.02; 1.22866
150; 30; 32.73; 1.40609
160; 30; 32.785; 1.35601
170; 29; 32.65; 1.54515
180; 29; 32.81; 1.42615
190; 29; 32.61; 1.63337
200; 30; 32.61; 1.36671
210; 30; 32.62; 1.46479
220; 30; 32.665; 1.31635
230; 29; 32.705; 1.32211
240; 30; 32.74; 1.28546
250; 29; 32.515; 1.5165
260; 28; 32.47; 1.58717
270; 27; 32.225; 1.77042
280; 28; 32.36; 1.55255
290; 29; 32.535; 1.41731
300; 29; 32.325; 1.60293
310; 29; 32.295; 1.39211
320; 28; 32.37; 1.29734
330; 29; 31.98; 1.64609
340; 28; 32.005; 1.63248
350; 27; 32.335; 1.53061
360; 27; 32.1; 1.49666
370; 29; 32.07; 1.51826
380; 29; 32.305; 1.44982
390; 29; 32.31; 1.42965
400; 26; 32.035; 1.94005
410; 29; 32.245; 1.59216
420; 28; 32.285; 1.57282
430; 28; 32.135; 1.57695
440; 27; 32.12; 1.72209
450; 28; 32.085; 1.82422
460; 27; 31.55; 2.3659
470; 27; 31.945; 1.92145
480; 28; 32.13; 1.8366
490; 27; 32.045; 1.91389
500; 28; 32.265; 1.71895
510; 26; 31.625; 2.30529
520; 27; 31.93; 1.95579
530; 26; 31.845; 2.10736
540; 25; 31.755; 2.13658
550; 27; 31.54; 2.15137
560; 28; 31.805; 1.72539
570; 27; 31.675; 2.01479
580; 28; 31.97; 1.67006
590; 27; 31.695; 1.84444
600; 28; 31.8; 1.65831
610; 26; 31.605; 2.01469
620; 27; 31.975; 1.6076
630; 27; 31.24; 2.29617
640; 26; 31.35; 2.31463
650; 27; 31.81; 1.91152
660; 28; 31.53; 1.97208
670; 28; 31.845; 1.95729
680; 27; 31.43; 2.11544
690; 27; 31.55; 2.08507
700; 27; 31.57; 1.92226
710; 27; 31.67; 1.92382
720; 27; 31.805; 1.82126
730; 27; 31.62; 1.96357
740; 28; 31.81; 1.64131
750; 27; 31.465; 1.88382
760; 28; 31.89; 1.57413
770; 28; 31.57; 1.70737
780; 28; 31.635; 1.80327
790; 28; 31.51; 1.88146
800; 28; 31.71; 1.63887
810; 27; 31.485; 1.82202
820; 26; 31.93; 1.50502
830; 28; 31.7; 1.56525
840; 28; 31.69; 1.62293
850; 28; 31.45; 1.72844
860; 28; 31.695; 1.53362
870; 28; 31.43; 1.63557
880; 28; 31.55; 1.58981
890; 28; 31.59; 1.60371
900; 28; 31.65; 1.53867
910; 27; 31.565; 1.63272
920; 28; 31.455; 1.70528
930; 29; 31.63; 1.54049
940; 28; 31.385; 1.79075
950; 28; 31.67; 1.48361
960; 28; 31.57; 1.61403
970; 29; 31.69; 1.43663
980; 29; 31.605; 1.38166
990; 29; 31.665; 1.38664
1000; 29; 31.59; 1.40068
1010; 28; 31.615; 1.48215
1020; 28; 31.41; 1.73548
1030; 27; 31.65; 1.64545
1040; 27; 31.285; 1.94005
1050; 26; 31.205; 1.99824
1060; 27; 31.295; 1.79108
1070; 27; 31.255; 2.02237
1080; 28; 31.505; 1.64316
1090; 29; 31.865; 1.40953
1100; 27; 31.475; 1.81642
1110; 28; 31.62; 1.76794
1120; 28; 31.525; 1.86799
1130; 28; 31.675; 1.67612
1140; 28; 31.725; 1.49645
1150; 28; 31.555; 1.75698
1160; 28; 31.395; 1.78857
1170; 26; 31.305; 2.07412
1180; 27; 31.52; 1.78595
1190; 29; 31.67; 1.52023
1200; 28; 31.55; 1.59609
1210; 28; 31.475; 1.52295
1220; 28; 31.59; 1.43593
1230; 28; 31.345; 1.50532
1240; 29; 31.625; 1.36175
1250; 29; 31.49; 1.45599
1260; 27; 31.58; 1.6594
1270; 28; 31.42; 1.78426
1280; 27; 31.34; 1.85051
1290; 27; 31.425; 1.77606
1300; 28; 31.51; 1.6852
1310; 27; 31.205; 1.78969
1320; 28; 31.53; 1.56496
1330; 27; 31.375; 1.872
1340; 27; 31.43; 1.73352
1350; 27; 31.35; 1.72554
1360; 27; 31.25; 1.94615
1370; 29; 31.635; 1.39348
1380; 29; 31.465; 1.55202
1390; 28; 31.28; 1.75545
1400; 27; 31.27; 1.84854
1410; 28; 31.43; 1.63863
1420; 29; 31.555; 1.49899
1430; 29; 31.49; 1.6852
1440; 28; 31.55; 1.49583
1450; 29; 31.335; 1.62258
1460; 28; 31.735; 1.49826
1470; 28; 31.36; 1.79176
1480; 27; 31.23; 1.95118
1490; 28; 31.495; 1.772
1500; 28; 31.47; 1.64289
1510; 28; 31.345; 1.728
1520; 27; 31.34; 1.78449
1530; 25; 31.38; 1.79878
gen; best; avg; dev
0; 31; 33.955; 1.00149
0; 31; 33.645; 1.09498
10; 30; 32.91; 1.56585
20; 30; 33.205; 1.27003
30; 30; 32.935; 1.39312
40; 30; 32.905; 1.54142
50; 30; 32.92; 1.38694
60; 30; 32.86; 1.47323
70; 30; 32.885; 1.41484
80; 30; 32.955; 1.29344
90; 29; 32.805; 1.38816
100; 29; 32.605; 1.69675
110; 30; 32.97; 1.26456
120; 29; 32.93; 1.25503
130; 30; 32.705; 1.38852
140; 30; 32.605; 1.49966
150; 31; 32.82; 1.19063
160; 31; 32.635; 1.33483
170; 30; 32.56; 1.4375
180; 30; 32.7; 1.31149
190; 30; 32.44; 1.41294
200; 29; 32.665; 1.27388
210; 30; 32.605; 1.30345
220; 30; 32.65; 1.29904
230; 29; 32.67; 1.32706
240; 29; 32.33; 1.54632
250; 28; 32.115; 1.77814
260; 28; 31.87; 2.00577
270; 28; 32.255; 1.61244
280; 28; 32.235; 1.59993
290; 28; 32.06; 1.7339
300; 28; 32.245; 1.62018
310; 29; 32.34; 1.37637
320; 28; 31.875; 2.07108
330; 28; 32.495; 1.4142
340; 29; 32.015; 1.78739
350; 29; 32.28; 1.42183
360; 29; 32.38; 1.33626
370; 30; 32.42; 1.28203
380; 31; 32.425; 1.26664
390; 30; 32.58; 1.40485
400; 27; 32.005; 1.78465
410; 29; 32.395; 1.43839
420; 29; 32.11; 1.42755
430; 29; 32.175; 1.63535
440; 29; 32.325; 1.38542
450; 29; 32.315; 1.3805
460; 29; 32.07; 1.55727
470; 29; 31.995; 1.55723
480; 29; 32.12; 1.40556
490; 29; 31.99; 1.46284
500; 29; 31.925; 1.48976
510; 28; 31.755; 1.68374
520; 27; 31.66; 1.8451
530; 29; 32.015; 1.57949
540; 28; 31.92; 1.64122
550; 28; 31.9; 1.82483
560; 29; 31.97; 1.59346
570; 27; 31.895; 1.7158
580; 28; 31.82; 1.67857
590; 28; 31.8; 1.72337
600; 27; 31.7; 1.93132
610; 27; 32.105; 1.56652
620; 28; 32.14; 1.59072
630; 28; 32.015; 1.52144
640; 28; 31.805; 1.69911
650; 27; 31.58; 1.89568
660; 27; 31.77; 1.7627
670; 28; 31.77; 1.63006
680; 29; 31.895; 1.53752
690; 28; 31.82; 1.66661
700; 29; 32.055; 1.42547
710; 28; 31.71; 1.57032
720; 27; 31.8; 1.67929
730; 27; 31.385; 1.86193
740; 27; 31.325; 1.87333
