gen; best; worst; avg; dev; tour; cp; mp; ffe; time
9104; 9; 24; 9.805; 1.80748; 2; 0.7; 0.2; 1000005; 702.637s
9866; 9; 24; 10.945; 3.54288; 2; 0.7; 0.2; 1000066; 716.78s
8915; 9; 22; 10.045; 2.50858; 2; 0.7; 0.2; 1000075; 662.637s
9276; 9; 24; 10.815; 3.35273; 2; 0.7; 0.2; 1000074; 673.305s
9600; 9; 23; 11.465; 3.98105; 2; 0.7; 0.2; 1000096; 690.008s
9581; 9; 23; 10.665; 3.10206; 2; 0.7; 0.2; 1000032; 715.981s
9071; 8; 23; 8.905; 2.16702; 2; 0.7; 0.2; 1000055; 691.632s
9631; 8; 22; 10.725; 3.67279; 2; 0.7; 0.2; 1000038; 724.989s
9260; 9; 22; 10.505; 2.91547; 2; 0.7; 0.2; 1000091; 695.776s
9662; 8; 24; 10.05; 3.65753; 2; 0.7; 0.2; 1000059; 728.777s
8867; 9; 19; 9.9; 1.80831; 2; 0.7; 0.2; 1000039; 679.585s
9271; 9; 20; 9.815; 1.8223; 2; 0.7; 0.2; 1000042; 695.741s
9684; 9; 24; 10.53; 3.43061; 2; 0.7; 0.2; 1000040; 721.33s
9420; 9; 24; 10.535; 3.25865; 2; 0.7; 0.2; 1000044; 709.227s
9948; 9; 23; 10.81; 3.4211; 2; 0.7; 0.2; 1000108; 747.707s
9003; 9; 23; 10.235; 3.18901; 2; 0.7; 0.2; 1000025; 685.399s
9395; 9; 23; 10.645; 3.4726; 2; 0.7; 0.2; 1000050; 705.331s
4241; 7; 24; 9.11; 3.13495; 2; 0.7; 0.2; 469165; 322.449s
9307; 9; 23; 10.43; 3.21016; 2; 0.7; 0.2; 1000046; 697.41s
9101; 8; 23; 10.825; 3.55308; 2; 0.7; 0.2; 1000037; 686.078s
