gen; best; avg; dev
1930; 51; 51.165; 0.371181
1940; 51; 51.235; 0.446962
1950; 51; 51.17; 0.375633
1960; 51; 51.245; 0.430087
1970; 51; 51.145; 0.352101
1980; 51; 51.245; 0.452742
1990; 51; 51.18; 0.384187
2000; 51; 51.155; 0.361905
2010; 51; 51.13; 0.350856
2020; 51; 51.205; 0.427756
2030; 51; 51.185; 0.400968
2040; 51; 51.175; 0.379967
2050; 51; 51.215; 0.434482
2060; 51; 51.19; 0.392301
2070; 51; 51.205; 0.427756
2080; 51; 51.275; 0.457575
2090; 51; 51.31; 0.503885
2100; 51; 51.195; 0.396201
2110; 51; 51.19; 0.428836
2120; 51; 51.23; 0.443959
2130; 51; 51.31; 0.513712
2140; 51; 51.155; 0.361905
2150; 51; 51.185; 0.400968
2160; 51; 51.22; 0.426146
2170; 51; 51.195; 0.396201
2180; 51; 51.22; 0.426146
2190; 51; 51.19; 0.404846
2200; 51; 51.125; 0.330719
2210; 50; 50.645; 0.607433
2220; 50; 50.205; 0.415903
2230; 50; 50.145; 0.352101
2240; 50; 50.235; 0.468802
2250; 50; 50.155; 0.361905
2260; 50; 50.18; 0.384187
2270; 50; 50.245; 0.463654
2280; 50; 50.175; 0.405432
2290; 50; 50.19; 0.404846
2300; 50; 50.15; 0.357071
2310; 50; 50.25; 0.47697
2320; 50; 50.18; 0.384187
2330; 50; 50.18; 0.396989
2340; 50; 50.145; 0.352101
2350; 50; 50.22; 0.414246
2360; 50; 50.165; 0.371181
2370; 49; 49.47; 0.564889
2380; 49; 49.13; 0.336303
2390; 49; 49.17; 0.375633
2400; 49; 49.205; 0.403702
2410; 49; 49.14; 0.361109
2420; 49; 49.21; 0.407308
2430; 48; 49.17; 0.425558
2440; 48; 48.45; 0.563471
2450; 48; 48.175; 0.392906
2460; 48; 48.235; 0.458012
2470; 48; 48.21; 0.419404
2480; 48; 48.275; 0.468375
2490; 48; 48.28; 0.491528
2500; 48; 48.14; 0.346987
2510; 48; 48.145; 0.366026
2520; 48; 48.185; 0.400968
2530; 48; 48.17; 0.375633
2540; 48; 48.26; 0.471593
2550; 48; 48.23; 0.46594
2560; 48; 48.22; 0.426146
2570; 48; 48.29; 0.505866
2580; 48; 48.215; 0.445842
2590; 48; 48.26; 0.471593
2600; 48; 48.24; 0.438634
2610; 48; 48.2; 0.412311
2620; 48; 48.27; 0.50705
2630; 48; 48.235; 0.423999
2640; 48; 48.205; 0.427756
2650; 48; 48.16; 0.366606
2660; 48; 48.18; 0.40939
2670; 48; 48.17; 0.375633
2680; 48; 48.23; 0.443959
2690; 48; 48.15; 0.37081
2700; 48; 48.175; 0.379967
2710; 48; 48.155; 0.361905
2720; 48; 48.205; 0.415903
2730; 48; 48.2; 0.424264
2740; 48; 48.175; 0.379967
2750; 48; 48.255; 0.469015
2760; 48; 48.215; 0.422818
2770; 48; 48.14; 0.361109
2780; 48; 48.17; 0.375633
2790; 48; 48.175; 0.417582
2800; 48; 48.185; 0.388298
2810; 48; 48.24; 0.427083
2820; 48; 48.21; 0.419404
2830; 47; 47.905; 0.596636
2840; 47; 47.185; 0.400968
2850; 47; 47.19; 0.392301
2860; 47; 47.13; 0.336303
2870; 47; 47.21; 0.419404
2880; 47; 47.19; 0.404846
2890; 47; 47.255; 0.45823
2900; 47; 47.335; 0.512616
2910; 47; 47.165; 0.371181
2920; 47; 47.19; 0.428836
2930; 47; 47.18; 0.384187
2940; 47; 47.155; 0.361905
2950; 47; 47.26; 0.471593
2960; 47; 47.155; 0.401217
2970; 47; 47.19; 0.428836
2980; 47; 47.185; 0.388298
2990; 47; 47.18; 0.40939
3000; 47; 47.16; 0.392938
3010; 47; 47.135; 0.341724
3020; 47; 47.19; 0.392301
3030; 47; 47.155; 0.361905
3040; 47; 47.17; 0.413642
3050; 47; 47.235; 0.423999
3060; 47; 47.19; 0.392301
3070; 47; 47.19; 0.404846
3080; 47; 47.21; 0.431161
3090; 47; 47.165; 0.371181
3100; 47; 47.15; 0.37081
3110; 47; 47.215; 0.456919
3120; 47; 47.175; 0.379967
3130; 47; 47.145; 0.352101
3140; 47; 47.215; 0.445842
