gen; best; worst; avg; dev; tour; cp; mp; ffe; time
1531; 26; 35; 31.025; 2.05776; 2; 0.7; 0.2; 1000268; 247.518s
1534; 27; 35; 31.245; 1.98115; 2; 0.7; 0.2; 1000510; 247.356s
1529; 28; 35; 31.64; 1.59072; 2; 0.7; 0.2; 1000043; 244.575s
1537; 28; 35; 31.945; 1.67092; 2; 0.7; 0.2; 1000117; 245.737s
1530; 25; 35; 31.38; 1.79878; 2; 0.7; 0.2; 1000572; 242.973s
1538; 29; 35; 31.85; 1.33323; 2; 0.7; 0.2; 1000054; 249.589s
1533; 28; 35; 31.54; 1.58695; 2; 0.7; 0.2; 1000361; 249.157s
1535; 28; 35; 31.455; 1.6211; 2; 0.7; 0.2; 1000767; 248.823s
1537; 27; 35; 31.3; 1.89209; 2; 0.7; 0.2; 1000013; 248.096s
1533; 27; 35; 31.92; 1.62592; 2; 0.7; 0.2; 1000515; 249.634s
1537; 27; 35; 31.61; 1.68757; 2; 0.7; 0.2; 1000416; 247.953s
1537; 27; 35; 31.21; 2.00646; 2; 0.7; 0.2; 1000475; 248.152s
1536; 26; 35; 31.225; 2.02593; 2; 0.7; 0.2; 1000346; 247.658s
1535; 28; 35; 31.635; 1.54654; 2; 0.7; 0.2; 1000453; 248.227s
1524; 27; 35; 31.32; 1.80211; 2; 0.7; 0.2; 1000395; 250.855s
1533; 28; 35; 31.295; 1.71697; 2; 0.7; 0.2; 1000070; 248.605s
1537; 27; 35; 31.45; 1.79374; 2; 0.7; 0.2; 1000494; 248.654s
1534; 27; 35; 31.565; 1.62658; 2; 0.7; 0.2; 1000183; 247.906s
1535; 27; 35; 31.38; 1.91196; 2; 0.7; 0.2; 1000104; 248.892s
1539; 26; 35; 31.21; 1.98139; 2; 0.7; 0.2; 1000249; 249.909s
