gen; best; worst; avg; dev; tour; cp; mp; ffe; time
12; 5; 8; 6.22; 0.470744; 2; 0.7; 0.2; 2377; 0.0862976s
7; 5; 8; 6.91; 0.48156; 2; 0.7; 0.2; 1463; 0.050358s
14; 5; 8; 6.595; 0.583931; 2; 0.7; 0.2; 2891; 0.0996484s
15; 5; 8; 6.21; 0.475289; 2; 0.7; 0.2; 2950; 0.104858s
14; 5; 8; 6.455; 0.545871; 2; 0.7; 0.2; 2738; 0.0965591s
13; 5; 8; 6.305; 0.558547; 2; 0.7; 0.2; 2546; 0.0903386s
14; 5; 8; 6.22; 0.46; 2; 0.7; 0.2; 2735; 0.0983554s
11; 5; 8; 6.795; 0.57704; 2; 0.7; 0.2; 2127; 0.0766908s
12; 5; 8; 6.415; 0.531766; 2; 0.7; 0.2; 2361; 0.0843265s
15; 5; 8; 6.36; 0.557136; 2; 0.7; 0.2; 3015; 0.103766s
17; 5; 8; 6.285; 0.483503; 2; 0.7; 0.2; 3256; 0.118568s
15; 5; 8; 6.405; 0.575304; 2; 0.7; 0.2; 2891; 0.108s
14; 5; 7; 6.105; 0.337602; 2; 0.7; 0.2; 2679; 0.0977537s
12; 5; 7; 6.21; 0.419404; 2; 0.7; 0.2; 2235; 0.0837759s
6; 5; 8; 7.11; 0.554887; 2; 0.7; 0.2; 1301; 0.0446361s
11; 5; 8; 6.655; 0.562117; 2; 0.7; 0.2; 2042; 0.0727531s
12; 5; 8; 6.635; 0.584615; 2; 0.7; 0.2; 2234; 0.0783172s
13; 5; 8; 6.185; 0.448079; 2; 0.7; 0.2; 2516; 0.0870314s
8; 5; 8; 6.545; 0.563893; 2; 0.7; 0.2; 1671; 0.0592219s
9; 5; 8; 6.58; 0.602993; 2; 0.7; 0.2; 1921; 0.0654947s
