10469; 8; 18; 11.27; 3.02132; 172.396s
10223; 8; 18; 12.21; 3.02279; 166.142s
9931; 8; 17; 11.65; 3.23608; 159.908s
10152; 8; 17; 11.82; 3.21417; 164.04s
10256; 8; 18; 12.39; 2.83162; 165.259s
10190; 8; 17; 12.26; 2.68787; 167.529s
10259; 8; 19; 11.57; 2.97211; 160.177s
10316; 8; 19; 12.3; 3.11562; 144.996s
10072; 8; 18; 12.67; 3.44965; 162.419s
10342; 8; 17; 12.4; 2.35702; 152.725s
