gen; best; worst; avg; dev
50; 7; 8.885; 1.12773
60; 6; 7.86; 1.46642
67; 5; 7.675; 1.78027
gen; best; avg; dev
0; 12; 14.815; 0.843075
0; 12; 14.385; 0.752845
10; 10; 11.595; 0.721786
20; 9; 10.13; 0.730137
30; 7; 9.255; 0.94867
38; 5; 8.405; 1.32702
gen; best; avg; dev
0; 12; 14.96; 0.899111
0; 12; 14.195; 0.858472
10; 9; 10.955; 0.694964
20; 8; 9.765; 0.905414
30; 7; 8.99; 0.989899
40; 7; 8.345; 1.17727
50; 7; 8.36; 1.46301
60; 7; 8.48; 1.57467
70; 7; 8.34; 1.83423
80; 7; 8.425; 2.03086
90; 7; 8.335; 2.06223
100; 6; 7.87; 1.84475
110; 6; 8.015; 2.07961
120; 6; 8.25; 2.32755
130; 6; 7.995; 2.27925
140; 6; 7.995; 2.25055
150; 5; 8.005; 2.36537
gen; best; avg; dev
0; 13; 14.88; 0.874986
0; 12; 14.445; 0.858472
10; 9; 10.98; 0.805978
20; 8; 9.845; 0.866588
30; 7; 8.965; 0.923999
40; 6; 8.38; 1.0028
50; 6; 7.72; 1.41478
52; 5; 7.47; 1.42446
gen; best; avg; dev
0; 13; 14.985; 0.758139
0; 13; 14.4; 0.7
10; 9; 11.205; 0.72317
20; 8; 9.575; 0.93508
30; 6; 8.65; 1.06184
40; 7; 8.325; 1.12667
50; 5; 7.385; 1.49224
51; 5; 7.385; 1.49224
gen; best; avg; dev
0; 12; 14.925; 0.830286
0; 12; 14.445; 0.785478
10; 10; 11.035; 0.627515
20; 6; 9.025; 0.757875
30; 6; 7.29; 1.08439
34; 5; 7.31; 1.35422
gen; best; avg; dev
0; 12; 14.985; 0.821447
0; 12; 14.505; 0.871765
10; 10; 11.45; 0.68374
20; 9; 10.165; 0.847216
30; 8; 9.115; 0.878507
40; 7; 8.64; 0.900222
50; 7; 8.705; 1.08535
60; 7; 8.5; 1.28452
70; 6; 8.09; 1.59747
80; 6; 7.93; 1.80972
90; 6; 7.945; 2.1522
100; 6; 7.745; 2.30434
110; 6; 7.88; 2.42809
120; 6; 7.955; 2.45825
130; 6; 7.76; 2.26548
140; 6; 8.345; 2.34435
150; 6; 7.545; 2.32335
160; 6; 7.77; 2.2488
170; 6; 8; 2.27376
180; 6; 7.97; 2.43703
185; 5; 7.415; 2.35431
gen; best; avg; dev
0; 13; 14.91; 0.884251
0; 12; 14.35; 0.810864
10; 9; 10.885; 0.86705
20; 8; 9.33; 0.975244
30; 6; 8.675; 1.22857
40; 6; 8.18; 1.42042
50; 6; 7.82; 1.95387
54; 5; 7.485; 1.93643
gen; best; avg; dev
0; 13; 14.95; 0.847054
0; 13; 14.515; 0.848396
10; 9; 11.02; 0.793473
20; 8; 9.82; 0.93145
30; 8; 9.37; 1.0877
40; 7; 8.835; 1.29529
50; 6; 8.41; 1.5139
60; 7; 8.185; 1.71778
70; 6; 7.86; 2.0026
78; 5; 7.605; 2.20431
gen; best; avg; dev
0; 13; 14.91; 0.849647
0; 13; 14.485; 0.780881
10; 10; 11.645; 0.847924
20; 9; 10.37; 0.71631
30; 8; 9.615; 0.732649
40; 7; 8.925; 1.03411
50; 7; 8.485; 1.16609
60; 7; 8.25; 1.57083
70; 7; 8.13; 1.77288
80; 6; 8.465; 1.92062
90; 6; 7.945; 1.84444
100; 6; 7.795; 2.24788
102; 5; 7.655; 2.06784
gen; best; avg; dev
0; 13; 14.885; 0.895419
0; 11; 14.44; 0.858138
10; 10; 11.475; 0.787004
20; 8; 9.9; 0.787401
30; 8; 9.55; 1.01858
40; 7; 8.6; 1.14018
50; 6; 8.15; 1.41686
58; 5; 7.875; 1.72609
gen; best; avg; dev
0; 13; 14.995; 0.777801
0; 13; 14.595; 0.721786
10; 10; 11.62; 0.84
20; 9; 9.98; 0.706824
30; 8; 9.295; 0.804969
40; 7; 8.54; 1.03363
50; 6; 8.17; 1.29657
60; 6; 7.97; 1.70854
68; 5; 7.475; 1.8026
gen; best; avg; dev
0; 13; 14.935; 0.848985
0; 13; 14.37; 0.776595
10; 10; 11.615; 0.804223
20; 9; 10.475; 0.727582
30; 8; 9.56; 0.739189
40; 7; 8.985; 0.902649
50; 7; 8.44; 1.16465
60; 7; 7.8; 1.37113
70; 5; 7.75; 1.69337
71; 5; 7.75; 1.69337
gen; best; avg; dev
0; 12; 14.855; 0.856723
0; 12; 14.54; 0.792717
10; 10; 11.435; 0.660133
20; 9; 10.47; 0.670149
30; 8; 9.34; 0.885664
40; 7; 8.75; 1.00374
50; 7; 8.12; 1.12942
58; 5; 7.805; 1.4202
gen; best; avg; dev
0; 13; 14.95; 0.847054
0; 13; 14.5; 0.806226
10; 10; 11.3; 0.678233
20; 8; 10.13; 1.01148
30; 7; 8.965; 1.10171
40; 6; 8.31; 1.38705
50; 7; 7.955; 1.5662
60; 6; 8.115; 1.70932
70; 6; 8.13; 1.92953
80; 6; 8.055; 2.17071
90; 6; 8.385; 2.11584
100; 6; 8.335; 2.25228
110; 6; 8.16; 2.21233
113; 5; 8.21; 2.29911
gen; best; avg; dev
0; 12; 14.86; 0.824864
0; 12; 14.33; 0.749066
10; 10; 11.365; 0.584615
20; 9; 10.27; 0.580603
30; 9; 9.64; 0.678528
40; 8; 9.365; 0.649442
50; 7; 8.675; 0.741198
60; 6; 7.74; 1.06414
64; 5; 7.48; 1.11337
