gen; best; worst; avg; dev; tour; cp; mp; ffe; time
9462; 10; 25; 11.775; 3.78211; 2; 0.7; 0.2; 1000047; 1123s
8911; 10; 25; 11.12; 2.8593; 2; 0.7; 0.2; 1000080; 1073.39s
9092; 10; 27; 12.125; 3.6013; 2; 0.7; 0.2; 1000016; 1086.98s
9006; 10; 27; 11.895; 4.09805; 2; 0.7; 0.2; 1000098; 1094.35s
9300; 10; 25; 12.1; 3.1289; 2; 0.7; 0.2; 1000088; 1110.64s
9343; 10; 26; 12.4; 3.57211; 2; 0.7; 0.2; 1000088; 1129.46s
8796; 10; 23; 10.39; 1.11709; 2; 0.7; 0.2; 1000023; 1067.94s
9172; 10; 25; 10.925; 2.35783; 2; 0.7; 0.2; 1000114; 1099s
9019; 10; 25; 10.9; 2.54165; 2; 0.7; 0.2; 1000090; 1093.78s
8921; 10; 24; 10.97; 2.15386; 2; 0.7; 0.2; 1000012; 1088.87s
8625; 10; 26; 11.77; 3.63278; 2; 0.7; 0.2; 1000078; 1062.94s
8820; 10; 25; 10.98; 2.74583; 2; 0.7; 0.2; 1000102; 1075.1s
8976; 10; 25; 12.545; 3.71187; 2; 0.7; 0.2; 1000015; 1087.35s
9071; 10; 27; 11.68; 3.87912; 2; 0.7; 0.2; 1000022; 1098.68s
9174; 10; 26; 12.635; 4.02017; 2; 0.7; 0.2; 1000003; 1111.39s
8788; 10; 26; 11.285; 3.09577; 2; 0.7; 0.2; 1000106; 1066.51s
8794; 10; 27; 12.085; 3.77859; 2; 0.7; 0.2; 1000040; 1068.43s
8962; 10; 12; 10.22; 0.426146; 2; 0.7; 0.2; 1000107; 1092.51s
8656; 10; 25; 10.805; 2.29499; 2; 0.7; 0.2; 1000100; 1058.18s
8876; 10; 25; 10.57; 1.70444; 2; 0.7; 0.2; 1000078; 1081.74s
