temp; best; diff
43.1597; -130923; -16325.9
41.0547; -130826; -3185.94
39.0523; -129802; -30159.2
37.1477; -129802; -24185.3
35.3358; -129389; -19295.9
33.6124; -128168; -3006.75
31.973; -126614; -22146.3
30.4136; -126026; -22643.1
28.9303; -126026; -15076.9
27.5192; -126026; -12093.1
26.177; -126024; -22283.6
24.9003; -126024; -12636.1
23.6859; -124135; -12970.7
22.5306; -124005; -14362.4
21.4317; -123908; -16275
20.3865; -123892; -4192.31
19.3921; -123892; -11133
18.4463; -123890; -3832.45
17.5466; -123890; -55210.1
16.6908; -123039; -19164.8
15.8768; -122691; -18959.7
15.1024; -122691; -18368.3
14.3658; -122224; -18598
13.6652; -122224; -5837.16
12.9987; -122226; -11942.3
12.3647; -122226; -18669.4
11.7616; -122226; -11033.6
11.188; -122226; -21637.9
10.6423; -121039; -11911.5
10.1233; -121044; -5372.86
9.62952; -121044; -19250.7
9.15986; -121042; -58166.2
8.7131; -120839; -16805.7
8.28814; -120841; -10133
7.8839; -120841; -24063.3
7.49938; -120841; -19178.2
7.13361; -120507; -19291.6
6.78569; -120507; -11922.6
6.45473; -120507; -23872.3
6.13991; -120507; -15419.9
5.84045; -120507; -26528.1
5.55559; -120507; -6600.7
5.28463; -118263; -31340
5.02689; -118263; -8324.04
4.78171; -118263; -7646.42
4.54849; -118259; -26343.8
4.32665; -118259; -34555.6
4.11562; -118259; 0
3.91489; -118259; -37067.2
3.72395; -118259; -10994.9
3.54232; -118258; -11016.7
3.36955; -118258; -21979.9
3.20521; -118258; -681.842
3.04888; -118258; -6600.82
2.90018; -115710; -32445.3
2.75873; -115710; -10967.9
2.62418; -115710; -14929.4
2.49619; -115710; -5916.87
2.37444; -115710; -21679.3
2.25863; -115710; -6989.64
2.14847; -115710; -8237.94
2.04369; -115710; -15836.4
1.94401; -115710; -9211.83
1.8492; -115664; -26344.3
1.759; -115664; -5386.22
1.67321; -115663; -25394.8
1.59161; -115663; -47384.4
1.51398; -115663; -5799.84
1.44014; -115663; -39957.5
1.3699; -115663; -42620.2
1.30308; -115663; -32555.6
1.23953; -115663; -29243.2
1.17907; -115663; -22943.1
1.12157; -115663; -12091.4
1.06686; -115663; -6321.9
1.01483; -115663; -10154.1
0.965333; -115663; -10346.6
0.918251; -115663; -7175.53
0.873465; -115663; -32641.4
0.830864; -115663; -3857.71
0.79034; -115663; -4128.1
0.751793; -115663; -22040.8
0.715126; -115663; -1460.62
0.680247; -115663; -23502.4
0.647069; -115663; -19143.8
0.61551; -115615; -13430.5
0.58549; -115615; -3944.66
0.556933; -115615; -39045.3
0.52977; -115615; -27959.6
0.503932; -115615; -14941.7
0.479353; -115615; 0
0.455974; -115615; -5484.77
0.433735; -115615; -19747.6
0.41258; -115615; -5591.96
0.392458; -115615; -20530.5
0.373316; -115615; -2673.68
0.355108; -115615; -24474.2
0.337789; -115615; -18897.5
0.321314; -115615; -23279.3
0.305642; -115615; -10576
0.290735; -115615; -21820.4
0.276555; -115615; -21624.2
0.263067; -115615; -15363
0.250236; -115615; -24447.7
0.238032; -115615; -18016.4
0.226422; -115615; -6227.78
0.215379; -115615; -23812
0.204874; -115615; -4835.31
0.194882; -115615; -8341.02
0.185377; -115615; -29180.7
0.176335; -115615; -308.417
0.167735; -115615; -820.196
0.159554; -115615; -25854.6
0.151772; -115615; -18596.3
0.14437; -115615; -27365.1
0.137328; -115615; -29745.3
0.130631; -115615; -28914.4
0.124259; -115615; -17570.5
0.118199; -115615; -3929.59
0.112434; -115615; -22453
0.10695; -115615; -15109.8
0.101734; -115615; -4586.44
0.0967721; -115615; -16725.7
0.0920522; -115615; -4501
0.0875625; -115615; -18913.8
0.0832919; -115615; -21184.2
0.0792295; -115615; -16583.1
0.0753652; -115615; -21652.7
0.0716894; -115615; -1271.29
0.0681929; -115615; -21528.2
0.064867; -115615; -17721.1
0.0617032; -115615; -27061.2
0.0586938; -115615; -37713.6
0.0558311; -115615; 0
0.053108; -115615; -19589.4
0.0505178; -115615; 0
0.0480539; -115615; -24399.2
0.0457102; -115615; -12974
0.0434807; -115615; -38151.8
0.0413601; -115615; -21438.5
0.0393428; -115615; 0
0.0374239; -115615; -6203.05
0.0355987; -115615; -10059.9
0.0338624; -115615; -16332.1
0.0322108; -115615; 0
0.0306398; -115615; -20479.2
