it; best; temp
0; 35; 50000
10; 35; 47555.5
20; 34; 45230.5
30; 34; 43019.2
40; 33; 40916
50; 33; 38915.6
60; 31; 37013
70; 31; 35203.5
80; 33; 33482.4
90; 34; 31845.4
100; 33; 30288.5
110; 32; 28807.7
120; 32; 27399.3
130; 32; 26059.8
140; 32; 24785.7
150; 32; 23573.9
160; 32; 22421.4
170; 31; 21325.2
180; 31; 20282.6
190; 31; 19291
200; 31; 18347.9
210; 32; 17450.9
220; 32; 16597.7
230; 32; 15786.2
240; 33; 15014.4
250; 33; 14280.4
260; 33; 13582.2
270; 35; 12918.2
280; 34; 12286.6
290; 34; 11685.9
300; 33; 11114.6
310; 33; 10571.2
320; 32; 10054.4
330; 33; 9562.83
340; 33; 9095.31
350; 33; 8650.64
360; 31; 8227.71
370; 31; 7825.46
380; 30; 7442.87
390; 30; 7078.99
400; 31; 6732.9
410; 32; 6403.73
420; 32; 6090.65
430; 33; 5792.88
440; 33; 5509.67
450; 32; 5240.3
460; 31; 4984.1
470; 32; 4740.43
480; 33; 4508.67
490; 33; 4288.24
500; 33; 4078.59
510; 32; 3879.19
520; 32; 3689.54
530; 31; 3509.16
540; 30; 3337.59
550; 30; 3174.42
560; 30; 3019.22
570; 30; 2871.61
580; 30; 2731.22
590; 30; 2597.69
600; 31; 2470.69
610; 34; 2349.9
620; 34; 2235.01
630; 34; 2125.74
640; 33; 2021.82
650; 33; 1922.97
660; 33; 1828.96
670; 32; 1739.54
680; 31; 1654.49
690; 33; 1573.6
700; 34; 1496.67
710; 33; 1423.5
720; 32; 1353.9
730; 32; 1287.71
740; 31; 1224.76
750; 31; 1164.88
760; 32; 1107.93
770; 31; 1053.76
780; 31; 1002.24
790; 32; 953.243
800; 33; 906.639
810; 33; 862.314
820; 34; 820.156
830; 32; 780.058
840; 32; 741.921
850; 33; 705.649
860; 33; 671.15
870; 33; 638.337
880; 33; 607.129
890; 33; 577.447
900; 33; 549.215
910; 33; 522.364
920; 33; 496.826
930; 32; 472.536
940; 32; 449.434
950; 33; 427.461
960; 32; 406.563
970; 32; 386.686
980; 31; 367.781
990; 32; 349.8
1000; 30; 332.698
1010; 31; 316.433
1020; 32; 300.962
1030; 35; 286.248
1040; 35; 272.254
1050; 34; 258.943
1060; 34; 246.284
1070; 34; 234.243
1080; 34; 222.791
1090; 33; 211.899
1100; 33; 201.539
1110; 34; 191.686
1120; 34; 182.314
1130; 33; 173.401
1140; 33; 164.923
1150; 33; 156.86
1160; 33; 149.191
1170; 32; 141.897
1180; 33; 134.96
1190; 34; 128.362
1200; 33; 122.086
1210; 33; 116.118
1220; 34; 110.441
1230; 33; 105.041
1240; 32; 99.9057
1250; 30; 95.0213
1260; 30; 90.3757
1270; 32; 85.9573
1280; 31; 81.7548
1290; 31; 77.7578
1300; 31; 73.9563
1310; 33; 70.3406
1320; 33; 66.9016
1330; 32; 63.6308
1340; 31; 60.5199
1350; 31; 57.5611
1360; 30; 54.7469
1370; 29; 52.0704
1380; 30; 49.5247
1390; 31; 47.1034
1400; 31; 44.8005
1410; 31; 42.6102
1420; 31; 40.527
1430; 31; 38.5457
1440; 33; 36.6612
1450; 32; 34.8688
1460; 33; 33.1641
1470; 33; 31.5427
1480; 33; 30.0006
1490; 33; 28.5338
1500; 33; 27.1388
1510; 33; 25.812
1520; 33; 24.5501
1530; 33; 23.3498
1540; 32; 22.2083
1550; 33; 21.1225
1560; 33; 20.0898
1570; 34; 19.1076
1580; 33; 18.1735
1590; 32; 17.285
1600; 31; 16.4399
1610; 31; 15.6362
1620; 32; 14.8717
1630; 31; 14.1446
1640; 32; 13.4531
1650; 32; 12.7954
1660; 33; 12.1698
1670; 33; 11.5748
1680; 32; 11.0089
1690; 32; 10.4707
1700; 32; 9.95881
1710; 32; 9.47192
1720; 33; 9.00884
1730; 32; 8.5684
1740; 32; 8.14949
1750; 33; 7.75106
1760; 32; 7.37212
1770; 32; 7.01169
1780; 30; 6.66889
1790; 30; 6.34285
1800; 30; 6.03275
1810; 32; 5.73781
1820; 32; 5.45729
1830; 32; 5.19048
1840; 32; 4.93672
1850; 32; 4.69537
1860; 33; 4.46581
1870; 31; 4.24748
1880; 31; 4.03982
1890; 31; 3.84231
1900; 31; 3.65446
1910; 30; 3.4758
1920; 30; 3.30586
1930; 31; 3.14424
1940; 30; 2.99052
1950; 30; 2.84431
1960; 30; 2.70526
1970; 31; 2.573
1980; 30; 2.4472
1990; 30; 2.32756
2000; 31; 2.21376
2010; 32; 2.10553
2020; 33; 2.00259
2030; 33; 1.90469
2040; 33; 1.81157
2050; 33; 1.723
2060; 33; 1.63876
2070; 32; 1.55864
2080; 32; 1.48244
2090; 31; 1.40997
