iteration; subpops; biggest_subpop; best; avg; dev
139; 6; 64; 32; 70.0625; 3.21903
140; 6; 64; 32; 69.974; 3.22705
141; 6; 64; 32; 69.9635; 3.20835
142; 6; 64; 32; 69.9427; 3.19504
143; 6; 64; 32; 69.9219; 3.19006
144; 6; 64; 32; 69.9219; 3.19334
145; 6; 64; 32; 69.776; 3.13021
146; 6; 64; 32; 69.7656; 3.12166
147; 6; 64; 32; 69.7552; 3.12217
148; 6; 64; 32; 69.7344; 3.117
149; 6; 64; 32; 69.7135; 3.11338
150; 6; 64; 32; 68.6172; 2.60143
151; 6; 64; 32; 68.5391; 2.53076
152; 6; 64; 32; 68.5391; 2.50509
153; 6; 64; 32; 68.5078; 2.49257
154; 6; 64; 32; 68.5078; 2.49048
155; 6; 64; 32; 68.5078; 2.47668
156; 6; 64; 32; 68.4661; 2.47717
157; 6; 64; 32; 68.4557; 2.47592
158; 6; 64; 32; 68.4557; 2.47572
159; 6; 64; 32; 68.4557; 2.47568
160; 6; 64; 32; 68.4557; 2.47568
161; 6; 64; 32; 68.3932; 2.4811
162; 6; 64; 32; 68.3932; 2.48201
163; 6; 64; 32; 68.3932; 2.48216
164; 6; 64; 32; 68.3932; 2.48218
165; 6; 64; 32; 68.3932; 2.48219
166; 6; 64; 32; 68.3568; 2.48293
167; 6; 64; 32; 68.3568; 2.48306
168; 6; 64; 32; 68.3568; 2.48308
169; 6; 64; 32; 68.3568; 2.48308
170; 6; 64; 32; 68.3568; 2.48308
171; 7; 128; 32; 75.3772; 7.92998
172; 7; 128; 32; 74.8884; 8.63517
173; 7; 128; 32; 74.8304; 8.74305
174; 7; 128; 32; 74.8304; 8.75847
175; 7; 128; 32; 74.8304; 8.76067
176; 7; 128; 32; 74.8304; 8.76098
177; 7; 128; 32; 74.8304; 8.76103
178; 7; 128; 32; 74.7857; 8.80507
179; 7; 128; 32; 74.7857; 8.81136
180; 7; 128; 32; 74.7857; 8.81226
181; 7; 128; 32; 74.7857; 8.81239
182; 7; 128; 32; 74.7857; 8.8124
183; 7; 128; 32; 74.6964; 8.79857
184; 7; 128; 32; 74.6964; 8.79659
185; 7; 128; 32; 74.6964; 8.79631
186; 7; 128; 32; 74.6964; 8.79627
187; 7; 128; 32; 74.6964; 8.79627
188; 7; 128; 32; 74.5714; 8.76661
189; 7; 128; 32; 74.5714; 8.73672
190; 7; 128; 32; 74.5625; 8.72352
191; 7; 128; 32; 74.5625; 8.72164
192; 7; 128; 32; 74.5625; 8.72137
193; 7; 128; 32; 74.1473; 8.58376
194; 7; 128; 32; 74.0804; 8.56894
195; 7; 128; 32; 74.0804; 8.56682
196; 7; 128; 32; 74.0804; 8.56652
197; 7; 128; 32; 74.0804; 8.56648
198; 7; 128; 32; 74.0804; 8.56647
199; 7; 128; 32; 74.0134; 8.5533
200; 7; 128; 32; 74.0134; 8.55142
201; 7; 128; 32; 74.0134; 8.55115
202; 7; 128; 32; 74.0134; 8.55111
203; 7; 128; 32; 74.0134; 8.55111
204; 7; 128; 32; 73.9598; 8.53536
205; 7; 128; 32; 73.9598; 8.53311
206; 7; 128; 32; 73.9598; 8.53279
207; 7; 128; 32; 73.9598; 8.53274
208; 7; 128; 32; 73.9598; 8.53273
209; 7; 128; 32; 73.9196; 8.56282
210; 7; 128; 32; 73.9196; 8.56712
211; 7; 128; 32; 73.9196; 8.56773
212; 7; 128; 32; 73.9196; 8.56782
213; 7; 128; 32; 73.9196; 8.56783
214; 7; 128; 32; 73.6652; 8.57808
215; 7; 128; 32; 73.567; 8.55224
216; 7; 128; 32; 73.567; 8.54855
217; 7; 128; 32; 73.567; 8.54802
218; 7; 128; 32; 73.567; 8.54794
219; 7; 128; 32; 73.567; 8.54793
220; 7; 128; 32; 73.4866; 8.51015
221; 7; 128; 32; 73.4866; 8.50476
222; 7; 128; 32; 73.4866; 8.50476
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 118; 118.5; 0.5
1; 1; 2; 118; 118; 0.5
2; 2; 4; 112; 116.375; 1.14268
3; 2; 4; 112; 116.375; 1.46402
4; 2; 4; 98; 116.375; 6.15908
5; 2; 4; 93; 111.75; 8.49364
6; 3; 8; 93; 114; 13.3588
7; 3; 8; 92; 110.583; 12.225
8; 3; 8; 90; 103.708; 8.03273
9; 3; 8; 84; 100.667; 4.96521
10; 3; 8; 77; 99.2917; 4.70391
11; 4; 16; 77; 104.188; 12.2282
12; 4; 16; 75; 102.562; 13.1653
13; 4; 16; 70; 101.906; 13.6816
14; 4; 16; 69; 101; 13.4135
15; 4; 16; 67; 100.531; 13.771
16; 4; 16; 67; 91.7812; 8.66296
17; 4; 16; 62; 90.8125; 7.18859
18; 4; 16; 60; 90.0625; 6.40467
19; 4; 16; 59; 89.875; 6.6371
20; 4; 16; 57; 89.0938; 6.40547
21; 4; 16; 57; 85.5625; 4.90261
22; 4; 16; 57; 85.0312; 4.07193
23; 4; 16; 54; 85.0312; 4.17064
24; 4; 16; 54; 84.7188; 4.2125
25; 4; 16; 53; 84.375; 4.06672
26; 4; 16; 53; 82.2812; 2.9742
27; 4; 16; 52; 82.125; 2.69111
28; 4; 16; 52; 81.9375; 2.55429
29; 4; 16; 52; 81.8125; 2.47494
30; 4; 16; 51; 81.7812; 2.54276
31; 5; 32; 51; 89; 9.85536
32; 5; 32; 51; 88.1875; 11.1474
33; 5; 32; 49; 88.0625; 11.5231
34; 5; 32; 48; 87.8625; 11.5711
35; 5; 32; 48; 87.7625; 11.5584
36; 5; 32; 48; 87.7375; 11.5269
37; 5; 32; 48; 87.1125; 11.712
38; 5; 32; 48; 86.9875; 11.7831
39; 5; 32; 48; 86.7625; 11.6925
40; 5; 32; 47; 86.6875; 11.7466
41; 5; 32; 46; 86.5625; 11.7438
42; 5; 32; 46; 85.7125; 11.1294
43; 5; 32; 46; 85.5875; 10.9953
44; 5; 32; 45; 85.5125; 10.9797
45; 5; 32; 45; 85.4625; 10.918
46; 5; 32; 45; 85.3875; 10.8841
47; 5; 32; 45; 85.2125; 10.8427
48; 5; 32; 45; 85.2125; 10.8491
49; 5; 32; 45; 85.1875; 10.8481
50; 5; 32; 45; 85.1875; 10.8479
51; 5; 32; 45; 85.1875; 10.8478
52; 5; 32; 45; 77.3937; 5.91844
53; 5; 32; 45; 77.2438; 4.98519
54; 5; 32; 45; 77.2438; 4.80767
55; 5; 32; 45; 77.2188; 4.76994
56; 5; 32; 45; 77.2188; 4.7624
57; 5; 32; 45; 77.2188; 4.76089
58; 5; 32; 45; 77.0062; 4.71909
59; 5; 32; 45; 77.0062; 4.71073
60; 5; 32; 45; 77.0062; 4.70906
61; 5; 32; 45; 77.0062; 4.70872
62; 5; 32; 45; 77.0062; 4.70865
63; 5; 32; 45; 76.8438; 4.78547
64; 5; 32; 45; 76.8438; 4.80525
65; 5; 32; 45; 76.8187; 4.80701
66; 5; 32; 45; 76.8187; 4.80737
67; 5; 32; 43; 76.5687; 4.89442
68; 5; 32; 43; 73.7188; 3.2474
69; 5; 32; 41; 73.3563; 2.67513
70; 5; 32; 40; 73.2687; 2.5909
71; 5; 32; 40; 73.1937; 2.56205
72; 5; 32; 40; 73.1437; 2.54997
73; 5; 32; 40; 71.9562; 2.25134
74; 5; 32; 40; 71.8937; 2.16302
75; 5; 32; 40; 71.8187; 2.14535
76; 5; 32; 40; 71.8063; 2.19364
77; 5; 32; 39; 71.7062; 2.22979
78; 6; 64; 39; 79.2969; 8.42746
79; 6; 64; 39; 78.5938; 9.15599
80; 6; 64; 39; 78.4792; 9.23561
81; 6; 64; 39; 78.3854; 9.2231
82; 6; 64; 38; 78.3646; 9.24329
83; 6; 64; 38; 78.3229; 9.30567
84; 6; 64; 38; 77.9115; 9.23506
85; 6; 64; 37; 77.776; 9.16148
86; 6; 64; 37; 77.7448; 9.14389
87; 6; 64; 37; 77.724; 9.14262
88; 6; 64; 37; 77.6823; 9.13736
89; 6; 64; 37; 77.375; 9.07698
90; 6; 64; 37; 77.3542; 9.07763
91; 6; 64; 37; 77.2604; 9.0339
92; 6; 64; 37; 77.2292; 8.98954
93; 6; 64; 37; 77.2188; 9.01686
94; 6; 64; 37; 76.9427; 8.95553
95; 6; 64; 35; 76.901; 8.95656
96; 6; 64; 35; 76.8698; 8.95831
97; 6; 64; 35; 76.849; 8.95649
98; 6; 64; 35; 76.849; 8.98846
