subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
5; 32; 5; 10.5813; 0.795674; 28; 13759; 0.723408s
4; 16; 5; 11.2031; 0.988367; 26; 4783; 0.233137s
5; 32; 5; 10.425; 0.812582; 28; 11557; 0.444887s
5; 32; 5; 10.0625; 0.879196; 33; 12808; 0.500866s
5; 32; 5; 10.2125; 0.713302; 30; 14447; 0.544223s
5; 32; 5; 10.4812; 0.75996; 29; 13239; 0.507448s
5; 32; 5; 10.325; 1.15579; 27; 11840; 0.455642s
5; 32; 5; 9.54375; 0.700961; 29; 14269; 0.515708s
6; 64; 5; 9.53906; 0.53861; 57; 41433; 1.42332s
5; 32; 5; 10.075; 0.838933; 32; 14796; 0.454255s
5; 32; 5; 10.3063; 0.89162; 31; 10225; 0.331333s
5; 32; 5; 10.0188; 0.815867; 33; 14107; 0.467037s
5; 32; 5; 9.5; 0.562222; 50; 15586; 0.52264s
6; 64; 5; 9.57292; 0.851784; 37; 33739; 1.25495s
5; 32; 5; 10.175; 0.718416; 34; 14151; 0.479763s
5; 32; 5; 9.59375; 0.915667; 29; 12786; 0.40946s
5; 32; 5; 10.1; 1.08396; 37; 16233; 0.52176s
5; 32; 5; 10.45; 0.785479; 26; 11880; 0.386688s
5; 32; 5; 10.05; 0.924483; 30; 12518; 0.419503s
4; 16; 5; 10.5938; 0.947442; 24; 5099; 0.188204s
