subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
7; 128; 10; 38.9297; 3.83822; 246; 1008101; 261.895s
7; 128; 10; 41.5391; 4.0189; 244; 1000352; 256.967s
7; 128; 11; 41.1384; 3.47977; 222; 1002255; 260.42s
7; 128; 10; 38.8638; 3.61137; 238; 1006019; 258.877s
7; 128; 10; 39.8672; 3.56746; 289; 1000539; 260.78s
7; 128; 11; 38.3326; 3.71463; 240; 1009318; 265.789s
7; 128; 11; 40.7533; 3.93384; 218; 1001410; 257.613s
7; 128; 10; 39.327; 3.83263; 239; 1003988; 265.585s
7; 128; 10; 39.9576; 3.7864; 229; 1019040; 262.44s
7; 128; 10; 38.2846; 3.66561; 254; 1005452; 254.058s
7; 128; 11; 37.1462; 3.57686; 259; 1007717; 256.88s
7; 128; 11; 39.76; 4.25947; 196; 1002764; 257.703s
7; 128; 10; 39.673; 3.8885; 246; 1000439; 261.172s
7; 128; 9; 40.4967; 3.59694; 238; 1011904; 261.99s
7; 128; 10; 38.5714; 3.87217; 283; 1000666; 246.888s
7; 128; 10; 38.6674; 4.04066; 278; 1005173; 258.46s
7; 128; 11; 40.6473; 4.01184; 251; 1000567; 256.32s
7; 128; 10; 39.7109; 3.72146; 241; 1005649; 252.937s
7; 128; 10; 37.7801; 3.87673; 247; 1018152; 259.566s
7; 128; 9; 40.9754; 3.6897; 228; 1004047; 252.032s
