subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
8; 256; 7; 11.4629; 0.508202; 548; 1002672; 61.3443s
8; 256; 8; 11.0664; 0.604883; 481; 1000723; 65.3907s
8; 256; 8; 11.3662; 0.658472; 444; 1001204; 62.5976s
7; 128; 7; 11.0982; 0.539199; 244; 376406; 22.7508s
8; 256; 8; 11.4883; 0.603862; 507; 1002012; 60.157s
8; 256; 7; 11.2944; 0.589463; 491; 1000085; 60.0714s
8; 256; 7; 10.9048; 0.400087; 409; 943190; 56.7587s
8; 256; 8; 11.125; 0.460667; 449; 1000415; 59.8525s
7; 128; 7; 11.5312; 0.589207; 330; 464567; 28.1363s
8; 256; 8; 11.5981; 0.642233; 686; 1000235; 60.4616s
7; 128; 7; 11.9062; 0.668083; 171; 279072; 16.9585s
8; 256; 8; 11.207; 0.343018; 527; 1000642; 59.9589s
8; 256; 8; 11.3154; 0.49444; 498; 1001761; 60.0775s
8; 256; 8; 11.1533; 0.556852; 491; 1000287; 60.0161s
7; 128; 7; 11.5179; 0.608692; 322; 446191; 26.9846s
8; 256; 8; 10.8345; 0.566259; 471; 1001564; 59.6686s
8; 256; 8; 12.3936; 1.04349; 744; 1001850; 60.5142s
8; 256; 8; 11.2339; 0.43873; 500; 1003150; 61.0947s
7; 128; 7; 11.5569; 0.628542; 253; 396454; 24.0997s
8; 256; 7; 10.8423; 0.475431; 468; 963404; 58.632s
