subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
5; 32; 6; 10.7188; 0.618493; 58; 31802; 0.908057s
5; 32; 6; 10.9125; 0.699486; 69; 35924; 1.05457s
6; 64; 6; 10.2188; 0.590775; 79; 95970; 2.46537s
5; 32; 6; 10.6188; 0.64475; 91; 47920; 1.37861s
5; 32; 6; 10.4812; 0.531437; 73; 31576; 0.898156s
5; 32; 6; 10.8187; 0.671705; 41; 30886; 0.849702s
5; 32; 6; 11.2312; 0.791678; 38; 29593; 0.772232s
5; 32; 6; 10.8; 0.562147; 59; 34698; 0.956058s
5; 32; 6; 11.0062; 0.787514; 57; 36261; 1.03222s
5; 32; 6; 10.4875; 0.599407; 68; 42248; 1.17499s
4; 16; 6; 11.5156; 0.691059; 30; 8847; 0.282723s
5; 32; 6; 10.8313; 0.617735; 44; 27024; 0.732159s
5; 32; 6; 11.2812; 0.460535; 59; 35015; 0.970802s
5; 32; 6; 10.8438; 0.998462; 48; 34759; 0.951746s
4; 16; 6; 11.6719; 0.655806; 30; 9289; 0.293127s
6; 64; 6; 10.4948; 0.385621; 72; 92971; 2.37425s
5; 32; 6; 11.0563; 0.676757; 54; 38398; 1.04657s
5; 32; 6; 10.4625; 0.608756; 93; 41149; 1.18811s
4; 16; 6; 11.9375; 0.851644; 29; 9648; 0.289248s
5; 32; 6; 10.9688; 0.820587; 46; 36923; 0.99372s
