subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
7; 128; 7; 13.8147; 0.534869; 338; 647396; 67.9923s
8; 256; 8; 15.0703; 1.39059; 445; 1005356; 106.677s
7; 128; 7; 14.6964; 0.781266; 436; 804097; 84.8328s
6; 64; 7; 15.0833; 0.555566; 94; 136159; 14.4887s
8; 256; 9; 15.1675; 1.26297; 568; 1000907; 106.372s
8; 256; 9; 14.4922; 0.841001; 401; 1008796; 106.308s
8; 256; 8; 14.5229; 1.12272; 573; 1001206; 105.327s
8; 256; 7; 14.9575; 1.24258; 521; 1003028; 105.091s
8; 256; 9; 15.3428; 1.4093; 554; 1001080; 104.714s
8; 256; 7; 15.0762; 1.27656; 532; 1004056; 105.702s
8; 256; 8; 15.2271; 1.1566; 454; 1001533; 104.565s
7; 128; 7; 13.9196; 0.512435; 297; 529951; 55.9825s
8; 256; 9; 15.5498; 1.2405; 576; 1004853; 105.515s
8; 256; 8; 14.7759; 1.16232; 493; 1005323; 105.386s
8; 256; 7; 15.6094; 1.34975; 507; 1001317; 105.394s
7; 128; 7; 14.5413; 0.820004; 497; 863423; 90.9927s
7; 128; 7; 13.8281; 0.474509; 308; 622516; 64.8141s
7; 128; 7; 14.4286; 0.546681; 481; 794087; 83.8082s
7; 128; 7; 14.4319; 0.726614; 230; 464173; 48.8931s
8; 256; 9; 15.2485; 1.19198; 589; 1003878; 107.259s
