subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
4; 16; 5; 6.92188; 0.59934; 16; 3504; 0.0396492s
3; 8; 5; 7.16667; 0.764754; 8; 577; 0.00707319s
5; 32; 5; 6.9625; 0.461573; 16; 7107; 0.0677632s
4; 16; 5; 6.95312; 0.559341; 18; 3724; 0.0417656s
4; 16; 5; 6.78125; 0.648349; 17; 3030; 0.0283858s
4; 16; 5; 7.375; 0.716505; 16; 1972; 0.0228953s
4; 16; 5; 6.84375; 0.644686; 18; 3290; 0.0374722s
4; 16; 5; 6.71875; 0.301136; 25; 3724; 0.0442897s
4; 16; 5; 7.0625; 0.360745; 21; 3662; 0.0403963s
4; 16; 5; 7.29688; 0.654843; 12; 1714; 0.0150148s
4; 16; 5; 7.07812; 0.736977; 12; 2542; 0.0222298s
3; 8; 5; 7.08333; 0.849032; 8; 680; 0.00774608s
4; 16; 5; 7.0625; 0.495152; 16; 3308; 0.0308779s
3; 8; 5; 7.125; 0.437441; 13; 521; 0.00641719s
4; 16; 5; 6.90625; 0.50065; 18; 3731; 0.043944s
4; 16; 5; 7.10938; 0.534818; 16; 2498; 0.0294676s
4; 16; 5; 7.04688; 0.756548; 18; 3102; 0.0355981s
4; 16; 5; 7.1875; 0.493778; 14; 3367; 0.0355369s
3; 8; 5; 7.29167; 0.881823; 13; 420; 0.00576747s
4; 16; 5; 6.8125; 0.523586; 17; 3246; 0.035049s
