levels; best; avg; dev; iterations; ffe; time
36; 8; 10.7821; 0.707824; 199; 1003615; 110.054s
20; 7; 11.5885; 0.871262; 132; 429833; 48.9363s
20; 9; 12.5571; 0.980006; 263; 1000569; 103.205s
43; 8; 9.79508; 0.43726; 220; 1006645; 103.736s
35; 8; 11.4929; 0.840871; 203; 1001470; 99.1114s
38; 7; 10.5062; 0.58385; 204; 896388; 90.9804s
36; 7; 10.4817; 0.740319; 202; 945586; 102.523s
38; 7; 10.1195; 0.604086; 177; 841891; 80.5612s
34; 8; 10.2607; 0.495345; 216; 1004079; 108.635s
27; 8; 11.241; 0.866636; 218; 1003923; 100.45s
27; 8; 11.5672; 0.812312; 230; 1003337; 105.27s
30; 9; 11.395; 0.647101; 220; 1001910; 101.894s
43; 8; 9.99137; 0.504661; 219; 1007720; 115.32s
20; 8; 11.85; 0.875421; 257; 1002136; 120.756s
42; 8; 10.2326; 0.545909; 205; 1004170; 121.194s
23; 8; 11.5426; 0.670802; 238; 1002101; 127.342s
32; 8; 11.24; 0.842411; 243; 1005977; 101.324s
37; 8; 10.6139; 0.711019; 191; 1002358; 107.903s
26; 8; 10.655; 0.61154; 257; 1000082; 106.805s
31; 8; 10.944; 0.75217; 219; 1002009; 99.697s
