levels; best; avg; dev; iterations; ffe; time
20; 6; 7.73966; 0.42888; 57; 60025; 2.56442s
11; 6; 8.57854; 0.682396; 31; 19837; 0.694246s
11; 6; 8.5531; 0.908586; 25; 13538; 0.376705s
12; 6; 7.9427; 0.625365; 90; 50526; 2.05461s
20; 6; 7.81148; 0.362136; 118; 120174; 5.50406s
18; 6; 7.78709; 0.431853; 67; 54686; 2.17912s
14; 6; 7.57334; 0.265527; 552; 321057; 33.8729s
17; 6; 8.03461; 0.479194; 54; 46548; 1.64934s
11; 6; 8.07079; 0.537507; 64; 34850; 1.23696s
11; 6; 8.08949; 0.670926; 56; 37542; 1.35326s
19; 6; 7.57768; 0.442489; 77; 72011; 2.87697s
13; 6; 8.06466; 0.588602; 45; 29386; 1.1847s
19; 6; 7.83496; 0.534871; 62; 54153; 2.0737s
18; 6; 7.98136; 0.418496; 52; 41486; 1.78815s
18; 6; 8.02449; 0.514719; 37; 30714; 1.11243s
15; 6; 7.56975; 0.475049; 81; 51689; 2.14882s
29; 6; 7.7533; 0.469301; 94; 136127; 5.30732s
12; 6; 8.02597; 0.50577; 47; 28373; 1.11297s
15; 6; 8.28858; 0.521056; 56; 42012; 1.44194s
14; 6; 8.21067; 0.684977; 45; 31560; 0.982849s
