iteration; levels; best; avg; dev
71; 14; 17; 24.6807; 2.59053
72; 14; 17; 24.6532; 2.57591
73; 14; 17; 24.6458; 2.56927
74; 14; 17; 24.599; 2.55472
75; 14; 17; 24.584; 2.54562
76; 14; 17; 24.586; 2.54026
77; 14; 17; 24.5467; 2.53
78; 14; 17; 24.5175; 2.51775
79; 14; 17; 24.5155; 2.51528
80; 14; 17; 24.5111; 2.50761
81; 14; 17; 24.4898; 2.49809
82; 14; 17; 24.4795; 2.49755
83; 14; 17; 24.4905; 2.51021
84; 14; 17; 24.48; 2.50113
85; 15; 17; 24.4117; 2.49813
86; 15; 17; 23.8495; 2.31773
87; 16; 16; 23.8281; 2.29339
88; 16; 16; 23.1955; 2.23331
89; 16; 16; 23.1913; 2.22144
90; 16; 16; 23.1832; 2.21222
91; 16; 16; 23.1798; 2.20741
92; 16; 16; 23.1679; 2.21612
93; 16; 16; 23.1666; 2.21647
94; 16; 16; 23.163; 2.21438
95; 16; 16; 23.1612; 2.21139
96; 16; 16; 23.0963; 2.21651
97; 16; 16; 23.1027; 2.22716
98; 16; 16; 23.1025; 2.23179
99; 16; 16; 23.105; 2.23027
100; 16; 16; 23.104; 2.22779
101; 16; 16; 23.0997; 2.22121
102; 16; 16; 23.0912; 2.21554
iteration; levels; best; avg; dev
0; 1; 40; 0; 0
1; 1; 40; 40; 0
2; 2; 38; 43; 3
3; 2; 38; 39.6667; 3.19967
4; 2; 38; 40.25; 3.38519
5; 2; 38; 40.5; 3.36592
6; 2; 38; 41.3333; 4.09243
7; 3; 35; 41.4286; 4.28912
8; 3; 35; 38.9583; 3.40108
9; 4; 34; 38.7037; 3.04657
10; 5; 33; 37.1125; 2.4064
11; 5; 33; 36.1448; 1.82079
12; 6; 31; 36; 1.72068
13; 7; 30; 35.1904; 2.43715
14; 8; 29; 34.1196; 2.39854
15; 8; 29; 33.1629; 2.2274
16; 9; 27; 33.0284; 2.2241
17; 10; 26; 31.9541; 2.30521
18; 11; 22; 31.0211; 2.25295
19; 11; 22; 29.553; 2.63109
20; 11; 22; 29.3256; 2.69894
21; 12; 20; 29.1312; 2.72473
22; 12; 20; 28.0067; 2.90206
23; 12; 20; 27.8844; 2.91269
24; 12; 20; 27.7479; 2.97594
25; 12; 20; 27.6482; 2.98403
26; 12; 20; 27.5033; 3.01931
27; 12; 20; 27.4407; 2.99725
28; 12; 20; 27.3193; 3.00355
29; 12; 20; 27.2619; 2.99027
30; 12; 20; 27.2594; 2.97628
31; 12; 20; 27.0375; 2.96833
32; 12; 20; 26.9439; 2.9663
33; 13; 20; 26.9431; 2.95406
34; 13; 20; 26.2531; 2.70327
35; 13; 20; 26.2541; 2.67251
36; 13; 20; 26.2238; 2.67275
37; 14; 19; 26.1025; 2.64186
38; 14; 19; 25.4518; 2.50739
39; 14; 19; 25.4213; 2.48192
40; 15; 19; 25.3559; 2.47274
41; 15; 19; 24.9058; 2.29089
42; 15; 19; 24.874; 2.26083
43; 15; 19; 24.8721; 2.25031
44; 16; 18; 24.8213; 2.23934
45; 16; 18; 24.2692; 2.17153
