iteration; levels; best; avg; dev
24; 15; 45; 53.7476; 3.99894
25; 15; 45; 53.7277; 3.98531
26; 15; 45; 53.6577; 3.97356
27; 16; 45; 53.6412; 3.96396
28; 16; 45; 52.9506; 3.71397
29; 17; 44; 52.9366; 3.67471
30; 17; 44; 52.1519; 3.53011
31; 17; 44; 52.137; 3.54265
32; 17; 44; 52.1281; 3.52424
33; 17; 44; 52.0802; 3.50917
34; 17; 44; 52.0588; 3.50095
35; 17; 44; 51.9573; 3.50534
36; 18; 41; 51.949; 3.49862
37; 18; 41; 50.8577; 3.67475
38; 18; 41; 50.8653; 3.67853
39; 18; 41; 50.8511; 3.66562
40; 18; 41; 50.855; 3.65831
41; 18; 41; 50.8468; 3.65346
42; 18; 41; 50.8219; 3.63947
43; 18; 41; 50.817; 3.6343
44; 18; 41; 50.7955; 3.61756
45; 18; 41; 50.8006; 3.61234
46; 18; 41; 50.7494; 3.60101
47; 18; 41; 50.7355; 3.58923
48; 18; 41; 50.7182; 3.57019
49; 18; 41; 50.7125; 3.55433
50; 18; 41; 50.7118; 3.54795
51; 18; 41; 50.6886; 3.53978
52; 18; 41; 50.6789; 3.53301
53; 18; 41; 50.6559; 3.52631
54; 18; 41; 50.6293; 3.51577
55; 18; 41; 50.6085; 3.5223
56; 18; 41; 50.6; 3.51196
57; 18; 41; 50.5892; 3.50911
58; 18; 41; 50.3492; 3.57722
59; 18; 41; 50.357; 3.58001
60; 18; 41; 50.3489; 3.57299
61; 18; 41; 50.3127; 3.56545
62; 18; 41; 50.3106; 3.55778
63; 19; 41; 50.3152; 3.55516
64; 19; 41; 49.751; 3.36145
65; 19; 41; 49.7379; 3.34292
66; 19; 41; 49.7294; 3.3386
67; 19; 41; 49.6287; 3.32986
68; 19; 41; 49.6249; 3.32607
iteration; levels; best; avg; dev
0; 1; 82; 0; 0
1; 2; 73; 82; 0
2; 2; 73; 75.25; 2.25
3; 2; 72; 76; 3.24632
4; 3; 68; 76.625; 4.25473
5; 4; 67; 73.2; 3.56194
6; 4; 67; 71.125; 2.68332
7; 5; 63; 71.8571; 3.39798
8; 5; 63; 68.925; 3.83437
9; 6; 60; 68.6167; 3.82077
10; 7; 59; 66.3964; 3.70148
11; 8; 55; 64.9602; 3.18821
12; 9; 53; 63.0854; 3.41576
13; 9; 53; 61.4444; 3.54728
