levels; best; avg; dev; iterations; ffe; time
54; 8; 8.74775; 0.202327; 440; 1001653; 76.9527s
52; 8; 8.51885; 0.207892; 499; 1000874; 73.8966s
80; 8; 8.41056; 0.159968; 386; 1003224; 76.1773s
57; 8; 8.40714; 0.16338; 511; 1000160; 74.5174s
31; 8; 8.89612; 0.272545; 635; 1000942; 81.6436s
64; 8; 8.44761; 0.184144; 427; 1000267; 72.8403s
25; 8; 8.9932; 0.359692; 688; 1000521; 78.3939s
53; 8; 8.44971; 0.158671; 544; 1003386; 74.2294s
48; 8; 8.64689; 0.194167; 546; 1002394; 73.6077s
75; 8; 8.38075; 0.120617; 415; 1001217; 76.2933s
61; 8; 8.38102; 0.155947; 502; 1003988; 75.9843s
43; 7; 8.59161; 0.285862; 294; 566040; 41.7361s
52; 8; 8.69722; 0.231135; 501; 1003524; 82.804s
31; 8; 8.94857; 0.255637; 607; 1001023; 86.6101s
76; 8; 8.25433; 0.0816736; 519; 1001140; 75.3253s
8; 8; 9.93101; 0.561504; 1423; 1000465; 128.896s
19; 8; 8.96422; 0.367727; 1021; 1001349; 94.9242s
12; 8; 9.51064; 0.322817; 1279; 1000453; 109.917s
44; 8; 8.92294; 0.199165; 502; 1000264; 83.8564s
41; 8; 8.45612; 0.196809; 603; 1000513; 77.6815s
