iteration; levels; best; avg; dev
21; 16; 43; 57.5388; 4.63247
22; 16; 43; 56.0739; 4.74328
23; 16; 43; 55.8202; 4.73614
24; 16; 43; 55.5435; 4.7508
25; 16; 43; 55.4916; 4.72466
26; 16; 43; 55.3671; 4.71391
27; 17; 42; 55.2807; 4.67895
28; 17; 42; 54.1378; 4.51578
29; 17; 42; 54.0911; 4.48992
30; 17; 42; 53.8586; 4.4833
31; 18; 41; 53.8392; 4.47187
32; 18; 41; 52.9083; 4.27278
33; 18; 41; 52.8168; 4.26958
34; 18; 41; 52.739; 4.26009
35; 18; 41; 52.7075; 4.25485
36; 19; 41; 52.6971; 4.2375
37; 19; 41; 51.9061; 3.98656
38; 19; 41; 51.8462; 3.95243
39; 20; 40; 51.7818; 3.93564
40; 21; 39; 51.1048; 3.77806
41; 21; 39; 50.4089; 3.65368
42; 21; 39; 50.4109; 3.64766
43; 21; 39; 50.3886; 3.64404
44; 22; 38; 50.3532; 3.62971
45; 22; 38; 49.6484; 3.57005
46; 22; 38; 49.6111; 3.56046
47; 22; 38; 49.5312; 3.54246
48; 22; 38; 49.5123; 3.5341
49; 22; 38; 49.5185; 3.52937
50; 22; 38; 49.5007; 3.51264
51; 22; 38; 49.4239; 3.50934
52; 22; 38; 49.3306; 3.50031
53; 22; 38; 49.3238; 3.4926
54; 22; 38; 49.2783; 3.4795
55; 22; 38; 49.27; 3.47042
56; 22; 38; 49.2577; 3.46206
57; 22; 38; 49.2592; 3.45201
58; 22; 38; 49.262; 3.4471
59; 22; 38; 49.2578; 3.4401
60; 22; 38; 49.2553; 3.43223
61; 22; 38; 49.2478; 3.43187
62; 22; 38; 49.1815; 3.42381
63; 22; 38; 49.1725; 3.41217
64; 22; 38; 49.0853; 3.41743
65; 22; 38; 49.0516; 3.40617
66; 22; 38; 49.0488; 3.40112
67; 22; 38; 49.0451; 3.39481
68; 22; 38; 49.0271; 3.38996
69; 22; 38; 49.0179; 3.39797
iteration; levels; best; avg; dev
0; 1; 87; 0; 0
1; 1; 87; 87; 0
2; 1; 87; 87; 0
3; 2; 80; 92.3333; 7.54247
4; 2; 80; 85.125; 7.50244
5; 3; 76; 85.45; 7.34188
6; 3; 76; 81.1667; 5.64505
7; 4; 73; 81.2857; 4.81764
8; 5; 70; 78.65; 3.68245
9; 6; 67; 76.0444; 3.37003
10; 6; 67; 73.9405; 3.4366
11; 7; 63; 73.5981; 3.57966
12; 8; 60; 71.1071; 3.76842
13; 9; 59; 68.8603; 3.88781
14; 10; 57; 67.2941; 3.77948
15; 11; 56; 65.6595; 3.68321
16; 12; 52; 64.3178; 3.45572
17; 12; 52; 62.3986; 3.88986
18; 12; 52; 62.2457; 3.9241
19; 13; 50; 62.0763; 3.94064
20; 13; 50; 60.5005; 4.03275
21; 14; 49; 60.297; 4.03056
22; 14; 49; 59.1258; 3.8375
23; 15; 48; 59.0523; 3.77915
24; 15; 48; 57.8773; 3.63239
25; 16; 47; 57.5588; 3.62291
