gen; best; worst; avg
0; 25; 27; 26.61
0; 25; 27; 26.31
10; 23; 27; 25.21
20; 21; 27; 24.57
30; 20; 27; 24.06
40; 19; 27; 23.43
50; 19; 27; 23.52
60; 19; 27; 23.44
70; 19; 27; 23.37
80; 19; 27; 23.34
90; 19; 27; 23.34
100; 19; 27; 23.11
110; 19; 27; 23.15
120; 18; 27; 23.01
130; 17; 27; 22.49
140; 17; 27; 21.96
150; 17; 27; 21.95
160; 17; 27; 22.09
170; 17; 27; 21.94
180; 17; 27; 22.03
190; 16; 27; 21.72
200; 16; 27; 21.52
210; 16; 27; 21.42
220; 16; 27; 21.31
230; 16; 27; 21.37
240; 16; 27; 21.53
250; 16; 27; 21.54
260; 16; 27; 21.36
270; 15; 27; 21.33
280; 15; 27; 21.04
290; 15; 27; 21.06
300; 15; 27; 20.83
310; 15; 27; 21.01
320; 15; 27; 21.02
330; 15; 27; 20.98
340; 15; 27; 20.78
350; 15; 27; 20.67
360; 15; 27; 20.86
370; 14; 27; 20.53
380; 14; 27; 20.66
390; 14; 27; 20.56
400; 14; 27; 20.6
410; 14; 27; 20.7
420; 14; 27; 20.75
430; 14; 27; 20.64
440; 14; 27; 20.7
450; 14; 27; 20.72
460; 14; 27; 20.63
470; 14; 27; 20.73
480; 14; 27; 20.65
490; 14; 27; 20.84
500; 14; 27; 20.65
510; 14; 27; 20.58
520; 14; 27; 20.64
530; 14; 27; 20.5
540; 14; 27; 20.66
550; 13; 27; 20.54
560; 13; 27; 20.21
570; 13; 27; 20.32
580; 13; 27; 20.13
590; 13; 27; 20.22
600; 13; 27; 20.37
610; 13; 27; 20.23
620; 13; 27; 20.34
630; 13; 27; 20.42
640; 13; 27; 20.24
650; 13; 27; 20.08
660; 13; 27; 20.33
670; 13; 27; 20.14
680; 13; 27; 20.18
690; 13; 27; 20.03
700; 13; 27; 19.95
710; 13; 27; 19.94
720; 13; 27; 19.91
730; 13; 27; 19.78
740; 13; 27; 19.99
750; 13; 27; 19.86
760; 13; 27; 19.9
770; 13; 27; 19.82
780; 13; 27; 20.07
790; 13; 27; 20.02
800; 13; 27; 20.11
810; 13; 27; 20.23
820; 13; 27; 20.08
830; 13; 27; 19.93
840; 13; 27; 20.14
850; 13; 27; 20.34
860; 13; 27; 20.27
870; 13; 27; 20.13
880; 13; 27; 20.06
890; 13; 27; 20.15
900; 13; 27; 20.07
910; 13; 27; 20.22
920; 13; 27; 20.28
930; 13; 27; 20.05
940; 13; 27; 20.15
950; 13; 27; 20.16
960; 13; 27; 20.07
970; 13; 27; 20.11
980; 13; 27; 20.04
990; 13; 27; 20.33
1000; 13; 27; 20.07
1010; 13; 27; 19.99
1020; 13; 27; 19.97
1030; 13; 27; 19.93
1040; 13; 27; 19.89
1050; 13; 27; 20.06
1060; 13; 27; 20.01
1070; 13; 27; 19.9
1080; 13; 27; 20.08
1090; 13; 27; 20.12
1100; 13; 27; 19.96
1110; 13; 27; 20.1
1120; 13; 27; 20.1
1130; 13; 27; 20.01
1140; 13; 27; 20.03
1150; 13; 27; 20.04
1160; 13; 27; 19.9
1170; 13; 27; 20.07
1180; 13; 27; 20.03
1190; 13; 27; 20.03
1200; 13; 27; 20.14
1210; 13; 27; 20.09
1220; 13; 27; 20.28
1230; 13; 27; 20.12
1240; 13; 27; 20.13
1250; 13; 27; 19.89
1260; 13; 27; 19.91
1270; 13; 27; 20.04
1280; 13; 27; 20.11
1290; 13; 27; 19.93
1300; 13; 27; 20.02
1310; 13; 27; 19.98
1320; 13; 27; 19.93
1330; 13; 27; 20.03
1340; 13; 27; 20.01
1350; 13; 27; 20.18
1360; 13; 27; 20.05
1370; 13; 27; 20.03
1380; 13; 27; 20
1390; 13; 27; 20.04
1400; 13; 27; 20.26
1410; 13; 27; 20.23
1420; 13; 27; 20.28
1430; 13; 26; 19.96
1440; 13; 27; 19.77
1450; 13; 27; 19.84
1460; 13; 27; 19.71
1470; 13; 26; 19.83
1480; 13; 27; 20.15
1490; 13; 27; 20.21
1500; 13; 27; 20.21
1510; 13; 27; 20.28
1520; 13; 27; 20.16
1530; 13; 27; 20.04
1540; 13; 27; 20.08
1550; 13; 27; 20.17
1560; 13; 27; 20.19
1570; 13; 27; 20.24
1580; 13; 27; 20.16
1590; 13; 27; 20.16
1600; 13; 27; 20.18
1610; 13; 27; 20.24
1620; 13; 27; 20.2
1630; 13; 27; 20.19
1640; 13; 27; 20.23
1650; 13; 27; 20.16
1660; 13; 27; 20.07
1670; 13; 27; 20.23
1680; 13; 27; 20.12
1690; 13; 27; 20.1
1700; 13; 27; 20.17
1710; 13; 27; 20.12
1720; 13; 27; 20.27
1730; 13; 27; 20.38
1740; 13; 27; 20.31
1750; 13; 27; 20.24
1760; 13; 27; 20.2
1770; 13; 27; 20.29
1780; 13; 27; 20.25
1790; 13; 27; 20.22
1800; 13; 27; 20.2
1810; 13; 27; 20.13
1820; 13; 27; 20.15
1830; 13; 27; 20.19
1840; 13; 27; 20.16
1850; 13; 27; 20.1
1860; 13; 27; 20.07
1870; 13; 27; 20.02
1880; 13; 27; 20.02
1890; 13; 27; 20.12
1900; 13; 27; 20.25
1910; 13; 27; 20.1
